	@inputs Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
1	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
2	0.43	0.33	0.67	0.12	0.5	0.0	0.45	0.23	0
3	0.43	0.33	0.67	0.12	0.5	0.0	0.43	0.23	0
4	0.58	0.44	0.5	0.26	0.5	0.0	0.52	0.22	0
5	0.38	0.43	0.53	0.22	0.5	0.0	0.48	0.11	0
6	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
7	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
8	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
9	0.43	0.22	0.79	0.79	0.5	0.0	0.22	0.0	0
10	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
11	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
12	0.56	0.35	0.47	0.41	0.5	0.0	0.5	0.22	0
13	0.56	0.35	0.47	0.35	0.5	0.0	0.52	0.22	0
14	0.54	0.44	0.55	0.48	0.5	0.0	0.47	0.22	0
15	0.35	0.39	0.56	0.2	0.5	0.0	0.49	0.41	0
16	0.48	0.46	0.58	0.16	0.5	0.0	0.45	0.22	0
17	0.48	0.55	0.48	0.1	0.5	0.0	0.55	0.22	0
18	0.69	0.54	0.55	0.23	0.5	0.0	0.73	0.22	0
19	0.73	0.6	0.47	0.2	0.5	0.0	0.72	0.22	0
20	0.78	0.82	0.56	0.21	0.5	0.0	0.69	0.22	0
21	0.46	0.33	0.45	0.22	0.5	0.0	0.41	0.37	0
22	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
23	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
24	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
25	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
26	0.48	0.41	0.52	0.33	0.5	0.0	0.51	0.26	0
27	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
28	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
29	0.42	0.5	0.64	0.13	0.5	0.0	0.49	0.22	0
30	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
31	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
32	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
33	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
34	0.51	0.52	0.58	0.17	0.5	0.0	0.47	0.28	0
35	0.5	0.5	0.62	0.23	0.5	0.0	0.35	0.11	0
36	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
37	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
38	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
39	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
40	0.49	0.4	0.58	0.23	0.5	0.0	0.47	0.27	0
41	0.37	0.37	0.51	0.38	0.5	0.0	0.44	0.22	0
42	0.51	0.4	0.5	0.28	0.5	0.0	0.48	0.27	0
43	0.34	0.25	0.55	0.28	0.5	0.0	0.51	0.49	0
44	0.59	0.54	0.53	0.14	0.5	0.0	0.48	0.22	0
45	0.5	0.48	0.48	0.23	0.5	0.0	0.53	0.68	0
46	0.43	0.38	0.38	0.12	0.5	0.0	0.5	0.22	1
47	0.76	0.67	0.37	0.22	0.5	0.0	0.54	0.22	1
48	0.95	0.71	0.27	0.39	0.5	0.0	0.31	0.22	1
49	0.97	0.71	0.29	0.42	0.5	0.0	0.35	0.22	1
50	0.81	0.55	0.35	0.34	0.5	0.0	0.51	0.22	1
51	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
52	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
53	0.43	0.33	0.67	0.12	0.5	0.0	0.45	0.23	0
54	0.43	0.33	0.67	0.12	0.5	0.0	0.43	0.23	0
55	0.58	0.44	0.5	0.26	0.5	0.0	0.52	0.22	0
56	0.38	0.43	0.53	0.22	0.5	0.0	0.48	0.11	0
57	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
58	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
59	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
60	0.43	0.22	0.79	0.79	0.5	0.0	0.22	0.0	0
61	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
62	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
63	0.56	0.35	0.47	0.41	0.5	0.0	0.5	0.22	0
64	0.56	0.35	0.47	0.35	0.5	0.0	0.52	0.22	0
65	0.54	0.44	0.55	0.48	0.5	0.0	0.47	0.22	0
66	0.35	0.39	0.56	0.2	0.5	0.0	0.49	0.41	0
67	0.48	0.46	0.58	0.16	0.5	0.0	0.45	0.22	0
68	0.48	0.55	0.48	0.1	0.5	0.0	0.55	0.22	0
69	0.69	0.54	0.55	0.23	0.5	0.0	0.73	0.22	0
70	0.73	0.6	0.47	0.2	0.5	0.0	0.72	0.22	0
71	0.78	0.82	0.56	0.21	0.5	0.0	0.69	0.22	0
72	0.46	0.33	0.45	0.22	0.5	0.0	0.41	0.37	0
73	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
74	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
75	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
76	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
77	0.48	0.41	0.52	0.33	0.5	0.0	0.51	0.26	0
78	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
79	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
80	0.42	0.5	0.64	0.13	0.5	0.0	0.49	0.22	0
81	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
82	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
83	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
84	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
85	0.51	0.52	0.58	0.17	0.5	0.0	0.47	0.28	0
86	0.5	0.5	0.62	0.23	0.5	0.0	0.35	0.11	0
87	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
88	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
89	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
90	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
91	0.49	0.4	0.58	0.23	0.5	0.0	0.47	0.27	0
92	0.37	0.37	0.51	0.38	0.5	0.0	0.44	0.22	0
93	0.51	0.4	0.5	0.28	0.5	0.0	0.48	0.27	0
94	0.34	0.25	0.55	0.28	0.5	0.0	0.51	0.49	0
95	0.59	0.54	0.53	0.14	0.5	0.0	0.48	0.22	0
96	0.5	0.48	0.48	0.23	0.5	0.0	0.53	0.68	0
97	0.43	0.38	0.38	0.12	0.5	0.0	0.5	0.22	1
98	0.76	0.67	0.37	0.22	0.5	0.0	0.54	0.22	1
99	0.95	0.71	0.27	0.39	0.5	0.0	0.31	0.22	1
100	0.97	0.71	0.29	0.42	0.5	0.0	0.35	0.22	1
101	0.81	0.55	0.35	0.34	0.5	0.0	0.51	0.22	1
102	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
103	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
104	0.43	0.33	0.67	0.12	0.5	0.0	0.45	0.23	0
105	0.43	0.33	0.67	0.12	0.5	0.0	0.43	0.23	0
106	0.58	0.44	0.5	0.26	0.5	0.0	0.52	0.22	0
107	0.38	0.43	0.53	0.22	0.5	0.0	0.48	0.11	0
108	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
109	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
110	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
111	0.43	0.22	0.79	0.79	0.5	0.0	0.22	0.0	0
112	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
113	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
114	0.56	0.35	0.47	0.41	0.5	0.0	0.5	0.22	0
115	0.56	0.35	0.47	0.35	0.5	0.0	0.52	0.22	0
116	0.54	0.44	0.55	0.48	0.5	0.0	0.47	0.22	0
