	@inputs Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.66	0.45	0.5	0.23	0.5	0.0	0.49	0.22	0
1	0.21	0.41	0.55	0.11	0.5	0.0	0.5	0.27	0
2	0.39	0.4	0.53	0.67	0.5	0.0	0.47	0.22	0
3	0.24	0.34	0.69	0.18	0.5	0.0	0.52	0.22	0
4	0.49	0.43	0.51	0.13	0.5	0.0	0.47	0.22	0
5	0.54	0.38	0.52	0.18	0.5	0.0	0.48	0.22	0
6	0.43	0.57	0.53	0.53	0.5	0.0	0.53	0.25	0
7	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
8	0.31	0.55	0.52	0.17	0.5	0.0	0.52	0.22	0
9	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
10	0.32	0.42	0.52	0.24	0.5	0.0	0.6	0.22	0
11	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
12	0.37	0.42	0.51	0.11	0.5	0.0	0.57	0.22	0
13	0.44	0.42	0.6	0.21	0.5	0.0	0.57	0.22	0
14	0.53	0.51	0.46	0.28	0.5	0.0	0.48	0.22	0
15	0.35	0.66	0.49	0.21	0.5	0.0	0.54	0.25	0
16	0.52	0.4	0.6	0.12	0.5	0.0	0.55	0.22	0
17	0.57	0.41	0.59	0.24	0.5	0.0	0.4	0.22	0
18	0.56	0.41	0.58	0.21	0.5	0.0	0.42	0.22	0
19	0.41	0.51	0.58	0.15	0.5	0.0	0.45	0.27	0
20	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
21	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
22	0.45	0.27	0.57	0.36	0.5	0.0	0.52	0.18	0
23	0.2	0.26	0.52	0.14	0.5	0.0	0.53	0.44	0
24	0.51	0.53	0.55	0.14	0.5	0.0	0.51	0.22	0
25	0.38	0.48	0.59	0.22	0.5	0.0	0.46	0.22	0
26	0.46	0.35	0.53	0.16	0.5	0.0	0.51	0.29	0
27	0.56	0.52	0.55	0.19	0.5	0.0	0.54	0.22	0
28	0.52	0.54	0.5	0.21	0.5	0.0	0.48	0.3	0
29	0.55	0.46	0.53	0.11	0.5	0.0	0.52	0.48	0
30	0.45	0.56	0.54	0.32	0.5	0.0	0.57	0.22	0
31	0.45	0.56	0.53	0.32	0.5	0.0	0.57	0.22	0
32	0.54	0.65	0.49	0.34	0.5	0.0	0.52	0.22	0
33	0.59	0.58	0.46	0.19	0.5	0.0	0.56	0.27	0
34	0.55	0.56	0.45	0.14	0.5	0.0	0.54	0.22	0
35	0.32	0.47	0.55	0.12	0.5	0.0	0.52	0.22	0
36	0.35	0.46	0.49	0.15	1.0	0.0	0.55	0.35	0
37	0.43	0.51	0.48	0.14	0.5	0.0	0.5	0.22	0
38	0.57	0.61	0.45	0.26	0.5	0.0	0.5	0.22	0
39	0.63	0.62	0.42	0.12	0.5	0.0	0.52	0.25	0
40	0.25	0.4	0.51	0.18	0.5	0.0	0.5	0.27	0
41	0.56	0.62	0.53	0.24	0.5	0.0	0.57	0.22	0
42	0.58	0.6	0.51	0.24	0.5	0.0	0.53	0.22	0
43	0.71	0.59	0.53	0.15	0.5	0.0	0.49	0.33	0
44	0.35	0.36	0.57	0.17	0.5	0.0	0.52	0.22	0
45	0.45	0.4	0.56	0.14	0.5	0.0	0.54	0.22	0
46	0.47	0.47	0.58	0.16	0.5	0.0	0.49	0.28	0
47	0.71	0.56	0.39	0.27	0.5	0.0	0.52	0.22	1
48	0.57	0.59	0.44	0.16	0.5	0.0	0.52	0.22	1
49	0.92	0.61	0.4	0.22	0.5	0.0	0.54	0.22	1
50	0.34	0.38	0.45	0.19	0.5	0.0	0.51	0.22	1
51	0.73	0.55	0.41	0.16	0.5	0.0	0.46	0.22	1
52	0.66	0.45	0.5	0.23	0.5	0.0	0.49	0.22	0
53	0.21	0.41	0.55	0.11	0.5	0.0	0.5	0.27	0
54	0.39	0.4	0.53	0.67	0.5	0.0	0.47	0.22	0
55	0.24	0.34	0.69	0.18	0.5	0.0	0.52	0.22	0
56	0.49	0.43	0.51	0.13	0.5	0.0	0.47	0.22	0
57	0.54	0.38	0.52	0.18	0.5	0.0	0.48	0.22	0
58	0.43	0.57	0.53	0.53	0.5	0.0	0.53	0.25	0
59	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
60	0.31	0.55	0.52	0.17	0.5	0.0	0.52	0.22	0
61	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
62	0.32	0.42	0.52	0.24	0.5	0.0	0.6	0.22	0
63	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
64	0.37	0.42	0.51	0.11	0.5	0.0	0.57	0.22	0
65	0.44	0.42	0.6	0.21	0.5	0.0	0.57	0.22	0
66	0.53	0.51	0.46	0.28	0.5	0.0	0.48	0.22	0
67	0.35	0.66	0.49	0.21	0.5	0.0	0.54	0.25	0
68	0.52	0.4	0.6	0.12	0.5	0.0	0.55	0.22	0
69	0.57	0.41	0.59	0.24	0.5	0.0	0.4	0.22	0
70	0.56	0.41	0.58	0.21	0.5	0.0	0.42	0.22	0
71	0.41	0.51	0.58	0.15	0.5	0.0	0.45	0.27	0
72	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
73	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
74	0.45	0.27	0.57	0.36	0.5	0.0	0.52	0.18	0
75	0.2	0.26	0.52	0.14	0.5	0.0	0.53	0.44	0
76	0.51	0.53	0.55	0.14	0.5	0.0	0.51	0.22	0
77	0.38	0.48	0.59	0.22	0.5	0.0	0.46	0.22	0
78	0.46	0.35	0.53	0.16	0.5	0.0	0.51	0.29	0
79	0.56	0.52	0.55	0.19	0.5	0.0	0.54	0.22	0
80	0.52	0.54	0.5	0.21	0.5	0.0	0.48	0.3	0
81	0.55	0.46	0.53	0.11	0.5	0.0	0.52	0.48	0
82	0.45	0.56	0.54	0.32	0.5	0.0	0.57	0.22	0
83	0.45	0.56	0.53	0.32	0.5	0.0	0.57	0.22	0
84	0.54	0.65	0.49	0.34	0.5	0.0	0.52	0.22	0
85	0.59	0.58	0.46	0.19	0.5	0.0	0.56	0.27	0
86	0.55	0.56	0.45	0.14	0.5	0.0	0.54	0.22	0
87	0.32	0.47	0.55	0.12	0.5	0.0	0.52	0.22	0
88	0.35	0.46	0.49	0.15	1.0	0.0	0.55	0.35	0
89	0.43	0.51	0.48	0.14	0.5	0.0	0.5	0.22	0
90	0.57	0.61	0.45	0.26	0.5	0.0	0.5	0.22	0
91	0.63	0.62	0.42	0.12	0.5	0.0	0.52	0.25	0
92	0.25	0.4	0.51	0.18	0.5	0.0	0.5	0.27	0
93	0.56	0.62	0.53	0.24	0.5	0.0	0.57	0.22	0
94	0.58	0.6	0.51	0.24	0.5	0.0	0.53	0.22	0
95	0.71	0.59	0.53	0.15	0.5	0.0	0.49	0.33	0
96	0.35	0.36	0.57	0.17	0.5	0.0	0.52	0.22	0
97	0.45	0.4	0.56	0.14	0.5	0.0	0.54	0.22	0
98	0.47	0.47	0.58	0.16	0.5	0.0	0.49	0.28	0
99	0.71	0.56	0.39	0.27	0.5	0.0	0.52	0.22	1
100	0.57	0.59	0.44	0.16	0.5	0.0	0.52	0.22	1
101	0.92	0.61	0.4	0.22	0.5	0.0	0.54	0.22	1
102	0.34	0.38	0.45	0.19	0.5	0.0	0.51	0.22	1
103	0.73	0.55	0.41	0.16	0.5	0.0	0.46	0.22	1
104	0.66	0.45	0.5	0.23	0.5	0.0	0.49	0.22	0
105	0.21	0.41	0.55	0.11	0.5	0.0	0.5	0.27	0
106	0.39	0.4	0.53	0.67	0.5	0.0	0.47	0.22	0
107	0.24	0.34	0.69	0.18	0.5	0.0	0.52	0.22	0
108	0.49	0.43	0.51	0.13	0.5	0.0	0.47	0.22	0
109	0.54	0.38	0.52	0.18	0.5	0.0	0.48	0.22	0
110	0.43	0.57	0.53	0.53	0.5	0.0	0.53	0.25	0
111	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
112	0.31	0.55	0.52	0.17	0.5	0.0	0.52	0.22	0
113	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
114	0.32	0.42	0.52	0.24	0.5	0.0	0.6	0.22	0
115	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
116	0.37	0.42	0.51	0.11	0.5	0.0	0.57	0.22	0
117	0.44	0.42	0.6	0.21	0.5	0.0	0.57	0.22	0
118	0.53	0.51	0.46	0.28	0.5	0.0	0.48	0.22	0
119	0.35	0.66	0.49	0.21	0.5	0.0	0.54	0.25	0
120	0.52	0.4	0.6	0.12	0.5	0.0	0.55	0.22	0
121	0.57	0.41	0.59	0.24	0.5	0.0	0.4	0.22	0
122	0.56	0.41	0.58	0.21	0.5	0.0	0.42	0.22	0
123	0.41	0.51	0.58	0.15	0.5	0.0	0.45	0.27	0
124	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
125	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
126	0.45	0.27	0.57	0.36	0.5	0.0	0.52	0.18	0
127	0.2	0.26	0.52	0.14	0.5	0.0	0.53	0.44	0
128	0.51	0.53	0.55	0.14	0.5	0.0	0.51	0.22	0
129	0.38	0.48	0.59	0.22	0.5	0.0	0.46	0.22	0
130	0.46	0.35	0.53	0.16	0.5	0.0	0.51	0.29	0
131	0.56	0.52	0.55	0.19	0.5	0.0	0.54	0.22	0
132	0.52	0.54	0.5	0.21	0.5	0.0	0.48	0.3	0
133	0.55	0.46	0.53	0.11	0.5	0.0	0.52	0.48	0
134	0.45	0.56	0.54	0.32	0.5	0.0	0.57	0.22	0
135	0.45	0.56	0.53	0.32	0.5	0.0	0.57	0.22	0
136	0.54	0.65	0.49	0.34	0.5	0.0	0.52	0.22	0
137	0.59	0.58	0.46	0.19	0.5	0.0	0.56	0.27	0
138	0.55	0.56	0.45	0.14	0.5	0.0	0.54	0.22	0
139	0.32	0.47	0.55	0.12	0.5	0.0	0.52	0.22	0
140	0.35	0.46	0.49	0.15	1.0	0.0	0.55	0.35	0
141	0.43	0.51	0.48	0.14	0.5	0.0	0.5	0.22	0
142	0.57	0.61	0.45	0.26	0.5	0.0	0.5	0.22	0
143	0.63	0.62	0.42	0.12	0.5	0.0	0.52	0.25	0
144	0.25	0.4	0.51	0.18	0.5	0.0	0.5	0.27	0
145	0.56	0.62	0.53	0.24	0.5	0.0	0.57	0.22	0
146	0.58	0.6	0.51	0.24	0.5	0.0	0.53	0.22	0
147	0.71	0.59	0.53	0.15	0.5	0.0	0.49	0.33	0
148	0.35	0.36	0.57	0.17	0.5	0.0	0.52	0.22	0
149	0.45	0.4	0.56	0.14	0.5	0.0	0.54	0.22	0
150	0.47	0.47	0.58	0.16	0.5	0.0	0.49	0.28	0
151	0.71	0.56	0.39	0.27	0.5	0.0	0.52	0.22	1
152	0.57	0.59	0.44	0.16	0.5	0.0	0.52	0.22	1
153	0.92	0.61	0.4	0.22	0.5	0.0	0.54	0.22	1
154	0.34	0.38	0.45	0.19	0.5	0.0	0.51	0.22	1
155	0.73	0.55	0.41	0.16	0.5	0.0	0.46	0.22	1
156	0.66	0.45	0.5	0.23	0.5	0.0	0.49	0.22	0
157	0.21	0.41	0.55	0.11	0.5	0.0	0.5	0.27	0
158	0.39	0.4	0.53	0.67	0.5	0.0	0.47	0.22	0
159	0.24	0.34	0.69	0.18	0.5	0.0	0.52	0.22	0
160	0.49	0.43	0.51	0.13	0.5	0.0	0.47	0.22	0
161	0.54	0.38	0.52	0.18	0.5	0.0	0.48	0.22	0
162	0.43	0.57	0.53	0.53	0.5	0.0	0.53	0.25	0
163	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
164	0.31	0.55	0.52	0.17	0.5	0.0	0.52	0.22	0
165	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
166	0.32	0.42	0.52	0.24	0.5	0.0	0.6	0.22	0
167	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
168	0.37	0.42	0.51	0.11	0.5	0.0	0.57	0.22	0
169	0.44	0.42	0.6	0.21	0.5	0.0	0.57	0.22	0
170	0.53	0.51	0.46	0.28	0.5	0.0	0.48	0.22	0
171	0.35	0.66	0.49	0.21	0.5	0.0	0.54	0.25	0
172	0.52	0.4	0.6	0.12	0.5	0.0	0.55	0.22	0
173	0.57	0.41	0.59	0.24	0.5	0.0	0.4	0.22	0
174	0.56	0.41	0.58	0.21	0.5	0.0	0.42	0.22	0
175	0.41	0.51	0.58	0.15	0.5	0.0	0.45	0.27	0
176	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
177	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
178	0.45	0.27	0.57	0.36	0.5	0.0	0.52	0.18	0
179	0.2	0.26	0.52	0.14	0.5	0.0	0.53	0.44	0
180	0.51	0.53	0.55	0.14	0.5	0.0	0.51	0.22	0
181	0.38	0.48	0.59	0.22	0.5	0.0	0.46	0.22	0
182	0.46	0.35	0.53	0.16	0.5	0.0	0.51	0.29	0
183	0.56	0.52	0.55	0.19	0.5	0.0	0.54	0.22	0
184	0.52	0.54	0.5	0.21	0.5	0.0	0.48	0.3	0
185	0.55	0.46	0.53	0.11	0.5	0.0	0.52	0.48	0
