	@inputs Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.51	0.43	0.47	0.19	0.5	0.0	0.52	0.37	0
1	0.54	0.54	0.49	0.14	0.5	0.0	0.56	0.22	0
2	0.5	0.45	0.48	0.17	0.5	0.0	0.5	0.26	0
3	0.46	0.47	0.46	0.16	0.5	0.0	0.51	0.22	0
4	0.39	0.37	0.56	0.15	0.5	0.0	0.5	0.27	0
5	0.48	0.51	0.57	0.24	0.5	0.0	0.5	0.22	0
6	0.62	0.6	0.47	0.16	0.5	0.0	0.53	0.22	0
7	0.49	0.44	0.45	0.22	0.5	0.0	0.51	0.22	0
8	0.57	0.44	0.42	0.2	0.5	0.0	0.54	0.22	0
9	0.4	0.47	0.48	0.18	0.5	0.0	0.46	0.22	0
10	0.34	0.54	0.54	0.13	0.5	0.0	0.52	0.22	0
11	0.29	0.46	0.54	0.27	0.5	0.0	0.49	0.22	0
12	0.46	0.55	0.61	0.13	0.5	0.0	0.47	0.22	0
13	0.57	0.4	0.48	0.24	0.5	0.0	0.55	0.22	0
14	0.58	0.38	0.4	0.21	0.5	0.0	0.5	0.22	0
15	0.53	0.41	0.5	0.24	1.0	0.0	0.47	0.22	0
16	0.43	0.4	0.5	0.18	0.5	0.0	0.5	0.28	0
17	0.49	0.6	0.55	0.17	0.5	0.0	0.44	0.22	0
18	0.37	0.41	0.45	0.14	0.5	0.0	0.47	0.22	0
19	0.5	0.36	0.53	0.41	0.5	0.0	0.55	0.36	0
20	0.59	0.58	0.39	0.52	0.5	0.0	0.5	0.31	0
21	0.47	0.5	0.55	0.19	0.5	0.0	0.62	0.22	0
22	0.35	0.5	0.44	0.27	0.5	0.0	0.51	0.22	0
23	0.49	0.44	0.51	0.18	0.5	0.0	0.52	0.27	0
24	0.29	0.34	0.55	0.24	0.5	0.0	0.51	0.22	0
25	0.28	0.48	0.56	0.16	0.5	0.0	0.48	0.26	0
26	0.69	0.39	0.52	0.12	0.5	0.0	0.38	0.35	0
27	0.56	0.48	0.5	0.3	0.5	0.0	0.51	0.22	0
28	0.45	0.46	0.61	0.2	0.5	0.0	0.62	0.22	0
29	0.49	0.45	0.53	0.16	0.5	0.0	0.49	0.31	0
