	SepalLength	 SepalWidth	 PetalLength	 PetalWidth	label
0	7.7	3.0	6.1	2.3	0
1	6.3	3.4	5.6	2.4	0
2	6.4	3.1	5.5	1.8	0
3	6.0	3.0	4.8	1.8	0
4	6.9	3.1	5.4	2.1	0
5	6.7	3.1	5.6	2.4	0
6	6.9	3.1	5.1	2.3	0
7	5.8	2.7	5.1	1.9	0
8	6.8	3.2	5.9	2.3	0
9	6.7	3.3	5.7	2.5	0
10	4.8	3.0	1.4	0.3	1
11	5.1	3.8	1.6	0.2	1
12	4.6	3.2	1.4	0.2	1
13	5.3	3.7	1.5	0.2	1
14	5.0	3.3	1.4	0.2	1
15	7.7	3.0	6.1	2.3	0
16	6.3	3.4	5.6	2.4	0
17	6.4	3.1	5.5	1.8	0
18	6.0	3.0	4.8	1.8	0
19	6.9	3.1	5.4	2.1	0
20	6.7	3.1	5.6	2.4	0
21	6.9	3.1	5.1	2.3	0
22	5.8	2.7	5.1	1.9	0
23	6.8	3.2	5.9	2.3	0
24	6.7	3.3	5.7	2.5	0
25	4.8	3.0	1.4	0.3	1
26	5.1	3.8	1.6	0.2	1
27	4.6	3.2	1.4	0.2	1
28	5.3	3.7	1.5	0.2	1
29	5.0	3.3	1.4	0.2	1
30	7.7	3.0	6.1	2.3	0
31	6.3	3.4	5.6	2.4	0
32	6.4	3.1	5.5	1.8	0
33	6.0	3.0	4.8	1.8	0
34	6.9	3.1	5.4	2.1	0
35	6.7	3.1	5.6	2.4	0
36	6.9	3.1	5.1	2.3	0
37	5.8	2.7	5.1	1.9	0
38	6.8	3.2	5.9	2.3	0
39	6.7	3.3	5.7	2.5	0
40	4.8	3.0	1.4	0.3	1
41	5.1	3.8	1.6	0.2	1
42	4.6	3.2	1.4	0.2	1
43	5.3	3.7	1.5	0.2	1
44	5.0	3.3	1.4	0.2	1
45	7.7	3.0	6.1	2.3	0
46	6.3	3.4	5.6	2.4	0
47	6.4	3.1	5.5	1.8	0
48	6.0	3.0	4.8	1.8	0
49	6.9	3.1	5.4	2.1	0
50	6.7	3.1	5.6	2.4	0
51	6.9	3.1	5.1	2.3	0
52	5.8	2.7	5.1	1.9	0
53	6.8	3.2	5.9	2.3	0
54	6.7	3.3	5.7	2.5	0
55	4.8	3.0	1.4	0.3	1
56	5.1	3.8	1.6	0.2	1
57	4.6	3.2	1.4	0.2	1
58	5.3	3.7	1.5	0.2	1
59	5.0	3.3	1.4	0.2	1
60	7.7	3.0	6.1	2.3	0
61	6.3	3.4	5.6	2.4	0
62	6.4	3.1	5.5	1.8	0
63	6.0	3.0	4.8	1.8	0
64	6.9	3.1	5.4	2.1	0
65	6.7	3.1	5.6	2.4	0
66	6.9	3.1	5.1	2.3	0
67	5.8	2.7	5.1	1.9	0
68	6.8	3.2	5.9	2.3	0
69	6.7	3.3	5.7	2.5	0
70	4.8	3.0	1.4	0.3	1
71	5.1	3.8	1.6	0.2	1
72	4.6	3.2	1.4	0.2	1
73	5.3	3.7	1.5	0.2	1
74	5.0	3.3	1.4	0.2	1
75	7.7	3.0	6.1	2.3	0
76	6.3	3.4	5.6	2.4	0
77	6.4	3.1	5.5	1.8	0
78	6.0	3.0	4.8	1.8	0
79	6.9	3.1	5.4	2.1	0
80	6.7	3.1	5.6	2.4	0
81	6.9	3.1	5.1	2.3	0
82	5.8	2.7	5.1	1.9	0
83	6.8	3.2	5.9	2.3	0
84	6.7	3.3	5.7	2.5	0
85	4.8	3.0	1.4	0.3	1
86	5.1	3.8	1.6	0.2	1
87	4.6	3.2	1.4	0.2	1
88	5.3	3.7	1.5	0.2	1
89	5.0	3.3	1.4	0.2	1
90	7.7	3.0	6.1	2.3	0
91	6.3	3.4	5.6	2.4	0
92	6.4	3.1	5.5	1.8	0
93	6.0	3.0	4.8	1.8	0
94	6.9	3.1	5.4	2.1	0
95	6.7	3.1	5.6	2.4	0
96	6.9	3.1	5.1	2.3	0
97	5.8	2.7	5.1	1.9	0
98	6.8	3.2	5.9	2.3	0
99	6.7	3.3	5.7	2.5	0
100	4.8	3.0	1.4	0.3	1
101	5.1	3.8	1.6	0.2	1
102	4.6	3.2	1.4	0.2	1
103	5.3	3.7	1.5	0.2	1
104	5.0	3.3	1.4	0.2	1
105	7.7	3.0	6.1	2.3	0
106	6.3	3.4	5.6	2.4	0
107	6.4	3.1	5.5	1.8	0
108	6.0	3.0	4.8	1.8	0
109	6.9	3.1	5.4	2.1	0
110	6.7	3.1	5.6	2.4	0
111	6.9	3.1	5.1	2.3	0
112	5.8	2.7	5.1	1.9	0
113	6.8	3.2	5.9	2.3	0
114	6.7	3.3	5.7	2.5	0
115	4.8	3.0	1.4	0.3	1
116	5.1	3.8	1.6	0.2	1
117	4.6	3.2	1.4	0.2	1
118	5.3	3.7	1.5	0.2	1
119	5.0	3.3	1.4	0.2	1
120	7.7	3.0	6.1	2.3	0
121	6.3	3.4	5.6	2.4	0
122	6.4	3.1	5.5	1.8	0
123	6.0	3.0	4.8	1.8	0
124	6.9	3.1	5.4	2.1	0
125	6.7	3.1	5.6	2.4	0
126	6.9	3.1	5.1	2.3	0
127	5.8	2.7	5.1	1.9	0
128	6.8	3.2	5.9	2.3	0
129	6.7	3.3	5.7	2.5	0
130	4.8	3.0	1.4	0.3	1
131	5.1	3.8	1.6	0.2	1
132	4.6	3.2	1.4	0.2	1
133	5.3	3.7	1.5	0.2	1
134	5.0	3.3	1.4	0.2	1
