	SepalLength	 SepalWidth	 PetalLength	 PetalWidth	label
0	6.3	3.3	6.0	2.5	0
1	5.8	2.7	5.1	1.9	0
2	7.1	3.0	5.9	2.1	0
3	6.3	2.9	5.6	1.8	0
4	6.5	3.0	5.8	2.2	0
5	7.6	3.0	6.6	2.1	0
6	4.9	2.5	4.5	1.7	0
7	7.3	2.9	6.3	1.8	0
8	6.7	2.5	5.8	1.8	0
9	7.2	3.6	6.1	2.5	0
10	5.2	3.4	1.4	0.2	1
11	4.7	3.2	1.6	0.2	1
12	4.8	3.1	1.6	0.2	1
13	5.4	3.4	1.5	0.4	1
14	5.2	4.1	1.5	0.1	1
15	6.3	3.3	6.0	2.5	0
16	5.8	2.7	5.1	1.9	0
17	7.1	3.0	5.9	2.1	0
18	6.3	2.9	5.6	1.8	0
19	6.5	3.0	5.8	2.2	0
20	7.6	3.0	6.6	2.1	0
21	4.9	2.5	4.5	1.7	0
22	7.3	2.9	6.3	1.8	0
23	6.7	2.5	5.8	1.8	0
24	7.2	3.6	6.1	2.5	0
25	5.2	3.4	1.4	0.2	1
26	4.7	3.2	1.6	0.2	1
27	4.8	3.1	1.6	0.2	1
28	5.4	3.4	1.5	0.4	1
29	5.2	4.1	1.5	0.1	1
30	6.3	3.3	6.0	2.5	0
31	5.8	2.7	5.1	1.9	0
32	7.1	3.0	5.9	2.1	0
33	6.3	2.9	5.6	1.8	0
34	6.5	3.0	5.8	2.2	0
35	7.6	3.0	6.6	2.1	0
36	4.9	2.5	4.5	1.7	0
37	7.3	2.9	6.3	1.8	0
38	6.7	2.5	5.8	1.8	0
39	7.2	3.6	6.1	2.5	0
40	5.2	3.4	1.4	0.2	1
41	4.7	3.2	1.6	0.2	1
42	4.8	3.1	1.6	0.2	1
43	5.4	3.4	1.5	0.4	1
44	5.2	4.1	1.5	0.1	1
45	6.3	3.3	6.0	2.5	0
46	5.8	2.7	5.1	1.9	0
47	7.1	3.0	5.9	2.1	0
48	6.3	2.9	5.6	1.8	0
49	6.5	3.0	5.8	2.2	0
50	7.6	3.0	6.6	2.1	0
51	4.9	2.5	4.5	1.7	0
52	7.3	2.9	6.3	1.8	0
53	6.7	2.5	5.8	1.8	0
54	7.2	3.6	6.1	2.5	0
55	5.2	3.4	1.4	0.2	1
56	4.7	3.2	1.6	0.2	1
57	4.8	3.1	1.6	0.2	1
58	5.4	3.4	1.5	0.4	1
59	5.2	4.1	1.5	0.1	1
60	6.3	3.3	6.0	2.5	0
61	5.8	2.7	5.1	1.9	0
62	7.1	3.0	5.9	2.1	0
63	6.3	2.9	5.6	1.8	0
64	6.5	3.0	5.8	2.2	0
65	7.6	3.0	6.6	2.1	0
66	4.9	2.5	4.5	1.7	0
67	7.3	2.9	6.3	1.8	0
68	6.7	2.5	5.8	1.8	0
69	7.2	3.6	6.1	2.5	0
70	5.2	3.4	1.4	0.2	1
71	4.7	3.2	1.6	0.2	1
72	4.8	3.1	1.6	0.2	1
73	5.4	3.4	1.5	0.4	1
74	5.2	4.1	1.5	0.1	1
75	6.3	3.3	6.0	2.5	0
76	5.8	2.7	5.1	1.9	0
77	7.1	3.0	5.9	2.1	0
78	6.3	2.9	5.6	1.8	0
79	6.5	3.0	5.8	2.2	0
80	7.6	3.0	6.6	2.1	0
81	4.9	2.5	4.5	1.7	0
82	7.3	2.9	6.3	1.8	0
83	6.7	2.5	5.8	1.8	0
84	7.2	3.6	6.1	2.5	0
85	5.2	3.4	1.4	0.2	1
86	4.7	3.2	1.6	0.2	1
87	4.8	3.1	1.6	0.2	1
88	5.4	3.4	1.5	0.4	1
89	5.2	4.1	1.5	0.1	1
90	6.3	3.3	6.0	2.5	0
91	5.8	2.7	5.1	1.9	0
92	7.1	3.0	5.9	2.1	0
93	6.3	2.9	5.6	1.8	0
94	6.5	3.0	5.8	2.2	0
95	7.6	3.0	6.6	2.1	0
96	4.9	2.5	4.5	1.7	0
97	7.3	2.9	6.3	1.8	0
98	6.7	2.5	5.8	1.8	0
99	7.2	3.6	6.1	2.5	0
100	5.2	3.4	1.4	0.2	1
101	4.7	3.2	1.6	0.2	1
102	4.8	3.1	1.6	0.2	1
103	5.4	3.4	1.5	0.4	1
104	5.2	4.1	1.5	0.1	1
105	6.3	3.3	6.0	2.5	0
106	5.8	2.7	5.1	1.9	0
107	7.1	3.0	5.9	2.1	0
108	6.3	2.9	5.6	1.8	0
109	6.5	3.0	5.8	2.2	0
110	7.6	3.0	6.6	2.1	0
111	4.9	2.5	4.5	1.7	0
112	7.3	2.9	6.3	1.8	0
113	6.7	2.5	5.8	1.8	0
114	7.2	3.6	6.1	2.5	0
115	5.2	3.4	1.4	0.2	1
116	4.7	3.2	1.6	0.2	1
117	4.8	3.1	1.6	0.2	1
118	5.4	3.4	1.5	0.4	1
119	5.2	4.1	1.5	0.1	1
120	6.3	3.3	6.0	2.5	0
121	5.8	2.7	5.1	1.9	0
122	7.1	3.0	5.9	2.1	0
123	6.3	2.9	5.6	1.8	0
124	6.5	3.0	5.8	2.2	0
125	7.6	3.0	6.6	2.1	0
126	4.9	2.5	4.5	1.7	0
127	7.3	2.9	6.3	1.8	0
128	6.7	2.5	5.8	1.8	0
129	7.2	3.6	6.1	2.5	0
130	5.2	3.4	1.4	0.2	1
131	4.7	3.2	1.6	0.2	1
132	4.8	3.1	1.6	0.2	1
133	5.4	3.4	1.5	0.4	1
134	5.2	4.1	1.5	0.1	1
