	SepalLength	 SepalWidth	 PetalLength	 PetalWidth	label
0	5.5	2.6	4.4	1.2	0
1	6.1	3.0	4.6	1.4	0
2	5.8	2.6	4.0	1.2	0
3	5.0	2.3	3.3	1.0	0
4	5.6	2.7	4.2	1.3	0
5	5.7	3.0	4.2	1.2	0
6	5.7	2.9	4.2	1.3	0
7	6.2	2.9	4.3	1.3	0
8	5.1	2.5	3.0	1.1	0
9	5.7	2.8	4.1	1.3	0
10	5.1	3.3	1.7	0.5	1
11	4.8	3.4	1.9	0.2	1
12	5.0	3.0	1.6	0.2	1
13	5.0	3.4	1.6	0.4	1
14	5.2	3.5	1.5	0.2	1
15	5.5	2.6	4.4	1.2	0
16	6.1	3.0	4.6	1.4	0
17	5.8	2.6	4.0	1.2	0
18	5.0	2.3	3.3	1.0	0
19	5.6	2.7	4.2	1.3	0
20	5.7	3.0	4.2	1.2	0
21	5.7	2.9	4.2	1.3	0
22	6.2	2.9	4.3	1.3	0
23	5.1	2.5	3.0	1.1	0
24	5.7	2.8	4.1	1.3	0
25	5.1	3.3	1.7	0.5	1
26	4.8	3.4	1.9	0.2	1
27	5.0	3.0	1.6	0.2	1
28	5.0	3.4	1.6	0.4	1
29	5.2	3.5	1.5	0.2	1
30	5.5	2.6	4.4	1.2	0
31	6.1	3.0	4.6	1.4	0
32	5.8	2.6	4.0	1.2	0
33	5.0	2.3	3.3	1.0	0
34	5.6	2.7	4.2	1.3	0
35	5.7	3.0	4.2	1.2	0
36	5.7	2.9	4.2	1.3	0
37	6.2	2.9	4.3	1.3	0
38	5.1	2.5	3.0	1.1	0
39	5.7	2.8	4.1	1.3	0
40	5.1	3.3	1.7	0.5	1
41	4.8	3.4	1.9	0.2	1
42	5.0	3.0	1.6	0.2	1
43	5.0	3.4	1.6	0.4	1
44	5.2	3.5	1.5	0.2	1
45	5.5	2.6	4.4	1.2	0
46	6.1	3.0	4.6	1.4	0
47	5.8	2.6	4.0	1.2	0
48	5.0	2.3	3.3	1.0	0
49	5.6	2.7	4.2	1.3	0
50	5.7	3.0	4.2	1.2	0
51	5.7	2.9	4.2	1.3	0
52	6.2	2.9	4.3	1.3	0
53	5.1	2.5	3.0	1.1	0
54	5.7	2.8	4.1	1.3	0
55	5.1	3.3	1.7	0.5	1
56	4.8	3.4	1.9	0.2	1
57	5.0	3.0	1.6	0.2	1
58	5.0	3.4	1.6	0.4	1
59	5.2	3.5	1.5	0.2	1
60	5.5	2.6	4.4	1.2	0
61	6.1	3.0	4.6	1.4	0
62	5.8	2.6	4.0	1.2	0
63	5.0	2.3	3.3	1.0	0
64	5.6	2.7	4.2	1.3	0
65	5.7	3.0	4.2	1.2	0
66	5.7	2.9	4.2	1.3	0
67	6.2	2.9	4.3	1.3	0
68	5.1	2.5	3.0	1.1	0
69	5.7	2.8	4.1	1.3	0
70	5.1	3.3	1.7	0.5	1
71	4.8	3.4	1.9	0.2	1
72	5.0	3.0	1.6	0.2	1
73	5.0	3.4	1.6	0.4	1
74	5.2	3.5	1.5	0.2	1
75	5.5	2.6	4.4	1.2	0
76	6.1	3.0	4.6	1.4	0
77	5.8	2.6	4.0	1.2	0
78	5.0	2.3	3.3	1.0	0
79	5.6	2.7	4.2	1.3	0
80	5.7	3.0	4.2	1.2	0
81	5.7	2.9	4.2	1.3	0
82	6.2	2.9	4.3	1.3	0
83	5.1	2.5	3.0	1.1	0
84	5.7	2.8	4.1	1.3	0
85	5.1	3.3	1.7	0.5	1
86	4.8	3.4	1.9	0.2	1
87	5.0	3.0	1.6	0.2	1
88	5.0	3.4	1.6	0.4	1
89	5.2	3.5	1.5	0.2	1
90	5.5	2.6	4.4	1.2	0
91	6.1	3.0	4.6	1.4	0
92	5.8	2.6	4.0	1.2	0
93	5.0	2.3	3.3	1.0	0
94	5.6	2.7	4.2	1.3	0
95	5.7	3.0	4.2	1.2	0
96	5.7	2.9	4.2	1.3	0
97	6.2	2.9	4.3	1.3	0
98	5.1	2.5	3.0	1.1	0
99	5.7	2.8	4.1	1.3	0
100	5.1	3.3	1.7	0.5	1
101	4.8	3.4	1.9	0.2	1
102	5.0	3.0	1.6	0.2	1
103	5.0	3.4	1.6	0.4	1
104	5.2	3.5	1.5	0.2	1
105	5.5	2.6	4.4	1.2	0
106	6.1	3.0	4.6	1.4	0
107	5.8	2.6	4.0	1.2	0
108	5.0	2.3	3.3	1.0	0
109	5.6	2.7	4.2	1.3	0
110	5.7	3.0	4.2	1.2	0
111	5.7	2.9	4.2	1.3	0
112	6.2	2.9	4.3	1.3	0
113	5.1	2.5	3.0	1.1	0
114	5.7	2.8	4.1	1.3	0
115	5.1	3.3	1.7	0.5	1
116	4.8	3.4	1.9	0.2	1
117	5.0	3.0	1.6	0.2	1
118	5.0	3.4	1.6	0.4	1
119	5.2	3.5	1.5	0.2	1
120	5.5	2.6	4.4	1.2	0
121	6.1	3.0	4.6	1.4	0
122	5.8	2.6	4.0	1.2	0
123	5.0	2.3	3.3	1.0	0
124	5.6	2.7	4.2	1.3	0
125	5.7	3.0	4.2	1.2	0
126	5.7	2.9	4.2	1.3	0
127	6.2	2.9	4.3	1.3	0
128	5.1	2.5	3.0	1.1	0
129	5.7	2.8	4.1	1.3	0
130	5.1	3.3	1.7	0.5	1
131	4.8	3.4	1.9	0.2	1
132	5.0	3.0	1.6	0.2	1
133	5.0	3.4	1.6	0.4	1
134	5.2	3.5	1.5	0.2	1
