	SepalLength	 SepalWidth	 PetalLength	 PetalWidth	label
0	5.7	2.6	3.5	1.0	0
1	5.5	2.4	3.8	1.1	0
2	5.5	2.4	3.7	1.0	0
3	5.8	2.7	3.9	1.2	0
4	6.0	2.7	5.1	1.6	0
5	5.4	3.0	4.5	1.5	0
6	6.7	3.1	4.7	1.5	0
7	6.3	2.3	4.4	1.3	0
8	5.6	3.0	4.1	1.3	0
9	5.5	2.5	4.0	1.3	0
10	5.7	3.8	1.7	0.3	1
11	5.1	3.8	1.5	0.3	1
12	5.4	3.4	1.7	0.2	1
13	5.1	3.7	1.5	0.4	1
14	4.6	3.6	1.0	0.2	1
15	5.7	2.6	3.5	1.0	0
16	5.5	2.4	3.8	1.1	0
17	5.5	2.4	3.7	1.0	0
18	5.8	2.7	3.9	1.2	0
19	6.0	2.7	5.1	1.6	0
20	5.4	3.0	4.5	1.5	0
21	6.7	3.1	4.7	1.5	0
22	6.3	2.3	4.4	1.3	0
23	5.6	3.0	4.1	1.3	0
24	5.5	2.5	4.0	1.3	0
25	5.7	3.8	1.7	0.3	1
26	5.1	3.8	1.5	0.3	1
27	5.4	3.4	1.7	0.2	1
28	5.1	3.7	1.5	0.4	1
29	4.6	3.6	1.0	0.2	1
30	5.7	2.6	3.5	1.0	0
31	5.5	2.4	3.8	1.1	0
32	5.5	2.4	3.7	1.0	0
33	5.8	2.7	3.9	1.2	0
34	6.0	2.7	5.1	1.6	0
35	5.4	3.0	4.5	1.5	0
36	6.7	3.1	4.7	1.5	0
37	6.3	2.3	4.4	1.3	0
38	5.6	3.0	4.1	1.3	0
39	5.5	2.5	4.0	1.3	0
40	5.7	3.8	1.7	0.3	1
41	5.1	3.8	1.5	0.3	1
42	5.4	3.4	1.7	0.2	1
43	5.1	3.7	1.5	0.4	1
44	4.6	3.6	1.0	0.2	1
45	5.7	2.6	3.5	1.0	0
46	5.5	2.4	3.8	1.1	0
47	5.5	2.4	3.7	1.0	0
48	5.8	2.7	3.9	1.2	0
49	6.0	2.7	5.1	1.6	0
50	5.4	3.0	4.5	1.5	0
51	6.7	3.1	4.7	1.5	0
52	6.3	2.3	4.4	1.3	0
53	5.6	3.0	4.1	1.3	0
54	5.5	2.5	4.0	1.3	0
55	5.7	3.8	1.7	0.3	1
56	5.1	3.8	1.5	0.3	1
57	5.4	3.4	1.7	0.2	1
58	5.1	3.7	1.5	0.4	1
59	4.6	3.6	1.0	0.2	1
60	5.7	2.6	3.5	1.0	0
61	5.5	2.4	3.8	1.1	0
62	5.5	2.4	3.7	1.0	0
63	5.8	2.7	3.9	1.2	0
64	6.0	2.7	5.1	1.6	0
65	5.4	3.0	4.5	1.5	0
66	6.7	3.1	4.7	1.5	0
67	6.3	2.3	4.4	1.3	0
68	5.6	3.0	4.1	1.3	0
69	5.5	2.5	4.0	1.3	0
70	5.7	3.8	1.7	0.3	1
71	5.1	3.8	1.5	0.3	1
72	5.4	3.4	1.7	0.2	1
73	5.1	3.7	1.5	0.4	1
74	4.6	3.6	1.0	0.2	1
75	5.7	2.6	3.5	1.0	0
76	5.5	2.4	3.8	1.1	0
77	5.5	2.4	3.7	1.0	0
78	5.8	2.7	3.9	1.2	0
79	6.0	2.7	5.1	1.6	0
80	5.4	3.0	4.5	1.5	0
81	6.7	3.1	4.7	1.5	0
82	6.3	2.3	4.4	1.3	0
83	5.6	3.0	4.1	1.3	0
84	5.5	2.5	4.0	1.3	0
85	5.7	3.8	1.7	0.3	1
86	5.1	3.8	1.5	0.3	1
87	5.4	3.4	1.7	0.2	1
88	5.1	3.7	1.5	0.4	1
89	4.6	3.6	1.0	0.2	1
90	5.7	2.6	3.5	1.0	0
91	5.5	2.4	3.8	1.1	0
92	5.5	2.4	3.7	1.0	0
93	5.8	2.7	3.9	1.2	0
94	6.0	2.7	5.1	1.6	0
95	5.4	3.0	4.5	1.5	0
96	6.7	3.1	4.7	1.5	0
97	6.3	2.3	4.4	1.3	0
98	5.6	3.0	4.1	1.3	0
99	5.5	2.5	4.0	1.3	0
100	5.7	3.8	1.7	0.3	1
101	5.1	3.8	1.5	0.3	1
102	5.4	3.4	1.7	0.2	1
103	5.1	3.7	1.5	0.4	1
104	4.6	3.6	1.0	0.2	1
105	5.7	2.6	3.5	1.0	0
106	5.5	2.4	3.8	1.1	0
107	5.5	2.4	3.7	1.0	0
108	5.8	2.7	3.9	1.2	0
109	6.0	2.7	5.1	1.6	0
110	5.4	3.0	4.5	1.5	0
111	6.7	3.1	4.7	1.5	0
112	6.3	2.3	4.4	1.3	0
113	5.6	3.0	4.1	1.3	0
114	5.5	2.5	4.0	1.3	0
115	5.7	3.8	1.7	0.3	1
116	5.1	3.8	1.5	0.3	1
117	5.4	3.4	1.7	0.2	1
118	5.1	3.7	1.5	0.4	1
119	4.6	3.6	1.0	0.2	1
120	5.7	2.6	3.5	1.0	0
121	5.5	2.4	3.8	1.1	0
122	5.5	2.4	3.7	1.0	0
123	5.8	2.7	3.9	1.2	0
124	6.0	2.7	5.1	1.6	0
125	5.4	3.0	4.5	1.5	0
126	6.7	3.1	4.7	1.5	0
127	6.3	2.3	4.4	1.3	0
128	5.6	3.0	4.1	1.3	0
129	5.5	2.5	4.0	1.3	0
130	5.7	3.8	1.7	0.3	1
131	5.1	3.8	1.5	0.3	1
132	5.4	3.4	1.7	0.2	1
133	5.1	3.7	1.5	0.4	1
134	4.6	3.6	1.0	0.2	1
