	SepalLength	 SepalWidth	 PetalLength	 PetalWidth	label
0	6.7	3.0	5.2	2.3	0
1	6.3	2.5	5.0	1.9	0
2	6.5	3.0	5.2	2.0	0
3	6.2	3.4	5.4	2.3	0
4	5.9	3.0	5.1	1.8	0
5	6.5	3.0	5.5	1.8	0
6	7.7	2.6	6.9	2.3	0
7	6.0	2.2	5.0	1.5	0
8	6.9	3.2	5.7	2.3	0
9	6.2	2.8	4.8	1.8	0
10	4.7	3.2	1.3	0.2	1
11	4.9	3.1	1.5	0.1	1
12	5.8	4.0	1.2	0.2	1
13	4.4	3.2	1.3	0.2	1
14	5.0	3.5	1.6	0.6	1
15	6.7	3.0	5.2	2.3	0
16	6.3	2.5	5.0	1.9	0
17	6.5	3.0	5.2	2.0	0
18	6.2	3.4	5.4	2.3	0
19	5.9	3.0	5.1	1.8	0
20	6.5	3.0	5.5	1.8	0
21	7.7	2.6	6.9	2.3	0
22	6.0	2.2	5.0	1.5	0
23	6.9	3.2	5.7	2.3	0
24	6.2	2.8	4.8	1.8	0
25	4.7	3.2	1.3	0.2	1
26	4.9	3.1	1.5	0.1	1
27	5.8	4.0	1.2	0.2	1
28	4.4	3.2	1.3	0.2	1
29	5.0	3.5	1.6	0.6	1
30	6.7	3.0	5.2	2.3	0
31	6.3	2.5	5.0	1.9	0
32	6.5	3.0	5.2	2.0	0
33	6.2	3.4	5.4	2.3	0
34	5.9	3.0	5.1	1.8	0
35	6.5	3.0	5.5	1.8	0
36	7.7	2.6	6.9	2.3	0
37	6.0	2.2	5.0	1.5	0
38	6.9	3.2	5.7	2.3	0
39	6.2	2.8	4.8	1.8	0
40	4.7	3.2	1.3	0.2	1
41	4.9	3.1	1.5	0.1	1
42	5.8	4.0	1.2	0.2	1
43	4.4	3.2	1.3	0.2	1
44	5.0	3.5	1.6	0.6	1
45	6.7	3.0	5.2	2.3	0
46	6.3	2.5	5.0	1.9	0
47	6.5	3.0	5.2	2.0	0
48	6.2	3.4	5.4	2.3	0
49	5.9	3.0	5.1	1.8	0
50	6.5	3.0	5.5	1.8	0
51	7.7	2.6	6.9	2.3	0
52	6.0	2.2	5.0	1.5	0
53	6.9	3.2	5.7	2.3	0
54	6.2	2.8	4.8	1.8	0
55	4.7	3.2	1.3	0.2	1
56	4.9	3.1	1.5	0.1	1
57	5.8	4.0	1.2	0.2	1
58	4.4	3.2	1.3	0.2	1
59	5.0	3.5	1.6	0.6	1
60	6.7	3.0	5.2	2.3	0
61	6.3	2.5	5.0	1.9	0
62	6.5	3.0	5.2	2.0	0
63	6.2	3.4	5.4	2.3	0
64	5.9	3.0	5.1	1.8	0
65	6.5	3.0	5.5	1.8	0
66	7.7	2.6	6.9	2.3	0
67	6.0	2.2	5.0	1.5	0
68	6.9	3.2	5.7	2.3	0
69	6.2	2.8	4.8	1.8	0
70	4.7	3.2	1.3	0.2	1
71	4.9	3.1	1.5	0.1	1
72	5.8	4.0	1.2	0.2	1
73	4.4	3.2	1.3	0.2	1
74	5.0	3.5	1.6	0.6	1
75	6.7	3.0	5.2	2.3	0
76	6.3	2.5	5.0	1.9	0
77	6.5	3.0	5.2	2.0	0
78	6.2	3.4	5.4	2.3	0
79	5.9	3.0	5.1	1.8	0
80	6.5	3.0	5.5	1.8	0
81	7.7	2.6	6.9	2.3	0
82	6.0	2.2	5.0	1.5	0
83	6.9	3.2	5.7	2.3	0
84	6.2	2.8	4.8	1.8	0
85	4.7	3.2	1.3	0.2	1
86	4.9	3.1	1.5	0.1	1
87	5.8	4.0	1.2	0.2	1
88	4.4	3.2	1.3	0.2	1
89	5.0	3.5	1.6	0.6	1
90	6.7	3.0	5.2	2.3	0
91	6.3	2.5	5.0	1.9	0
92	6.5	3.0	5.2	2.0	0
93	6.2	3.4	5.4	2.3	0
94	5.9	3.0	5.1	1.8	0
95	6.5	3.0	5.5	1.8	0
96	7.7	2.6	6.9	2.3	0
97	6.0	2.2	5.0	1.5	0
98	6.9	3.2	5.7	2.3	0
99	6.2	2.8	4.8	1.8	0
100	4.7	3.2	1.3	0.2	1
101	4.9	3.1	1.5	0.1	1
102	5.8	4.0	1.2	0.2	1
103	4.4	3.2	1.3	0.2	1
104	5.0	3.5	1.6	0.6	1
105	6.7	3.0	5.2	2.3	0
106	6.3	2.5	5.0	1.9	0
107	6.5	3.0	5.2	2.0	0
108	6.2	3.4	5.4	2.3	0
109	5.9	3.0	5.1	1.8	0
110	6.5	3.0	5.5	1.8	0
111	7.7	2.6	6.9	2.3	0
112	6.0	2.2	5.0	1.5	0
113	6.9	3.2	5.7	2.3	0
114	6.2	2.8	4.8	1.8	0
115	4.7	3.2	1.3	0.2	1
116	4.9	3.1	1.5	0.1	1
117	5.8	4.0	1.2	0.2	1
118	4.4	3.2	1.3	0.2	1
119	5.0	3.5	1.6	0.6	1
120	6.7	3.0	5.2	2.3	0
121	6.3	2.5	5.0	1.9	0
122	6.5	3.0	5.2	2.0	0
123	6.2	3.4	5.4	2.3	0
124	5.9	3.0	5.1	1.8	0
125	6.5	3.0	5.5	1.8	0
126	7.7	2.6	6.9	2.3	0
127	6.0	2.2	5.0	1.5	0
128	6.9	3.2	5.7	2.3	0
129	6.2	2.8	4.8	1.8	0
130	4.7	3.2	1.3	0.2	1
131	4.9	3.1	1.5	0.1	1
132	5.8	4.0	1.2	0.2	1
133	4.4	3.2	1.3	0.2	1
134	5.0	3.5	1.6	0.6	1
