	GLCM_pan	Mean_Green	Mean_Red	Mean_NIR	SD_pan	class
0	142.867713	228.6785714	104.3928571	674.9642857	32.39953073	1
1	143.4972826	211.6086957	95.73913043	612.3478261	29.53009423	1
2	135.725	238.9166667	107.5833333	741.2708333	20.84107148	1
3	112.8245614	236.92	108.04	705.84	22.67065063	1
4	111.2075472	233.1	105.575	729.775	23.67381201	1
5	124.955163	226.6956522	100.5652174	686.4347826	27.8710998	1
6	115.849866	235.893617	107.106383	757.212766	19.60157697	1
7	124.9702381	218.0952381	97.42857143	595.8571429	40.7810369	1
8	130.7117747	169.526738	69.40106952	187.684492	8.875740842	1
9	113.4651163	244.2592593	107.5555556	735.5185185	34.57541805	1
10	130.1183575	230.2307692	104.1923077	689.3461538	16.02328188	1
11	120.4139073	216.3157895	104.8947368	617.3157895	29.40386467	1
12	127.2232143	219.4285714	100.5714286	588.8571429	17.27449459	1
13	128.9453125	196.0	93.0	437.0	27.33587387	1
14	133.359375	166.0	84.0	247.0	14.10175078	1
15	127.3958333	200.3333333	99.16666667	486.1666667	26.02349366	1
16	137.9225941	231.3333333	99.36666667	641.8666667	40.49093177	1
17	105.1	206.8	97.0	564.2	21.30352084	1
18	132.3865546	203.7333333	95.8	531.8666667	53.596849	1
19	107.5769231	213.3076923	90.76923077	514.1538462	45.34822531	1
20	127.7657658	187.0	82.35714286	310.1428571	15.44394076	1
21	124.0184758	170.9272727	69.07272727	217.8363636	13.33725287	1
22	132.2993039	203.4074074	90.0	495.4074074	36.94377146	1
23	153.5416667	204.0	87.0	452.0	1.699673171	1
24	125.7393703	169.2030457	69.41624365	206.4111675	7.412495535	1
25	140.8571429	175.75	79.91666667	293.0	6.015604708	1
26	132.5920074	164.6829268	68.68292683	177.897561	8.123651767	1
27	138.2404181	198.25	87.05555556	445.3888889	27.26414006	1
28	136.2506173	191.6862745	87.17647059	441.7647059	20.3907805	1
29	130.0113636	199.1818182	95.27272727	520.6363636	12.18656624	1
30	120.8720812	226.3870968	101.7096774	746.8064516	16.68272206	1
31	144.3397436	174.4	77.65	302.1	10.06727371	1
32	106.34375	231.8	111.8	726.4	28.66722868	1
33	141.3506944	224.4444444	107.1111111	668.6666667	30.06392367	1
34	128.1771654	206.5	94.4375	456.875	23.2244273	1
35	127.4793153	206.8181818	93.59090909	525.4318182	18.79482246	1
36	130.7665615	217.0	97.4	648.4	24.67686163	1
37	123.8544936	213.2727273	100.5681818	645.2727273	34.31835491	1
38	122.6736111	183.3333333	80.66666667	390.7777778	20.08377516	1
39	119.1488095	200.0	93.52380952	488.6190476	29.79453449	1
40	111.1507353	193.0588235	88.35294118	493.8235294	33.46619427	1
41	109.6388889	206.5555556	97.66666667	463.5555556	20.25942853	1
42	127.9185581	218.8723404	98.08510638	679.5744681	19.80539089	1
43	135.1840149	177.0	78.5	406.4411765	16.31186653	1
44	138.2338235	214.4186047	97.44186047	730.8139535	26.14274167	1
45	136.7595628	195.6956522	89.52173913	511.2608696	15.83325208	1
46	93.6875	220.8571429	99.71428571	677.0	8.729494924	1
47	106.355814	218.6296296	99.48148148	719.5925926	19.9242048	1
48	139.2340426	211.0	99.77777778	588.6666667	18.66732803	1
49	183.28125	204.0	96.5	475.5	1.0	1
50	113.9808362	188.7222222	82.08333333	456.0	16.62578319	1
51	98.41964286	210.2857143	97.57142857	628.0	17.77983265	1
52	149.3125	206.6666667	94.83333333	607.6666667	27.37344618	1
