	GLCM_pan	Mean_Green	Mean_Red	Mean_NIR	SD_pan	class
0	119.9166667	230.5	102.0	774.8571429	17.64878443	1
1	151.3828125	198.75	83.0	499.5	18.20542502	1
2	167.0	230.0	109.5	753.5	9.283722314	1
3	138.9857955	220.5	93.13636364	627.0909091	38.38635691	1
4	140.1208333	200.8666667	87.7	539.6666667	31.1573783	1
5	133.1561618	211.7313433	96.62686567	609.8208955	23.81760348	1
6	100.7912621	236.0	98.53846154	726.8461538	21.34140626	1
7	145.6029412	223.8235294	98.52941176	660.5882353	42.48337758	1
8	117.4739583	247.8333333	117.3333333	844.8333333	17.65860665	1
9	129.8191721	229.4482759	104.3448276	691.8965517	21.74224751	1
10	138.1145833	212.0	94.83333333	552.8333333	37.22930074	1
11	116.36	218.2631579	97.36842105	597.6315789	28.64898852	1
12	150.6625	241.2	104.0	752.5	29.22755549	1
13	140.9761905	222.0	90.0	509.0	31.61091584	1
14	138.3888889	214.3333333	91.11111111	606.3333333	38.68039348	1
15	152.9125	234.6	100.8	821.2	34.40116277	1
16	117.1875	213.5833333	92.58333333	519.1666667	33.19094589	1
17	112.8138075	251.7333333	110.8333333	806.0	32.57783841	1
18	112.2857143	209.4666667	85.73333333	481.8	32.99670017	1
19	139.0144231	198.9230769	79.23076923	344.3846154	24.72044886	1
20	137.7698864	242.6363636	119.4090909	917.2727273	11.13339478	1
21	123.518664	259.0	122.421875	936.25	16.76255942	1
22	119.2792485	239.3378378	107.7162162	727.1891892	17.32928314	1
23	120.9013699	212.826087	100.6086957	584.3478261	33.80819914	1
24	150.8806818	210.3636364	92.81818182	625.3636364	14.94120709	1
25	102.6953125	209.0	83.375	453.75	36.5718471	1
26	138.8074074	211.7647059	87.82352941	428.4117647	23.91102307	1
27	113.8541667	221.3333333	97.66666667	504.3333333	7.874007874	1
28	117.6022727	213.6363636	90.0	618.0	27.02187666	1
29	146.3920455	232.5454545	99.27272727	639.6363636	21.96014421	1
30	130.5846354	223.9375	99.10416667	665.8958333	28.11156315	1
31	134.326087	203.5652174	88.60869565	491.173913	23.47230198	1
32	136.4583333	213.25	92.5	501.0	26.97053433	1
