	a1	a2	a3	a4	a5	a6	label
0	49	29	48	56	24	35	0
1	7	4	48	54	35	44	0
2	56	4	48	49	37	46	0
3	59	49	48	52	45	36	0
4	23	32	48	55	25	35	0
5	67	39	48	36	38	46	0
6	29	28	48	44	23	34	0
7	21	34	48	51	28	39	0
8	2	44	48	46	51	57	0
9	42	4	48	56	18	3	0
10	42	24	48	57	27	37	0
11	25	48	48	44	17	29	0
12	39	32	48	46	24	35	0
13	51	5	48	46	32	35	0
14	22	43	48	48	16	28	0
15	25	4	48	46	44	52	0
16	34	45	48	38	24	35	0
17	44	27	48	55	52	58	0
18	23	4	48	39	28	38	0
19	41	57	48	39	21	32	0
20	4	45	48	38	22	0	0
21	31	23	48	73	5	14	0
22	51	54	48	41	34	43	0
23	3	16	48	56	11	23	0
24	36	39	48	48	22	23	0
25	29	37	48	48	44	52	0
26	25	4	48	47	33	42	0
27	21	51	48	5	32	41	0
28	43	37	48	53	35	44	0
29	43	39	48	47	31	41	0
30	53	38	48	44	26	36	0
31	34	33	48	38	35	44	0
32	56	51	48	34	37	46	0
33	4	29	48	42	35	44	0
34	24	35	48	31	19	31	0
35	36	54	48	41	38	46	0
36	29	52	48	42	29	39	0
37	65	47	48	59	3	4	0
38	32	42	48	35	28	38	0
39	38	46	48	48	22	29	0
40	33	45	48	52	32	41	0
41	3	37	48	59	41	49	0
42	4	5	48	45	39	47	0
43	28	38	48	5	33	42	0
44	61	45	48	48	35	41	0
45	17	38	48	45	42	5	0
46	44	35	48	55	55	61	0
47	43	4	48	39	28	39	0
48	42	35	48	58	15	27	0
49	23	33	48	43	33	43	0
50	37	52	48	42	42	36	0
51	29	3	48	45	3	17	0
52	22	36	48	35	39	47	0
53	23	58	48	37	53	59	0
54	47	47	48	22	16	26	0
55	54	47	48	28	33	42	0
56	51	37	48	35	36	45	0
57	4	35	48	45	33	42	0
58	44	34	48	3	33	43	0
59	42	38	48	54	34	43	0
60	44	56	48	5	46	54	0
61	52	36	48	41	28	38	0
62	36	41	48	48	47	54	0
63	18	3	48	46	24	35	0
64	47	29	48	51	33	43	0
65	24	43	48	54	52	59	0
66	25	37	48	41	33	42	0
67	52	57	48	42	47	54	0
