	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	Label
0	0.68	0.67	0.48	0.5	0.49	0.4	0.34	0
1	0.39	0.32	0.48	0.5	0.46	0.24	0.35	0
2	0.69	0.67	0.48	0.5	0.3	0.39	0.24	0
3	0.4	0.46	0.48	0.5	0.42	0.35	0.44	0
4	0.44	0.52	0.48	0.5	0.43	0.47	0.54	0
5	0.4	0.46	0.48	0.5	0.52	0.49	0.56	0
6	0.28	0.33	0.48	0.5	0.45	0.22	0.33	0
7	0.3	0.16	0.48	0.5	0.56	0.11	0.23	0
8	0.61	0.52	0.48	0.5	0.54	0.67	0.52	0
9	0.76	0.73	0.48	0.5	0.44	0.39	0.39	0
10	0.69	0.8	0.48	0.5	0.46	0.57	0.26	0
11	0.73	0.84	0.48	0.5	0.86	0.58	0.29	0
12	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
13	0.42	0.38	0.48	0.5	0.54	0.34	0.43	0
14	0.64	0.84	0.48	0.5	0.37	0.45	0.4	0
15	0.74	0.74	0.48	0.5	0.31	0.53	0.52	0
16	0.35	0.48	0.48	0.5	0.56	0.4	0.48	0
17	0.83	0.37	0.48	0.5	0.61	0.71	0.74	0
18	0.24	0.57	0.48	0.5	0.63	0.34	0.43	0
19	0.3	0.37	0.48	0.5	0.59	0.41	0.49	0
20	0.0	0.38	0.48	0.5	0.42	0.48	0.55	0
21	0.71	0.4	0.48	0.5	0.71	0.7	0.74	0
22	0.89	0.55	0.48	0.5	0.51	0.72	0.76	0
23	0.57	0.54	0.48	0.5	0.37	0.28	0.33	0
24	0.42	0.4	0.48	0.5	0.56	0.18	0.3	0
25	0.68	0.76	0.48	0.5	0.84	0.45	0.27	0
26	0.66	0.74	0.48	0.5	0.31	0.38	0.43	0
27	0.75	0.76	0.48	0.5	0.83	0.57	0.3	0
28	0.29	0.39	0.48	0.5	0.52	0.4	0.48	0
29	0.67	0.84	0.48	0.5	0.74	0.54	0.37	0
30	0.49	0.61	1.0	0.5	0.56	0.71	0.74	1
31	0.73	0.26	0.48	0.5	0.57	0.75	0.78	1
32	0.63	0.51	0.48	0.5	0.64	0.72	0.76	1
33	0.81	0.53	0.48	0.5	0.57	0.87	0.88	1
34	0.68	0.67	0.48	0.5	0.49	0.4	0.34	0
35	0.39	0.32	0.48	0.5	0.46	0.24	0.35	0
36	0.69	0.67	0.48	0.5	0.3	0.39	0.24	0
37	0.4	0.46	0.48	0.5	0.42	0.35	0.44	0
38	0.44	0.52	0.48	0.5	0.43	0.47	0.54	0
39	0.4	0.46	0.48	0.5	0.52	0.49	0.56	0
40	0.28	0.33	0.48	0.5	0.45	0.22	0.33	0
41	0.3	0.16	0.48	0.5	0.56	0.11	0.23	0
42	0.61	0.52	0.48	0.5	0.54	0.67	0.52	0
