	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	Label
0	0.04	0.31	0.48	0.5	0.41	0.29	0.39	0
1	0.74	0.82	0.48	0.5	0.49	0.49	0.41	0
2	0.24	0.43	0.48	0.5	0.54	0.52	0.59	0
3	0.23	0.33	0.48	0.5	0.43	0.33	0.43	0
4	0.66	0.49	1.0	0.5	0.54	0.56	0.36	0
5	0.5	0.57	0.48	0.5	0.71	0.61	0.66	0
6	0.41	0.43	0.48	0.5	0.5	0.24	0.25	0
7	0.38	0.46	0.48	0.5	0.48	0.22	0.29	0
8	0.31	0.5	0.48	0.5	0.57	0.84	0.85	0
9	0.5	0.37	0.48	0.5	0.66	0.64	0.69	0
10	0.34	0.51	0.48	0.5	0.44	0.37	0.46	0
11	0.74	0.56	0.48	0.5	0.47	0.68	0.3	0
12	0.29	0.3	0.48	0.5	0.45	0.03	0.17	0
13	0.17	0.52	0.48	0.5	0.49	0.37	0.46	0
14	0.65	0.51	0.48	0.5	0.66	0.54	0.33	0
15	0.47	0.55	0.48	0.5	0.58	0.71	0.75	0
16	0.67	0.55	1.0	0.5	0.66	0.58	0.16	0
17	0.51	0.54	0.48	0.5	0.41	0.34	0.43	0
18	0.7	0.46	0.48	0.5	0.56	0.78	0.73	0
19	0.69	0.65	0.48	0.5	0.63	0.48	0.41	0
20	0.43	0.59	0.48	0.5	0.52	0.49	0.56	0
21	0.47	0.28	0.48	0.5	0.56	0.2	0.25	0
22	0.71	0.57	0.48	0.5	0.48	0.35	0.32	0
23	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
24	0.7	0.4	0.48	0.5	0.56	0.86	0.83	0
25	0.51	0.49	0.48	0.5	0.53	0.14	0.26	0
26	0.48	0.41	0.48	0.5	0.51	0.9	0.88	0
27	0.34	0.46	0.48	0.5	0.52	0.35	0.44	0
28	0.74	0.49	0.48	0.5	0.42	0.54	0.36	0
29	0.12	0.67	0.48	0.5	0.74	0.58	0.63	0
30	0.58	0.6	0.48	0.5	0.59	0.73	0.76	1
31	0.79	0.36	0.48	0.5	0.46	0.82	0.7	1
32	0.84	0.49	0.48	0.5	0.55	0.78	0.74	1
33	0.04	0.31	0.48	0.5	0.41	0.29	0.39	0
34	0.74	0.82	0.48	0.5	0.49	0.49	0.41	0
35	0.24	0.43	0.48	0.5	0.54	0.52	0.59	0
36	0.23	0.33	0.48	0.5	0.43	0.33	0.43	0
37	0.66	0.49	1.0	0.5	0.54	0.56	0.36	0
38	0.5	0.57	0.48	0.5	0.71	0.61	0.66	0
39	0.41	0.43	0.48	0.5	0.5	0.24	0.25	0
40	0.38	0.46	0.48	0.5	0.48	0.22	0.29	0
41	0.31	0.5	0.48	0.5	0.57	0.84	0.85	0
42	0.5	0.37	0.48	0.5	0.66	0.64	0.69	0
43	0.34	0.51	0.48	0.5	0.44	0.37	0.46	0
44	0.74	0.56	0.48	0.5	0.47	0.68	0.3	0
45	0.29	0.3	0.48	0.5	0.45	0.03	0.17	0
46	0.17	0.52	0.48	0.5	0.49	0.37	0.46	0
47	0.65	0.51	0.48	0.5	0.66	0.54	0.33	0
48	0.47	0.55	0.48	0.5	0.58	0.71	0.75	0
49	0.67	0.55	1.0	0.5	0.66	0.58	0.16	0
50	0.51	0.54	0.48	0.5	0.41	0.34	0.43	0
51	0.7	0.46	0.48	0.5	0.56	0.78	0.73	0
52	0.69	0.65	0.48	0.5	0.63	0.48	0.41	0
53	0.43	0.59	0.48	0.5	0.52	0.49	0.56	0
54	0.47	0.28	0.48	0.5	0.56	0.2	0.25	0
55	0.71	0.57	0.48	0.5	0.48	0.35	0.32	0
56	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
57	0.7	0.4	0.48	0.5	0.56	0.86	0.83	0
58	0.51	0.49	0.48	0.5	0.53	0.14	0.26	0
59	0.48	0.41	0.48	0.5	0.51	0.9	0.88	0
60	0.34	0.46	0.48	0.5	0.52	0.35	0.44	0
61	0.74	0.49	0.48	0.5	0.42	0.54	0.36	0
62	0.12	0.67	0.48	0.5	0.74	0.58	0.63	0
63	0.58	0.6	0.48	0.5	0.59	0.73	0.76	1
64	0.79	0.36	0.48	0.5	0.46	0.82	0.7	1
65	0.84	0.49	0.48	0.5	0.55	0.78	0.74	1
66	0.04	0.31	0.48	0.5	0.41	0.29	0.39	0
67	0.74	0.82	0.48	0.5	0.49	0.49	0.41	0
68	0.24	0.43	0.48	0.5	0.54	0.52	0.59	0
69	0.23	0.33	0.48	0.5	0.43	0.33	0.43	0
70	0.66	0.49	1.0	0.5	0.54	0.56	0.36	0
71	0.5	0.57	0.48	0.5	0.71	0.61	0.66	0
72	0.41	0.43	0.48	0.5	0.5	0.24	0.25	0
73	0.38	0.46	0.48	0.5	0.48	0.22	0.29	0
74	0.31	0.5	0.48	0.5	0.57	0.84	0.85	0
75	0.5	0.37	0.48	0.5	0.66	0.64	0.69	0
76	0.34	0.51	0.48	0.5	0.44	0.37	0.46	0
77	0.74	0.56	0.48	0.5	0.47	0.68	0.3	0
78	0.29	0.3	0.48	0.5	0.45	0.03	0.17	0
79	0.17	0.52	0.48	0.5	0.49	0.37	0.46	0
80	0.65	0.51	0.48	0.5	0.66	0.54	0.33	0
81	0.47	0.55	0.48	0.5	0.58	0.71	0.75	0
82	0.67	0.55	1.0	0.5	0.66	0.58	0.16	0
83	0.51	0.54	0.48	0.5	0.41	0.34	0.43	0
84	0.7	0.46	0.48	0.5	0.56	0.78	0.73	0
85	0.69	0.65	0.48	0.5	0.63	0.48	0.41	0
86	0.43	0.59	0.48	0.5	0.52	0.49	0.56	0
87	0.47	0.28	0.48	0.5	0.56	0.2	0.25	0
88	0.71	0.57	0.48	0.5	0.48	0.35	0.32	0
89	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
90	0.7	0.4	0.48	0.5	0.56	0.86	0.83	0
91	0.51	0.49	0.48	0.5	0.53	0.14	0.26	0
92	0.48	0.41	0.48	0.5	0.51	0.9	0.88	0
