	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	Label
0	0.39	0.31	0.48	0.5	0.38	0.34	0.43	0
1	0.51	0.37	0.48	0.5	0.35	0.36	0.45	0
2	0.74	0.44	0.48	0.5	0.55	0.88	0.89	0
3	0.5	0.66	0.48	0.5	0.31	0.92	0.92	0
4	0.33	0.47	0.48	0.5	0.53	0.18	0.29	0
5	0.77	0.57	0.48	0.5	0.88	0.53	0.2	0
6	0.5	0.49	0.48	0.5	0.49	0.46	0.53	0
7	0.64	0.57	0.48	0.5	0.7	0.33	0.26	0
8	0.42	0.35	0.48	0.5	0.58	0.15	0.27	0
9	0.27	0.35	0.48	0.5	0.51	0.77	0.79	0
10	0.44	0.35	0.48	0.5	0.44	0.52	0.59	0
11	0.56	0.4	0.48	0.5	0.49	0.37	0.46	0
12	0.36	0.42	0.48	0.5	0.53	0.32	0.41	0
13	0.61	0.36	0.48	0.5	0.49	0.35	0.44	0
14	0.68	0.82	0.48	0.5	0.38	0.65	0.56	0
15	0.36	0.41	0.48	0.5	0.48	0.47	0.54	0
16	0.27	0.42	0.48	0.5	0.37	0.38	0.43	0
17	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
18	0.34	0.49	0.48	0.5	0.58	0.85	0.8	0
19	0.63	0.69	0.48	0.5	0.65	0.41	0.28	0
20	0.22	0.34	0.48	0.5	0.42	0.29	0.39	0
21	0.63	0.8	0.48	0.5	0.46	0.31	0.29	0
22	0.21	0.51	0.48	0.5	0.5	0.32	0.41	0
23	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
24	0.54	0.49	0.48	0.5	0.4	0.87	0.88	0
25	0.23	0.34	0.48	0.5	0.43	0.26	0.37	0
26	0.65	0.47	0.48	0.5	0.59	0.3	0.4	0
27	0.6	0.76	1.0	0.5	0.77	0.59	0.52	0
28	0.63	0.65	0.48	0.5	0.66	0.67	0.71	0
29	0.53	0.42	0.48	0.5	0.16	0.29	0.39	0
30	0.78	0.44	0.48	0.5	0.45	0.73	0.68	1
31	0.75	0.37	0.48	0.5	0.64	0.7	0.74	1
32	0.59	0.29	0.48	0.5	0.64	0.75	0.77	1
33	0.47	0.46	0.48	0.5	0.62	0.74	0.77	1
34	0.39	0.31	0.48	0.5	0.38	0.34	0.43	0
35	0.51	0.37	0.48	0.5	0.35	0.36	0.45	0
36	0.74	0.44	0.48	0.5	0.55	0.88	0.89	0
37	0.5	0.66	0.48	0.5	0.31	0.92	0.92	0
38	0.33	0.47	0.48	0.5	0.53	0.18	0.29	0
39	0.77	0.57	0.48	0.5	0.88	0.53	0.2	0
40	0.5	0.49	0.48	0.5	0.49	0.46	0.53	0
41	0.64	0.57	0.48	0.5	0.7	0.33	0.26	0
42	0.42	0.35	0.48	0.5	0.58	0.15	0.27	0
43	0.27	0.35	0.48	0.5	0.51	0.77	0.79	0
44	0.44	0.35	0.48	0.5	0.44	0.52	0.59	0
45	0.56	0.4	0.48	0.5	0.49	0.37	0.46	0
46	0.36	0.42	0.48	0.5	0.53	0.32	0.41	0
47	0.61	0.36	0.48	0.5	0.49	0.35	0.44	0
48	0.68	0.82	0.48	0.5	0.38	0.65	0.56	0
49	0.36	0.41	0.48	0.5	0.48	0.47	0.54	0
50	0.27	0.42	0.48	0.5	0.37	0.38	0.43	0
51	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
52	0.34	0.49	0.48	0.5	0.58	0.85	0.8	0
53	0.63	0.69	0.48	0.5	0.65	0.41	0.28	0
54	0.22	0.34	0.48	0.5	0.42	0.29	0.39	0
55	0.63	0.8	0.48	0.5	0.46	0.31	0.29	0
56	0.21	0.51	0.48	0.5	0.5	0.32	0.41	0
57	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
58	0.54	0.49	0.48	0.5	0.4	0.87	0.88	0
59	0.23	0.34	0.48	0.5	0.43	0.26	0.37	0
60	0.65	0.47	0.48	0.5	0.59	0.3	0.4	0
61	0.6	0.76	1.0	0.5	0.77	0.59	0.52	0
62	0.63	0.65	0.48	0.5	0.66	0.67	0.71	0
63	0.53	0.42	0.48	0.5	0.16	0.29	0.39	0
64	0.78	0.44	0.48	0.5	0.45	0.73	0.68	1
65	0.75	0.37	0.48	0.5	0.64	0.7	0.74	1
66	0.59	0.29	0.48	0.5	0.64	0.75	0.77	1
67	0.47	0.46	0.48	0.5	0.62	0.74	0.77	1
68	0.39	0.31	0.48	0.5	0.38	0.34	0.43	0
69	0.51	0.37	0.48	0.5	0.35	0.36	0.45	0
70	0.74	0.44	0.48	0.5	0.55	0.88	0.89	0
71	0.5	0.66	0.48	0.5	0.31	0.92	0.92	0
72	0.33	0.47	0.48	0.5	0.53	0.18	0.29	0
73	0.77	0.57	0.48	0.5	0.88	0.53	0.2	0
