	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	Label
0	0.44	0.34	0.48	0.5	0.3	0.33	0.43	0
1	0.42	0.38	0.48	0.5	0.54	0.34	0.43	0
2	0.44	0.56	0.48	0.5	0.5	0.46	0.54	0
3	0.52	0.36	0.48	0.5	0.41	0.28	0.38	0
4	0.36	0.41	0.48	0.5	0.48	0.47	0.54	0
5	0.18	0.3	0.48	0.5	0.46	0.24	0.35	0
6	0.47	0.29	0.48	0.5	0.51	0.33	0.43	0
7	0.24	0.43	0.48	0.5	0.54	0.52	0.59	0
8	0.25	0.37	0.48	0.5	0.41	0.33	0.42	0
9	0.52	0.57	0.48	0.5	0.42	0.47	0.54	0
10	0.25	0.37	0.48	0.5	0.43	0.26	0.36	0
11	0.35	0.48	0.48	0.5	0.56	0.4	0.48	0
12	0.26	0.26	0.48	0.5	0.34	0.25	0.35	0
13	0.44	0.51	0.48	0.5	0.47	0.26	0.36	0
14	0.37	0.5	0.48	0.5	0.42	0.36	0.45	0
15	0.44	0.42	0.48	0.5	0.42	0.25	0.2	0
16	0.24	0.43	0.48	0.5	0.37	0.28	0.38	0
17	0.42	0.3	0.48	0.5	0.48	0.26	0.36	0
18	0.48	0.42	0.48	0.5	0.45	0.25	0.35	0
19	0.41	0.48	0.48	0.5	0.51	0.44	0.51	0
20	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
21	0.29	0.41	0.48	0.5	0.48	0.38	0.46	0
22	0.34	0.28	0.48	0.5	0.41	0.35	0.44	0
23	0.41	0.43	0.48	0.5	0.45	0.31	0.41	0
24	0.29	0.47	0.48	0.5	0.41	0.23	0.34	0
25	0.34	0.55	0.48	0.5	0.58	0.31	0.41	0
26	0.36	0.56	0.48	0.5	0.43	0.45	0.53	0
27	0.4	0.46	0.48	0.5	0.52	0.49	0.56	0
28	0.5	0.49	0.48	0.5	0.49	0.46	0.53	0
29	0.66	0.74	0.48	0.5	0.31	0.38	0.43	1
30	0.67	0.81	0.48	0.5	0.25	0.42	0.25	1
31	0.64	0.72	0.48	0.5	0.49	0.42	0.19	1
32	0.68	0.82	0.48	0.5	0.38	0.65	0.56	1
33	0.32	0.39	0.48	0.5	0.53	0.28	0.38	1
34	0.44	0.34	0.48	0.5	0.3	0.33	0.43	0
35	0.42	0.38	0.48	0.5	0.54	0.34	0.43	0
36	0.44	0.56	0.48	0.5	0.5	0.46	0.54	0
37	0.52	0.36	0.48	0.5	0.41	0.28	0.38	0
38	0.36	0.41	0.48	0.5	0.48	0.47	0.54	0
39	0.18	0.3	0.48	0.5	0.46	0.24	0.35	0
40	0.47	0.29	0.48	0.5	0.51	0.33	0.43	0
41	0.24	0.43	0.48	0.5	0.54	0.52	0.59	0
42	0.25	0.37	0.48	0.5	0.41	0.33	0.42	0
43	0.52	0.57	0.48	0.5	0.42	0.47	0.54	0
44	0.25	0.37	0.48	0.5	0.43	0.26	0.36	0
45	0.35	0.48	0.48	0.5	0.56	0.4	0.48	0
46	0.26	0.26	0.48	0.5	0.34	0.25	0.35	0
47	0.44	0.51	0.48	0.5	0.47	0.26	0.36	0
48	0.37	0.5	0.48	0.5	0.42	0.36	0.45	0
49	0.44	0.42	0.48	0.5	0.42	0.25	0.2	0
50	0.24	0.43	0.48	0.5	0.37	0.28	0.38	0
51	0.42	0.3	0.48	0.5	0.48	0.26	0.36	0
52	0.48	0.42	0.48	0.5	0.45	0.25	0.35	0
53	0.41	0.48	0.48	0.5	0.51	0.44	0.51	0
54	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
55	0.29	0.41	0.48	0.5	0.48	0.38	0.46	0
56	0.34	0.28	0.48	0.5	0.41	0.35	0.44	0
57	0.41	0.43	0.48	0.5	0.45	0.31	0.41	0
58	0.29	0.47	0.48	0.5	0.41	0.23	0.34	0
