	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	label
0	0.25	0.37	0.48	0.5	0.43	0.26	0.36	0
1	0.35	0.48	0.48	0.5	0.56	0.4	0.48	0
2	0.26	0.26	0.48	0.5	0.34	0.25	0.35	0
3	0.44	0.51	0.48	0.5	0.47	0.26	0.36	0
4	0.37	0.5	0.48	0.5	0.42	0.36	0.45	0
5	0.44	0.42	0.48	0.5	0.42	0.25	0.2	0
6	0.24	0.43	0.48	0.5	0.37	0.28	0.38	0
7	0.42	0.3	0.48	0.5	0.48	0.26	0.36	0
8	0.48	0.42	0.48	0.5	0.45	0.25	0.35	0
9	0.41	0.48	0.48	0.5	0.51	0.44	0.51	0
10	0.44	0.28	0.48	0.5	0.43	0.27	0.37	0
11	0.29	0.41	0.48	0.5	0.48	0.38	0.46	0
12	0.34	0.28	0.48	0.5	0.41	0.35	0.44	0
13	0.41	0.43	0.48	0.5	0.45	0.31	0.41	0
14	0.29	0.47	0.48	0.5	0.41	0.23	0.34	0
15	0.34	0.55	0.48	0.5	0.58	0.31	0.41	0
16	0.36	0.56	0.48	0.5	0.43	0.45	0.53	0
17	0.4	0.46	0.48	0.5	0.52	0.49	0.56	0
18	0.5	0.49	0.48	0.5	0.49	0.46	0.53	0
19	0.52	0.44	0.48	0.5	0.37	0.36	0.42	0
20	0.5	0.51	0.48	0.5	0.27	0.23	0.34	0
21	0.53	0.42	0.48	0.5	0.16	0.29	0.39	0
22	0.34	0.46	0.48	0.5	0.52	0.35	0.44	0
23	0.4	0.42	0.48	0.5	0.37	0.27	0.27	0
24	0.41	0.43	0.48	0.5	0.5	0.24	0.25	0
25	0.3	0.45	0.48	0.5	0.36	0.21	0.32	0
26	0.31	0.47	0.48	0.5	0.29	0.28	0.39	0
27	0.64	0.76	0.48	0.5	0.45	0.35	0.38	0
28	0.35	0.37	0.48	0.5	0.3	0.34	0.43	0
29	0.57	0.54	0.48	0.5	0.37	0.28	0.33	0
30	0.65	0.55	0.48	0.5	0.34	0.37	0.28	0
31	0.51	0.46	0.48	0.5	0.58	0.31	0.41	0
32	0.38	0.4	0.48	0.5	0.63	0.25	0.35	0
33	0.24	0.57	0.48	0.5	0.63	0.34	0.43	0
34	0.38	0.26	0.48	0.5	0.54	0.16	0.28	0
35	0.33	0.47	0.48	0.5	0.53	0.18	0.29	0
36	0.24	0.34	0.48	0.5	0.38	0.3	0.4	0
37	0.26	0.5	0.48	0.5	0.44	0.32	0.41	0
38	0.44	0.49	0.48	0.5	0.39	0.38	0.4	0
39	0.43	0.32	0.48	0.5	0.33	0.45	0.52	0
40	0.49	0.43	0.48	0.5	0.49	0.3	0.4	0
41	0.47	0.28	0.48	0.5	0.56	0.2	0.25	0
42	0.32	0.33	0.48	0.5	0.6	0.06	0.2	0
43	0.34	0.35	0.48	0.5	0.51	0.49	0.56	0
44	0.35	0.34	0.48	0.5	0.46	0.3	0.27	0
45	0.38	0.3	0.48	0.5	0.43	0.29	0.39	0
46	0.38	0.44	0.48	0.5	0.43	0.2	0.31	0
47	0.41	0.51	0.48	0.5	0.58	0.2	0.31	0
48	0.34	0.42	0.48	0.5	0.41	0.34	0.43	0
49	0.51	0.49	0.48	0.5	0.53	0.14	0.26	0
50	0.25	0.51	0.48	0.5	0.37	0.42	0.5	0
51	0.29	0.28	0.48	0.5	0.5	0.42	0.5	0
52	0.25	0.26	0.48	0.5	0.39	0.32	0.42	0
53	0.24	0.41	0.48	0.5	0.49	0.23	0.34	0
54	0.17	0.39	0.48	0.5	0.53	0.3	0.39	0
55	0.04	0.31	0.48	0.5	0.41	0.29	0.39	0
56	0.61	0.36	0.48	0.5	0.49	0.35	0.44	0
57	0.34	0.51	0.48	0.5	0.44	0.37	0.46	0
58	0.28	0.33	0.48	0.5	0.45	0.22	0.33	0
59	0.4	0.46	0.48	0.5	0.42	0.35	0.44	0
60	0.23	0.34	0.48	0.5	0.43	0.26	0.37	0
61	0.37	0.44	0.48	0.5	0.42	0.39	0.47	0
62	0.0	0.38	0.48	0.5	0.42	0.48	0.55	0
63	0.39	0.31	0.48	0.5	0.38	0.34	0.43	0
64	0.3	0.44	0.48	0.5	0.49	0.22	0.33	0
65	0.27	0.3	0.48	0.5	0.71	0.28	0.39	0
66	0.17	0.52	0.48	0.5	0.49	0.37	0.46	0
67	0.36	0.42	0.48	0.5	0.53	0.32	0.41	0
68	0.3	0.37	0.48	0.5	0.43	0.18	0.3	0
69	0.26	0.4	0.48	0.5	0.36	0.26	0.37	0
70	0.4	0.41	0.48	0.5	0.55	0.22	0.33	0
71	0.22	0.34	0.48	0.5	0.42	0.29	0.39	0
72	0.44	0.35	0.48	0.5	0.44	0.52	0.59	0
73	0.27	0.42	0.48	0.5	0.37	0.38	0.43	0
74	0.16	0.43	0.48	0.5	0.54	0.27	0.37	0
75	0.06	0.61	0.48	0.5	0.49	0.92	0.37	1
76	0.44	0.52	0.48	0.5	0.43	0.47	0.54	1
77	0.63	0.47	0.48	0.5	0.51	0.82	0.84	1
78	0.23	0.48	0.48	0.5	0.59	0.88	0.89	1
79	0.34	0.49	0.48	0.5	0.58	0.85	0.8	1
80	0.43	0.4	0.48	0.5	0.58	0.75	0.78	1
81	0.46	0.61	0.48	0.5	0.48	0.86	0.87	1
82	0.27	0.35	0.48	0.5	0.51	0.77	0.79	1
83	0.52	0.39	0.48	0.5	0.65	0.71	0.73	1
84	0.29	0.47	0.48	0.5	0.71	0.65	0.69	1
85	0.55	0.47	0.48	0.5	0.57	0.78	0.8	1
86	0.12	0.67	0.48	0.5	0.74	0.58	0.63	1
87	0.4	0.5	0.48	0.5	0.65	0.82	0.84	1
88	0.73	0.36	0.48	0.5	0.53	0.91	0.92	1
89	0.84	0.44	0.48	0.5	0.48	0.71	0.74	1
90	0.48	0.45	0.48	0.5	0.6	0.78	0.8	1
91	0.54	0.49	0.48	0.5	0.4	0.87	0.88	1
92	0.48	0.41	0.48	0.5	0.51	0.9	0.88	1
93	0.5	0.66	0.48	0.5	0.31	0.92	0.92	1
94	0.72	0.46	0.48	0.5	0.51	0.66	0.7	1
95	0.47	0.55	0.48	0.5	0.58	0.71	0.75	1
96	0.33	0.56	0.48	0.5	0.33	0.78	0.8	1
97	0.64	0.58	0.48	0.5	0.48	0.78	0.73	1
98	0.54	0.57	0.48	0.5	0.56	0.81	0.83	1
99	0.47	0.59	0.48	0.5	0.52	0.76	0.79	1
100	0.63	0.5	0.48	0.5	0.59	0.85	0.86	1
101	0.49	0.42	0.48	0.5	0.53	0.79	0.81	1
102	0.31	0.5	0.48	0.5	0.57	0.84	0.85	1
103	0.74	0.44	0.48	0.5	0.55	0.88	0.89	1
104	0.33	0.45	0.48	0.5	0.45	0.88	0.89	1
105	0.45	0.4	0.48	0.5	0.61	0.74	0.77	1
106	0.71	0.4	0.48	0.5	0.71	0.7	0.74	1
107	0.5	0.37	0.48	0.5	0.66	0.64	0.69	1
108	0.66	0.53	0.48	0.5	0.59	0.66	0.66	1
