	RI	 Na	 Mg	 Al	 Si	 K	 Ca	 Ba	 Fe	Label
0	1.51761952	12.81145	3.53812	1.23053	73.2372	0.57753	8.389	0.0	0.0	0
1	1.51784732	13.7745	3.48873	1.27868	72.862	0.60237	8.48584	0.0	0.0	0
2	1.5175284	12.57205	3.47077	1.3814	73.3884	0.60237	8.5504	0.0	0.0306	0
3	1.5178701	12.73165	3.43036	1.1888	72.9516	0.621	8.75484	0.0	0.153	0
4	1.52320062	13.7225	3.72221	0.51149	71.7476	0.08694	10.568	0.0	0.0816	0
5	1.5229956	13.3102	3.57853	0.81965	71.9884	0.11799	10.17516	0.0	0.0153	0
6	1.52101374	13.6427	4.49	1.09892	71.7812	0.0621	8.75484	0.0	0.0	0
7	1.51750562	12.8181	3.55159	1.49054	72.75	0.54027	8.51812	0.0	0.0969	0
8	1.52212996	14.20795	3.82099	0.46976	71.77	0.11178	9.5726	0.0	0.0	0
9	1.52666318	13.9885	3.69976	0.71051	71.5684	0.01863	9.82008	0.0	0.051	0
10	1.51925968	13.19715	3.33158	1.27868	72.358	0.60237	9.1422	0.0	0.0561	0
11	1.52171992	13.4831	3.74017	0.8999	72.0108	0.18009	9.60488	0.0	0.0357	0
12	1.51618438	13.52965	3.55159	1.53869	72.9908	0.39123	7.77568	0.0	0.0	0
13	1.51761952	12.61195	3.592	1.31078	73.2876	0.57753	8.4966	0.0	0.0	0
14	1.51768786	12.55875	3.52016	1.42955	73.1476	0.57132	8.53964	0.0	0.0	0
15	1.51796122	12.7383	3.47975	1.3493	72.9572	0.63963	8.67952	0.0	0.0	0
16	1.51807512	13.4299	2.86911	1.1888	72.8396	0.55269	9.0346	0.0	0.0	0
17	1.5215149	13.11735	3.57853	0.8999	72.2012	0.22977	9.82008	0.0	0.0816	0
18	1.5174145	13.2703	3.61894	1.24016	73.0804	0.55269	8.0662	0.0	0.0	0
19	1.51556932	13.8688	0.0	2.54021	73.2316	0.14283	9.4112	0.80955	0.0051	1
20	1.5163894	14.36755	0.0	2.73923	72.8508	0.0	9.45424	0.53865	0.0	1
21	1.52315506	13.4432	3.34056	1.23053	72.3804	0.60237	8.83016	0.0	0.0	1
22	1.51761952	12.81145	3.53812	1.23053	73.2372	0.57753	8.389	0.0	0.0	0
23	1.51784732	13.7745	3.48873	1.27868	72.862	0.60237	8.48584	0.0	0.0	0
24	1.5175284	12.57205	3.47077	1.3814	73.3884	0.60237	8.5504	0.0	0.0306	0
25	1.5178701	12.73165	3.43036	1.1888	72.9516	0.621	8.75484	0.0	0.153	0
26	1.52320062	13.7225	3.72221	0.51149	71.7476	0.08694	10.568	0.0	0.0816	0
27	1.5229956	13.3102	3.57853	0.81965	71.9884	0.11799	10.17516	0.0	0.0153	0
28	1.52101374	13.6427	4.49	1.09892	71.7812	0.0621	8.75484	0.0	0.0	0
29	1.51750562	12.8181	3.55159	1.49054	72.75	0.54027	8.51812	0.0	0.0969	0
30	1.52212996	14.20795	3.82099	0.46976	71.77	0.11178	9.5726	0.0	0.0	0
31	1.52666318	13.9885	3.69976	0.71051	71.5684	0.01863	9.82008	0.0	0.051	0
32	1.51925968	13.19715	3.33158	1.27868	72.358	0.60237	9.1422	0.0	0.0561	0
33	1.52171992	13.4831	3.74017	0.8999	72.0108	0.18009	9.60488	0.0	0.0357	0
34	1.51618438	13.52965	3.55159	1.53869	72.9908	0.39123	7.77568	0.0	0.0	0
35	1.51761952	12.61195	3.592	1.31078	73.2876	0.57753	8.4966	0.0	0.0	0
36	1.51768786	12.55875	3.52016	1.42955	73.1476	0.57132	8.53964	0.0	0.0	0
37	1.51796122	12.7383	3.47975	1.3493	72.9572	0.63963	8.67952	0.0	0.0	0
38	1.51807512	13.4299	2.86911	1.1888	72.8396	0.55269	9.0346	0.0	0.0	0
39	1.5215149	13.11735	3.57853	0.8999	72.2012	0.22977	9.82008	0.0	0.0816	0
40	1.5174145	13.2703	3.61894	1.24016	73.0804	0.55269	8.0662	0.0	0.0	0
41	1.51556932	13.8688	0.0	2.54021	73.2316	0.14283	9.4112	0.80955	0.0051	1
42	1.5163894	14.36755	0.0	2.73923	72.8508	0.0	9.45424	0.53865	0.0	1
43	1.52315506	13.4432	3.34056	1.23053	72.3804	0.60237	8.83016	0.0	0.0	1
44	1.51761952	12.81145	3.53812	1.23053	73.2372	0.57753	8.389	0.0	0.0	0
45	1.51784732	13.7745	3.48873	1.27868	72.862	0.60237	8.48584	0.0	0.0	0
46	1.5175284	12.57205	3.47077	1.3814	73.3884	0.60237	8.5504	0.0	0.0306	0
47	1.5178701	12.73165	3.43036	1.1888	72.9516	0.621	8.75484	0.0	0.153	0
48	1.52320062	13.7225	3.72221	0.51149	71.7476	0.08694	10.568	0.0	0.0816	0
49	1.5229956	13.3102	3.57853	0.81965	71.9884	0.11799	10.17516	0.0	0.0153	0
50	1.52101374	13.6427	4.49	1.09892	71.7812	0.0621	8.75484	0.0	0.0	0
51	1.51750562	12.8181	3.55159	1.49054	72.75	0.54027	8.51812	0.0	0.0969	0
52	1.52212996	14.20795	3.82099	0.46976	71.77	0.11178	9.5726	0.0	0.0	0
53	1.52666318	13.9885	3.69976	0.71051	71.5684	0.01863	9.82008	0.0	0.051	0
54	1.51925968	13.19715	3.33158	1.27868	72.358	0.60237	9.1422	0.0	0.0561	0
55	1.52171992	13.4831	3.74017	0.8999	72.0108	0.18009	9.60488	0.0	0.0357	0
56	1.51618438	13.52965	3.55159	1.53869	72.9908	0.39123	7.77568	0.0	0.0	0
57	1.51761952	12.61195	3.592	1.31078	73.2876	0.57753	8.4966	0.0	0.0	0
58	1.51768786	12.55875	3.52016	1.42955	73.1476	0.57132	8.53964	0.0	0.0	0
59	1.51796122	12.7383	3.47975	1.3493	72.9572	0.63963	8.67952	0.0	0.0	0
60	1.51807512	13.4299	2.86911	1.1888	72.8396	0.55269	9.0346	0.0	0.0	0
61	1.5215149	13.11735	3.57853	0.8999	72.2012	0.22977	9.82008	0.0	0.0816	0
62	1.5174145	13.2703	3.61894	1.24016	73.0804	0.55269	8.0662	0.0	0.0	0
63	1.51556932	13.8688	0.0	2.54021	73.2316	0.14283	9.4112	0.80955	0.0051	1
64	1.5163894	14.36755	0.0	2.73923	72.8508	0.0	9.45424	0.53865	0.0	1
65	1.52315506	13.4432	3.34056	1.23053	72.3804	0.60237	8.83016	0.0	0.0	1
