	RI	 Na	 Mg	 Al	 Si	 K	 Ca	 Ba	 Fe	label
0	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	0
1	1.5160477	12.8979	3.43934	1.44881	73.58	0.44091	8.27064	0.0	0.0	0
2	1.5170728	13.7225	3.6818	1.81154	72.0612	0.63963	7.88328	0.0	0.0	0
3	1.51666276	12.9378	3.60996	1.25942	72.75	0.5589	8.6042	0.0	0.0	0
4	1.52613924	13.70255	0.0	1.35893	71.238	0.19251	13.43544	0.0	0.051	0
5	1.51689056	13.33015	3.53812	1.60931	72.5428	0.6831	8.10924	0.0	0.0	0
6	1.51645774	13.4432	3.60996	1.53869	72.3916	0.65826	8.03392	0.0	0.0	0
7	1.5159338	13.25035	3.44832	1.42955	73.17	0.60858	7.86176	0.0	0.0	0
8	1.51743728	12.19965	3.25076	1.15991	73.5508	0.621	8.89472	0.0	0.1224	0
9	1.52474966	11.4482	0.0	1.87895	72.19	0.8073	13.24176	0.0	0.1734	0
10	1.51828014	13.23705	3.90181	1.41029	72.33	0.55269	8.31368	0.0	0.051	0
11	1.51789288	13.1905	3.90181	1.30115	72.33	0.55269	8.4428	0.0	0.1428	0
12	1.51839404	12.85135	3.66833	1.24016	72.5708	0.621	8.67952	0.0	0.1785	0
13	1.5159338	13.09075	3.592	1.51943	73.0972	0.67068	7.82948	0.0	0.0	0
14	1.5159338	13.09075	3.52016	1.55153	72.8676	0.6831	8.04468	0.0	0.459	0
15	1.51910022	13.90205	3.73119	1.17917	72.1228	0.0621	8.89472	0.0	0.0	1
16	1.51793844	13.21045	3.47975	1.41029	72.638	0.58995	8.43204	0.0	0.0	1
17	1.51898632	13.58285	3.34954	1.23053	72.078	0.58995	8.90548	0.0	0.0	1
18	1.51215232	12.991	3.47077	1.12139	72.9796	0.621	8.34596	0.0	0.1581	1
19	1.51976084	13.80895	3.57853	1.32041	71.7196	0.11799	8.66876	0.68985	0.0	1
20	1.51761952	13.88875	3.60098	1.35893	72.7276	0.47817	7.82948	0.0	0.0	1
21	1.51784732	12.67845	3.66833	1.15991	73.1084	0.60858	8.70104	0.0	0.0	1
22	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	0
23	1.5160477	12.8979	3.43934	1.44881	73.58	0.44091	8.27064	0.0	0.0	0
24	1.5170728	13.7225	3.6818	1.81154	72.0612	0.63963	7.88328	0.0	0.0	0
25	1.51666276	12.9378	3.60996	1.25942	72.75	0.5589	8.6042	0.0	0.0	0
26	1.52613924	13.70255	0.0	1.35893	71.238	0.19251	13.43544	0.0	0.051	0
27	1.51689056	13.33015	3.53812	1.60931	72.5428	0.6831	8.10924	0.0	0.0	0
28	1.51645774	13.4432	3.60996	1.53869	72.3916	0.65826	8.03392	0.0	0.0	0
29	1.5159338	13.25035	3.44832	1.42955	73.17	0.60858	7.86176	0.0	0.0	0
30	1.51743728	12.19965	3.25076	1.15991	73.5508	0.621	8.89472	0.0	0.1224	0
31	1.52474966	11.4482	0.0	1.87895	72.19	0.8073	13.24176	0.0	0.1734	0
32	1.51828014	13.23705	3.90181	1.41029	72.33	0.55269	8.31368	0.0	0.051	0
33	1.51789288	13.1905	3.90181	1.30115	72.33	0.55269	8.4428	0.0	0.1428	0
34	1.51839404	12.85135	3.66833	1.24016	72.5708	0.621	8.67952	0.0	0.1785	0
35	1.5159338	13.09075	3.592	1.51943	73.0972	0.67068	7.82948	0.0	0.0	0
36	1.5159338	13.09075	3.52016	1.55153	72.8676	0.6831	8.04468	0.0	0.459	0
37	1.51910022	13.90205	3.73119	1.17917	72.1228	0.0621	8.89472	0.0	0.0	1
38	1.51793844	13.21045	3.47975	1.41029	72.638	0.58995	8.43204	0.0	0.0	1
39	1.51898632	13.58285	3.34954	1.23053	72.078	0.58995	8.90548	0.0	0.0	1
