	Unnamed: 0	Unnamed: 1	1	2	3	4	5	6	7	8	9	10	11	12	13	label
0	6	0.99512	10.377	0.90564	0.92135	0.99825	0.17941	0.016647	0.050433	0.0204	0.071662	0.0051092	0.0012661	0.00017021	0.71514	1
1	7	0.99505	10.736	0.90851	0.92586	0.99649	0.18236	0.028571	0.14856	0.017761	0.06961	0.0048222	0.0013129	0.00013111	0.59218	1
2	8	0.99518	10.421	0.90385	0.96551	0.98947	0.20051	0.0077228	0.010855	0.021258	0.080385	0.0064203	0.0019168	9.56e-05	0.66405	1
3	9	0.9953	10.63	0.90598	0.88866	0.95789	0.15967	0.025636	0.11961	0.014782	0.065416	0.0042611	0.0012831	6.44e-05	0.52178	1
4	10	0.99515	10.007	0.90328	0.91594	0.97719	0.16244	0.033129	0.19975	0.017258	0.070646	0.004966	0.0014641	7.16e-05	0.59946	1
5	11	0.99871	19.038	0.94834	0.851	0.90702	0.086183	0.073048	0.97117	0.0078165	0.048089	0.0023072	0.00075332	1.29e-05	0.34029	1
6	1	0.9109	2.5488	0.6106	0.97388	0.99825	0.55818	0.01972	0.070775	0.10132	0.17022	0.028158	0.0074614	0.0010974	2.3847	1
7	2	0.90391	2.458	0.5977	0.9861	1.0	0.61429	0.0067013	0.0081731	0.08902	0.16706	0.027151	0.007219	0.00096593	1.8937	1
8	3	0.90755	2.582	0.62394	0.96837	0.99825	0.55674	0.031714	0.18305	0.079387	0.16213	0.025613	0.0074124	0.00069878	1.6951	1
9	4	0.91708	2.6498	0.62919	0.98493	1.0	0.57926	0.0068053	0.0084289	0.082187	0.16877	0.027693	0.0085027	0.00064002	1.7157	1
10	5	0.9166	2.6711	0.6333	0.98228	1.0	0.51619	0.017465	0.055514	0.10368	0.181	0.031721	0.0081985	0.0014211	1.973	1
11	6	0.8942	2.4203	0.59323	0.98407	1.0	0.60794	0.01743	0.055294	0.10102	0.18748	0.033957	0.0098155	0.0011793	1.8275	1
12	7	0.93847	3.0198	0.67312	0.98733	1.0	0.53234	0.0076393	0.010621	0.07629	0.18017	0.03144	0.011932	0.00072251	1.2434	1
13	8	0.89518	2.3875	0.581	0.98796	1.0	0.63833	0.0077926	0.011052	0.07304	0.1591	0.024688	0.0073807	0.00084138	1.408	1
14	9	0.91707	2.6504	0.63359	0.96002	0.99298	0.53972	0.012062	0.026481	0.10121	0.18433	0.032861	0.0089657	0.0014149	1.7979	1
