	Unnamed: 0	Unnamed: 1	1	2	3	4	5	6	7	8	9	10	11	12	13	label
0	3	0.91355	2.457	0.61108	0.97034	0.97544	0.5645	0.0077029	0.010799	0.092547	0.18786	0.034088	0.011708	0.00046097	1.8501	1
1	4	0.91378	2.4132	0.60362	0.96618	0.99649	0.56153	0.0091377	0.015197	0.10604	0.20316	0.039637	0.013227	0.00072984	1.8526	1
2	5	0.85897	1.9723	0.51434	0.97407	0.99825	0.6792	0.0068392	0.0085129	0.046518	0.13848	0.018816	0.0073898	0.00015454	1.014	1
3	6	0.91296	2.4862	0.62315	0.96188	1.0	0.51041	0.010684	0.020775	0.064539	0.13678	0.018365	0.0048636	0.00052757	1.6875	1
4	7	0.93802	2.8087	0.65774	0.97091	1.0	0.58194	0.0067321	0.0082485	0.052218	0.13491	0.017874	0.0057374	0.00030246	1.2161	1
5	8	0.94058	3.0366	0.69248	0.93952	0.99474	0.42979	0.031219	0.17738	0.038691	0.1076	0.011445	0.0032156	0.00024816	1.0843	1
6	9	0.89672	2.2534	0.57689	0.96488	1.0	0.57906	0.0081422	0.012066	0.062778	0.1512	0.022351	0.0078553	0.00031192	1.4575	1
7	10	0.89507	2.2045	0.55605	0.97701	0.99649	0.64214	0.0053433	0.0051962	0.102	0.19598	0.036988	0.012562	0.00048437	2.0484	1
8	11	0.88246	2.1	0.5486	0.96929	0.99825	0.61897	0.0073021	0.0097043	0.10152	0.19717	0.03742	0.012995	0.00049125	2.0094	1
9	12	0.90831	2.4038	0.59263	0.97688	0.99825	0.59259	0.0064679	0.0076137	0.063688	0.1472	0.021208	0.0067017	0.00032702	1.5332	1
10	1	0.4132	1.0384	0.48465	0.78118	0.87018	0.30478	0.080722	1.1859	0.047303	0.12619	0.015674	0.0058992	0.00019037	1.489	1
11	2	0.56324	1.1928	0.474	0.77564	0.93333	0.34791	0.069404	0.87668	0.10401	0.17923	0.031125	0.0094494	0.00074739	2.4883	1
12	3	0.48967	1.1232	0.46175	0.80214	0.9	0.31034	0.073462	0.9822	0.10125	0.17926	0.031133	0.010102	0.00068131	2.4808	1
13	4	0.60319	1.088	0.51739	0.7638	0.90175	0.23802	0.077022	1.0797	0.10994	0.17976	0.031303	0.0088846	0.00087888	2.6613	1
14	5	0.53622	1.2341	0.44979	0.7882	0.94386	0.38426	0.072253	0.95013	0.042992	0.12337	0.014993	0.0056501	0.00013103	1.2646	1
15	6	0.37902	1.0738	0.5242	0.71586	0.85439	0.26309	0.065312	0.77635	0.067161	0.14275	0.019969	0.0059582	0.00040634	1.8527	1
16	7	0.53693	1.0751	0.55667	0.74395	0.77544	0.27241	0.080278	1.1729	0.091322	0.16265	0.025773	0.007318	0.00080697	2.2704	1
17	8	0.51153	1.0767	0.47053	0.77952	0.90702	0.28838	0.076992	1.0789	0.084711	0.17213	0.028776	0.0099656	0.00039644	2.0412	1
18	9	0.44271	1.0836	0.49548	0.74434	0.87018	0.26478	0.079481	1.1497	0.10151	0.1726	0.028929	0.0076406	0.00084487	2.389	1
