	1	2	3	4	5	6	7	8	9	10	label
0	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
1	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
2	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
3	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
4	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
5	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
6	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
7	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
8	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
9	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
10	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
11	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
12	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
13	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
14	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
15	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
16	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
17	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
18	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
19	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
20	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
21	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
22	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
23	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
24	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
25	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
26	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
27	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
28	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
29	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
30	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
31	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
32	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
33	14	1	14	0.071	1.0	1.0	14.0	14	14	1	4
34	11	1	11	0.091	1.0	1.0	11.0	11	11	1	4
35	9	1	9	0.111	1.0	1.0	9.0	9	9	1	4
36	20	1	20	0.05	1.0	1.0	20.0	20	20	1	4
37	25	1	25	0.04	1.0	1.0	25.0	25	25	1	4
38	10	1	10	0.1	1.0	1.0	10.0	10	10	1	4
39	18	1	18	0.056	1.0	1.0	18.0	18	18	1	4
40	8	1	8	0.125	1.0	1.0	8.0	8	8	1	4
41	27	1	27	0.037	1.0	1.0	27.0	27	27	1	4
42	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
43	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
44	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
45	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
46	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
47	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
48	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
49	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
50	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
51	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
52	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
53	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
54	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
55	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
56	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
57	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
58	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
59	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
60	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
61	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
62	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
63	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
64	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
65	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
66	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
67	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
68	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
69	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
70	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
71	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
72	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
73	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
74	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
75	14	1	14	0.071	1.0	1.0	14.0	14	14	1	4
76	11	1	11	0.091	1.0	1.0	11.0	11	11	1	4
77	9	1	9	0.111	1.0	1.0	9.0	9	9	1	4
78	20	1	20	0.05	1.0	1.0	20.0	20	20	1	4
79	25	1	25	0.04	1.0	1.0	25.0	25	25	1	4
80	10	1	10	0.1	1.0	1.0	10.0	10	10	1	4
81	18	1	18	0.056	1.0	1.0	18.0	18	18	1	4
82	8	1	8	0.125	1.0	1.0	8.0	8	8	1	4
83	27	1	27	0.037	1.0	1.0	27.0	27	27	1	4
84	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
85	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
86	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
87	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
88	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
89	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
90	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
91	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
92	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
93	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
94	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
95	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
96	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
97	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
98	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
99	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
100	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
101	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
102	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
103	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
104	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
105	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
106	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
107	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
108	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
109	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
110	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
111	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
112	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
113	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
114	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
115	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
116	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
117	14	1	14	0.071	1.0	1.0	14.0	14	14	1	4
118	11	1	11	0.091	1.0	1.0	11.0	11	11	1	4
119	9	1	9	0.111	1.0	1.0	9.0	9	9	1	4
120	20	1	20	0.05	1.0	1.0	20.0	20	20	1	4
121	25	1	25	0.04	1.0	1.0	25.0	25	25	1	4
122	10	1	10	0.1	1.0	1.0	10.0	10	10	1	4
123	18	1	18	0.056	1.0	1.0	18.0	18	18	1	4
124	8	1	8	0.125	1.0	1.0	8.0	8	8	1	4
125	27	1	27	0.037	1.0	1.0	27.0	27	27	1	4
126	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
127	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
128	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
129	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
130	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
131	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
132	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
133	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
134	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
135	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
136	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
137	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
138	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
139	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
140	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
141	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
142	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
143	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
144	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
145	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
146	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
147	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
148	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
149	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
150	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
151	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
152	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
153	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
154	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
155	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
156	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
157	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
158	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
159	14	1	14	0.071	1.0	1.0	14.0	14	14	1	4
160	11	1	11	0.091	1.0	1.0	11.0	11	11	1	4
161	9	1	9	0.111	1.0	1.0	9.0	9	9	1	4
162	20	1	20	0.05	1.0	1.0	20.0	20	20	1	4
163	25	1	25	0.04	1.0	1.0	25.0	25	25	1	4
164	10	1	10	0.1	1.0	1.0	10.0	10	10	1	4
165	18	1	18	0.056	1.0	1.0	18.0	18	18	1	4
166	8	1	8	0.125	1.0	1.0	8.0	8	8	1	4
167	27	1	27	0.037	1.0	1.0	27.0	27	27	1	4
168	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
169	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
170	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
171	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
172	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
173	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
174	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
175	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
176	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
177	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
178	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
179	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
180	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
181	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
182	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
183	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
184	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
185	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
186	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
187	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
188	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
189	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
190	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
191	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
192	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
193	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
194	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
195	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
196	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
197	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
198	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
199	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
200	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
201	14	1	14	0.071	1.0	1.0	14.0	14	14	1	4
202	11	1	11	0.091	1.0	1.0	11.0	11	11	1	4
203	9	1	9	0.111	1.0	1.0	9.0	9	9	1	4
204	20	1	20	0.05	1.0	1.0	20.0	20	20	1	4
205	25	1	25	0.04	1.0	1.0	25.0	25	25	1	4
206	10	1	10	0.1	1.0	1.0	10.0	10	10	1	4
207	18	1	18	0.056	1.0	1.0	18.0	18	18	1	4
208	8	1	8	0.125	1.0	1.0	8.0	8	8	1	4
209	27	1	27	0.037	1.0	1.0	27.0	27	27	1	4
210	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
211	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
212	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
213	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
214	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
215	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
216	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
217	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
218	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
219	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
220	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
221	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
222	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
223	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
224	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
225	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
226	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
227	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
228	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
229	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
230	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
231	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
232	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
233	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
234	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
235	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
236	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
237	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
238	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
239	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
240	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
241	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
242	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
243	14	1	14	0.071	1.0	1.0	14.0	14	14	1	4
244	11	1	11	0.091	1.0	1.0	11.0	11	11	1	4
245	9	1	9	0.111	1.0	1.0	9.0	9	9	1	4
246	20	1	20	0.05	1.0	1.0	20.0	20	20	1	4
247	25	1	25	0.04	1.0	1.0	25.0	25	25	1	4
248	10	1	10	0.1	1.0	1.0	10.0	10	10	1	4
249	18	1	18	0.056	1.0	1.0	18.0	18	18	1	4
250	8	1	8	0.125	1.0	1.0	8.0	8	8	1	4
251	27	1	27	0.037	1.0	1.0	27.0	27	27	1	4
252	2	475	950	237.5	0.504	0.544	95.8	479	517	5	2
253	2	99	198	49.5	0.253	0.616	4.55	50	122	11	2
254	2	537	1074	268.5	0.52	0.621	26.57	558	667	21	2
255	1	537	537	537.0	1.0	1.0	537.0	537	537	1	2
256	1	63	63	63.0	1.0	1.0	63.0	63	63	1	2
257	1	186	186	186.0	0.828	1.0	9.06	154	186	17	2
258	1	214	214	214.0	1.0	1.0	214.0	214	214	1	2
259	1	62	62	62.0	0.984	1.0	61.0	61	62	1	2
260	1	148	148	148.0	0.986	1.0	73.0	146	148	2	2
261	1	278	278	278.0	0.946	1.0	29.22	263	278	9	2
262	1	26	26	26.0	1.0	1.0	26.0	26	26	1	2
263	1	13	13	13.0	1.0	1.0	13.0	13	13	1	2
264	1	145	145	145.0	0.972	1.0	35.25	141	145	4	2
265	1	36	36	36.0	0.306	1.0	1.83	11	36	6	2
266	1	81	81	81.0	0.901	1.0	24.33	73	81	3	2
267	1	187	187	187.0	0.963	1.0	25.71	180	187	7	2
268	2	538	1076	269.0	0.519	0.684	34.88	558	736	16	2
269	2	538	1076	269.0	0.637	0.703	29.78	685	756	23	2
270	2	537	1074	268.5	0.538	0.555	82.57	578	596	7	2
271	3	538	1614	179.33	0.37	0.424	22.11	597	685	27	2
272	3	537	1611	179.0	0.353	0.364	71.13	569	587	8	2
273	2	537	1074	268.5	0.621	0.747	16.68	667	802	40	2
274	2	537	1074	268.5	0.538	0.594	32.11	578	638	18	2
275	2	537	1074	268.5	0.556	0.655	24.88	597	704	24	2
276	2	537	1074	268.5	0.537	0.609	22.19	577	654	26	2
277	2	538	1076	269.0	0.518	0.596	29.32	557	641	19	2
278	2	537	1074	268.5	0.523	0.567	62.44	562	609	9	2
279	2	535	1070	267.5	0.55	0.586	117.8	589	627	5	2
280	3	500	1500	166.67	0.373	0.421	19.28	559	632	29	2
281	2	32	64	16.0	0.516	0.531	33.0	33	34	1	2
282	2	536	1072	268.0	0.568	0.688	24.36	609	737	25	2
283	2	536	1072	268.0	0.586	0.686	21.66	628	735	29	2
284	6	39	234	6.5	0.192	0.197	45.0	45	46	1	2
