	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
1	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
2	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
3	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
4	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
5	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
6	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
7	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
8	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
9	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
10	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
11	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
12	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
13	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
14	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
15	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
16	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
17	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
18	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
19	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
20	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
21	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
22	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
23	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
24	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
25	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
26	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
27	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
28	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
29	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
30	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
31	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
32	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
33	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
34	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
35	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
36	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
37	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
38	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
39	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
40	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
41	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
42	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
43	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
44	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
45	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
46	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
47	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
48	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
49	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
