	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
1	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
2	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
3	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
4	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
5	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
6	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
7	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
8	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
9	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
10	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
11	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
12	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
13	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
14	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
15	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
16	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
17	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
18	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
19	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
20	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
21	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
22	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
23	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
24	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
25	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
26	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
27	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
28	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
29	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
30	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
31	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
32	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
33	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
34	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
35	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
36	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
37	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
38	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
39	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
40	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
41	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
42	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
43	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
44	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
45	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
46	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
47	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
48	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
49	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
50	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
51	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
52	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
53	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
54	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
55	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
56	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
57	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
58	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
59	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
60	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
61	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
62	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
63	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
64	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
65	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
66	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
67	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
68	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
69	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
70	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
71	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
72	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
73	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
74	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
75	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
76	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
77	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
78	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
79	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
80	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
81	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
82	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
83	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
84	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
85	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
86	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
87	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
88	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
89	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
90	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
91	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
92	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
93	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
94	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
95	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
96	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
97	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
98	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
99	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
100	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
101	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
102	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
103	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
104	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
105	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
106	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
107	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
108	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
109	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
110	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
111	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
112	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
113	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
114	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
115	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
116	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
117	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
118	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
119	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
120	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
121	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
122	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
123	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
124	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
125	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
126	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
127	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
128	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
129	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
130	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
131	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
132	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
133	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
134	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
135	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
136	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
137	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
138	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
139	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
140	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
141	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
142	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
143	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
144	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
145	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
146	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
147	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
148	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
149	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
150	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
