	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
1	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
2	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
3	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
4	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
5	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
6	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
7	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
8	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
9	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
10	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
11	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
12	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
13	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
14	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
15	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
16	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
17	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
18	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
19	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
20	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
21	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
22	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
23	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
24	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
25	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
26	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
27	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
28	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
29	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
30	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
31	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
32	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
33	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
34	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
35	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
36	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
37	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
38	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
39	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
40	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
41	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
42	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
43	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
44	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
45	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
46	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
47	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
48	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
49	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
50	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
51	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
52	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
53	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
54	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
55	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
56	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
57	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
58	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
59	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
60	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
61	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
62	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
63	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
64	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
65	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
66	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
67	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
68	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
69	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
70	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
71	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
72	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
73	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
74	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
75	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
76	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
77	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
78	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
79	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
80	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
81	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
82	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
83	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
84	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
85	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
86	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
87	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
88	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
89	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
90	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
91	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
92	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
93	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
94	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
95	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
96	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
97	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
98	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
99	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
100	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
101	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
102	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
103	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
104	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
105	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
106	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
107	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
108	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
109	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
110	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
111	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
112	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
113	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
114	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
115	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
116	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
117	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
118	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
119	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
120	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
121	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
122	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
123	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
124	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
125	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
126	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
127	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
128	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
129	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
130	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
131	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
132	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
133	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
134	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
135	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
136	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
137	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
138	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
139	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
140	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
141	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
142	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
143	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
144	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
145	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
146	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
147	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
148	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
149	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
150	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
151	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
152	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
153	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
154	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
155	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
156	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
157	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
158	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
159	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
160	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
161	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
162	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
163	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
164	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	0
165	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	0
166	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	0
167	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	0
168	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	1
169	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	1
170	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	1
171	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	1
172	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	1
173	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	1
174	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	1
175	10.8	12.57	0.859	4.981	2.821	4.773	5.063	1
176	11.26	13.01	0.8355	5.186	2.71	5.335	5.092	1
177	10.74	12.73	0.8329	5.145	2.642	4.702	4.963	1
178	11.48	13.05	0.8473	5.18	2.758	5.876	5.002	1
179	12.21	13.47	0.8453	5.357	2.893	1.661	5.178	1
180	11.41	12.95	0.856	5.09	2.775	4.957	4.825	1
181	12.46	13.41	0.8706	5.236	3.017	4.987	5.147	1
182	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	0
183	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	0
184	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	0
