	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	11.36	13.05	0.8382	5.175	2.755	4.048	5.263	1
1	11.19	13.05	0.8253	5.25	2.675	5.813	5.219	1
2	11.34	12.87	0.8596	5.053	2.849	3.347	5.003	1
3	12.13	13.73	0.8081	5.394	2.745	4.825	5.22	1
4	11.75	13.52	0.8082	5.444	2.678	4.378	5.31	1
5	11.49	13.22	0.8263	5.304	2.695	5.388	5.31	1
6	12.54	13.67	0.8425	5.451	2.879	3.082	5.491	1
7	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	1
8	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	1
9	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	1
10	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	1
11	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	1
12	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	1
13	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	1
14	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	0
15	15.5	14.86	0.882	5.877	3.396	4.711	5.528	0
16	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	0
17	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	0
18	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	0
19	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	0
20	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	0
21	11.36	13.05	0.8382	5.175	2.755	4.048	5.263	1
22	11.19	13.05	0.8253	5.25	2.675	5.813	5.219	1
23	11.34	12.87	0.8596	5.053	2.849	3.347	5.003	1
24	12.13	13.73	0.8081	5.394	2.745	4.825	5.22	1
25	11.75	13.52	0.8082	5.444	2.678	4.378	5.31	1
26	11.49	13.22	0.8263	5.304	2.695	5.388	5.31	1
27	12.54	13.67	0.8425	5.451	2.879	3.082	5.491	1
28	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	1
29	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	1
30	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	1
31	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	1
32	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	1
33	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	1
34	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	1
35	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	0
36	15.5	14.86	0.882	5.877	3.396	4.711	5.528	0
37	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	0
38	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	0
39	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	0
40	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	0
41	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	0
42	11.36	13.05	0.8382	5.175	2.755	4.048	5.263	1
43	11.19	13.05	0.8253	5.25	2.675	5.813	5.219	1
44	11.34	12.87	0.8596	5.053	2.849	3.347	5.003	1
45	12.13	13.73	0.8081	5.394	2.745	4.825	5.22	1
46	11.75	13.52	0.8082	5.444	2.678	4.378	5.31	1
47	11.49	13.22	0.8263	5.304	2.695	5.388	5.31	1
48	12.54	13.67	0.8425	5.451	2.879	3.082	5.491	1
49	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	1
50	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	1
51	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	1
52	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	1
53	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	1
54	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	1
55	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	1
56	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	0
57	15.5	14.86	0.882	5.877	3.396	4.711	5.528	0
58	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	0
59	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	0
60	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	0
61	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	0
62	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	0
63	11.36	13.05	0.8382	5.175	2.755	4.048	5.263	1
64	11.19	13.05	0.8253	5.25	2.675	5.813	5.219	1
65	11.34	12.87	0.8596	5.053	2.849	3.347	5.003	1
66	12.13	13.73	0.8081	5.394	2.745	4.825	5.22	1
67	11.75	13.52	0.8082	5.444	2.678	4.378	5.31	1
68	11.49	13.22	0.8263	5.304	2.695	5.388	5.31	1
69	12.54	13.67	0.8425	5.451	2.879	3.082	5.491	1
70	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	1
71	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	1
72	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	1
73	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	1
74	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	1
75	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	1
76	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	1
77	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	0
78	15.5	14.86	0.882	5.877	3.396	4.711	5.528	0
79	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	0
80	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	0
81	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	0
82	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	0
83	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	0
84	11.36	13.05	0.8382	5.175	2.755	4.048	5.263	1
85	11.19	13.05	0.8253	5.25	2.675	5.813	5.219	1
86	11.34	12.87	0.8596	5.053	2.849	3.347	5.003	1
87	12.13	13.73	0.8081	5.394	2.745	4.825	5.22	1
88	11.75	13.52	0.8082	5.444	2.678	4.378	5.31	1
89	11.49	13.22	0.8263	5.304	2.695	5.388	5.31	1
90	12.54	13.67	0.8425	5.451	2.879	3.082	5.491	1
91	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	1
92	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	1
93	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	1
94	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	1
95	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	1
