	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
1	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
2	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
3	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
4	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
5	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
6	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
7	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
8	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
9	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
10	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
11	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
12	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
13	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
14	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
15	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
16	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
17	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
18	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
19	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
20	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
21	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
22	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
23	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
24	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
25	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
26	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
27	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
28	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
29	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
30	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
31	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
32	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
33	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
34	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
35	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
36	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
37	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
38	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
39	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
40	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
41	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
42	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
43	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
44	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
45	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
46	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
47	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
48	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
49	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
50	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
51	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
52	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
53	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
54	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
55	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
56	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
57	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
58	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
59	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
60	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
61	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
62	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
63	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
64	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
65	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
66	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
67	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
68	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
69	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
70	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
71	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
72	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
73	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
74	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
75	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
76	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
77	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
78	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
79	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
80	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
81	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
82	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
83	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
84	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
85	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
86	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
87	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
88	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
89	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
90	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
91	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
92	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
93	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
94	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
95	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
96	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
97	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
98	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
99	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
100	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
101	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
102	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
103	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
104	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
105	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
106	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
107	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
108	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
109	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
110	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
111	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
112	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
113	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
114	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
115	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
116	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
117	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
118	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
119	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
120	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
121	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
122	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
123	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
124	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
125	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
126	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
127	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
128	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
129	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
130	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
131	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
132	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
133	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
134	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
135	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
136	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
137	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
138	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
139	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
140	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
141	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
142	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
143	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
144	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
145	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
146	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
147	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
148	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
149	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
150	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
151	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
152	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
153	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
154	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
155	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
156	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
157	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
158	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
159	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
160	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
161	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
162	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
163	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
164	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
165	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
166	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
167	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
168	13.07	13.92	0.848	5.472	2.994	5.304	5.395	1
169	13.32	13.94	0.8613	5.541	3.073	7.035	5.44	1
170	13.34	13.95	0.862	5.389	3.074	5.995	5.307	1
171	12.22	13.32	0.8652	5.224	2.967	5.469	5.221	1
172	11.82	13.4	0.8274	5.314	2.777	4.471	5.178	1
173	11.21	13.13	0.8167	5.279	2.687	6.169	5.275	1
174	11.43	13.13	0.8335	5.176	2.719	2.221	5.132	1
175	12.49	13.46	0.8658	5.267	2.967	4.421	5.002	1
176	12.7	13.71	0.8491	5.386	2.911	3.26	5.316	1
177	10.79	12.93	0.8107	5.317	2.648	5.462	5.194	1
178	11.83	13.23	0.8496	5.263	2.84	5.195	5.307	1
179	12.01	13.52	0.8249	5.405	2.776	6.992	5.27	1
180	12.26	13.6	0.8333	5.408	2.833	4.756	5.36	1
181	11.18	13.04	0.8266	5.22	2.693	3.332	5.001	1
182	16.12	15.0	0.9	5.709	3.485	2.27	5.443	0
183	16.2	15.27	0.8734	5.826	3.464	2.823	5.527	0
184	17.08	15.38	0.9079	5.832	3.683	2.956	5.484	0
185	14.8	14.52	0.8823	5.656	3.288	3.112	5.309	0
186	14.28	14.17	0.8944	5.397	3.298	6.685	5.001	0
187	13.54	13.85	0.8871	5.348	3.156	2.587	5.178	0
188	13.5	13.85	0.8852	5.351	3.158	2.249	5.176	0
