	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
1	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
2	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
3	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
4	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
5	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
6	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
7	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
8	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
9	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
10	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
11	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
12	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
13	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
14	13.74	14.05	0.8744	5.482	3.114	2.932	4.825	0
15	14.59	14.28	0.8993	5.351	3.333	4.185	4.781	0
16	13.99	13.83	0.9183	5.119	3.383	5.234	4.781	0
17	15.69	14.75	0.9058	5.527	3.514	1.599	5.046	0
18	14.7	14.21	0.9153	5.205	3.466	1.767	4.649	0
19	12.72	13.57	0.8686	5.226	3.049	4.102	4.914	0
20	14.16	14.4	0.8584	5.658	3.129	3.072	5.176	0
21	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
22	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
23	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
24	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
25	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
26	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
27	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
28	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
29	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
30	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
31	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
32	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
33	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
34	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
35	13.74	14.05	0.8744	5.482	3.114	2.932	4.825	0
36	14.59	14.28	0.8993	5.351	3.333	4.185	4.781	0
37	13.99	13.83	0.9183	5.119	3.383	5.234	4.781	0
38	15.69	14.75	0.9058	5.527	3.514	1.599	5.046	0
39	14.7	14.21	0.9153	5.205	3.466	1.767	4.649	0
40	12.72	13.57	0.8686	5.226	3.049	4.102	4.914	0
41	14.16	14.4	0.8584	5.658	3.129	3.072	5.176	0
42	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
43	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
44	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
45	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
46	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
47	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
48	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
49	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
50	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
51	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
52	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
53	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
54	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
55	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
56	13.74	14.05	0.8744	5.482	3.114	2.932	4.825	0
57	14.59	14.28	0.8993	5.351	3.333	4.185	4.781	0
58	13.99	13.83	0.9183	5.119	3.383	5.234	4.781	0
59	15.69	14.75	0.9058	5.527	3.514	1.599	5.046	0
60	14.7	14.21	0.9153	5.205	3.466	1.767	4.649	0
61	12.72	13.57	0.8686	5.226	3.049	4.102	4.914	0
62	14.16	14.4	0.8584	5.658	3.129	3.072	5.176	0
63	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
64	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
65	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
66	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
67	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
68	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
69	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
70	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
71	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
72	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
73	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
74	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
75	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
76	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
77	13.74	14.05	0.8744	5.482	3.114	2.932	4.825	0
78	14.59	14.28	0.8993	5.351	3.333	4.185	4.781	0
79	13.99	13.83	0.9183	5.119	3.383	5.234	4.781	0
80	15.69	14.75	0.9058	5.527	3.514	1.599	5.046	0
81	14.7	14.21	0.9153	5.205	3.466	1.767	4.649	0
82	12.72	13.57	0.8686	5.226	3.049	4.102	4.914	0
83	14.16	14.4	0.8584	5.658	3.129	3.072	5.176	0
84	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
85	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
86	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
87	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
88	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
89	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
90	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
91	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
92	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
93	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
94	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
95	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
96	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
97	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
98	13.74	14.05	0.8744	5.482	3.114	2.932	4.825	0
99	14.59	14.28	0.8993	5.351	3.333	4.185	4.781	0
100	13.99	13.83	0.9183	5.119	3.383	5.234	4.781	0
101	15.69	14.75	0.9058	5.527	3.514	1.599	5.046	0
102	14.7	14.21	0.9153	5.205	3.466	1.767	4.649	0
103	12.72	13.57	0.8686	5.226	3.049	4.102	4.914	0
104	14.16	14.4	0.8584	5.658	3.129	3.072	5.176	0
105	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
