	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
0	12.79	13.53	0.8786	5.224	3.054	5.483	4.958	1
1	13.37	13.78	0.8849	5.32	3.128	4.67	5.091	1
2	12.62	13.67	0.8481	5.41	2.911	3.306	5.231	1
3	12.76	13.38	0.8964	5.073	3.155	2.828	4.83	1
4	12.38	13.44	0.8609	5.219	2.989	5.472	5.045	1
5	12.67	13.32	0.8977	4.984	3.135	2.3	4.745	1
6	11.18	12.72	0.868	5.009	2.81	4.051	4.828	1
7	12.7	13.41	0.8874	5.183	3.091	8.456	5.0	1
8	12.37	13.47	0.8567	5.204	2.96	3.919	5.001	1
9	12.19	13.2	0.8783	5.137	2.981	3.631	4.87	1
10	11.23	12.88	0.8511	5.14	2.795	4.325	5.003	1
11	13.2	13.66	0.8883	5.236	3.232	8.315	5.056	1
12	11.84	13.21	0.8521	5.175	2.836	3.598	5.044	1
13	12.3	13.34	0.8684	5.243	2.974	5.637	5.063	1
14	13.22	13.84	0.868	5.395	3.07	4.157	5.088	0
15	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	0
16	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	0
17	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	0
18	14.01	14.29	0.8625	5.609	3.158	2.217	5.132	0
19	14.37	14.39	0.8726	5.569	3.153	1.464	5.3	0
20	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	0
21	12.79	13.53	0.8786	5.224	3.054	5.483	4.958	1
22	13.37	13.78	0.8849	5.32	3.128	4.67	5.091	1
23	12.62	13.67	0.8481	5.41	2.911	3.306	5.231	1
24	12.76	13.38	0.8964	5.073	3.155	2.828	4.83	1
25	12.38	13.44	0.8609	5.219	2.989	5.472	5.045	1
26	12.67	13.32	0.8977	4.984	3.135	2.3	4.745	1
27	11.18	12.72	0.868	5.009	2.81	4.051	4.828	1
28	12.7	13.41	0.8874	5.183	3.091	8.456	5.0	1
29	12.37	13.47	0.8567	5.204	2.96	3.919	5.001	1
30	12.19	13.2	0.8783	5.137	2.981	3.631	4.87	1
31	11.23	12.88	0.8511	5.14	2.795	4.325	5.003	1
32	13.2	13.66	0.8883	5.236	3.232	8.315	5.056	1
33	11.84	13.21	0.8521	5.175	2.836	3.598	5.044	1
34	12.3	13.34	0.8684	5.243	2.974	5.637	5.063	1
35	13.22	13.84	0.868	5.395	3.07	4.157	5.088	0
36	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	0
37	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	0
38	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	0
39	14.01	14.29	0.8625	5.609	3.158	2.217	5.132	0
40	14.37	14.39	0.8726	5.569	3.153	1.464	5.3	0
41	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	0
42	12.79	13.53	0.8786	5.224	3.054	5.483	4.958	1
43	13.37	13.78	0.8849	5.32	3.128	4.67	5.091	1
44	12.62	13.67	0.8481	5.41	2.911	3.306	5.231	1
