	 a1	a2	a3	a4	a5	a6	label
0	49	29	48	56	24	35	0
1	7	4	48	54	35	44	0
2	56	4	48	49	37	46	0
3	59	49	48	52	45	36	0
4	23	32	48	55	25	35	0
5	67	39	48	36	38	46	0
6	29	28	48	44	23	34	0
7	21	34	48	51	28	39	0
8	2	44	48	46	51	57	0
9	42	4	48	56	18	3	0
10	42	24	48	57	27	37	0
11	25	48	48	44	17	29	0
12	39	32	48	46	24	35	0
13	51	5	48	46	32	35	0
14	22	43	48	48	16	28	0
15	25	4	48	46	44	52	0
16	34	45	48	38	24	35	0
17	44	27	48	55	52	58	0
18	23	4	48	39	28	38	0
19	41	57	48	39	21	32	0
20	4	45	48	38	22	0	0
21	31	23	48	73	5	14	0
22	51	54	48	41	34	43	0
23	3	16	48	56	11	23	0
24	36	39	48	48	22	23	0
25	29	37	48	48	44	52	0
26	25	4	48	47	33	42	0
27	21	51	48	5	32	41	0
28	43	37	48	53	35	44	0
29	43	39	48	47	31	41	0
30	53	38	48	44	26	36	0
31	34	33	48	38	35	44	0
32	56	51	48	34	37	46	0
33	4	29	48	42	35	44	0
34	24	35	48	31	19	31	0
35	36	54	48	41	38	46	0
36	29	52	48	42	29	39	0
37	65	47	48	59	3	4	0
38	32	42	48	35	28	38	0
39	38	46	48	48	22	29	0
40	33	45	48	52	32	41	0
41	3	37	48	59	41	49	0
42	4	5	48	45	39	47	0
43	28	38	48	5	33	42	0
44	61	45	48	48	35	41	0
45	17	38	48	45	42	5	0
46	44	35	48	55	55	61	0
47	43	4	48	39	28	39	0
48	42	35	48	58	15	27	0
49	23	33	48	43	33	43	0
50	37	52	48	42	42	36	0
51	29	3	48	45	3	17	0
52	22	36	48	35	39	47	0
53	23	58	48	37	53	59	0
54	47	47	48	22	16	26	0
55	54	47	48	28	33	42	0
56	51	37	48	35	36	45	0
57	4	35	48	45	33	42	0
58	44	34	48	3	33	43	0
59	42	38	48	54	34	43	0
60	44	56	48	5	46	54	0
61	52	36	48	41	28	38	0
62	36	41	48	48	47	54	0
63	18	3	48	46	24	35	0
64	47	29	48	51	33	43	0
65	24	43	48	54	52	59	0
66	25	37	48	41	33	42	0
67	52	57	48	42	47	54	0
68	25	37	48	43	26	36	0
69	35	48	48	56	4	48	0
70	26	26	48	34	25	35	0
71	44	51	48	47	26	36	0
72	37	5	48	42	36	45	0
73	44	42	48	42	25	2	0
74	24	43	48	37	28	38	0
75	42	3	48	48	26	36	0
76	48	42	48	45	25	35	0
77	41	48	48	51	44	51	0
78	44	28	48	43	27	37	0
79	29	41	48	48	38	46	0
80	34	28	48	41	35	44	0
81	41	43	48	45	31	41	0
82	4	31	48	41	29	39	0
83	61	36	48	49	35	44	0
84	34	51	48	44	37	46	0
85	28	33	48	45	22	33	0
86	4	46	48	42	35	44	0
87	23	34	48	43	26	37	0
88	37	44	48	42	39	47	0
89	0	38	48	42	48	55	0
90	39	31	48	38	34	43	0
91	3	44	48	49	22	33	0
92	27	3	48	71	28	39	0
93	17	52	48	49	37	46	0
94	36	42	48	53	32	41	0
95	3	37	48	43	18	3	0
96	26	4	48	36	26	37	0
97	4	41	48	55	22	33	0
98	22	34	48	42	29	39	0
99	44	35	48	44	52	59	0
100	27	42	48	37	38	43	0
101	16	43	48	54	27	37	0
102	72	42	48	65	77	79	0
103	79	41	48	66	81	83	0
104	83	48	48	65	76	79	0
105	69	43	48	59	74	77	0
106	79	36	48	46	82	7	0
107	78	33	48	57	77	79	0
108	75	37	48	64	7	74	0
109	59	29	48	64	75	77	0
110	67	37	48	54	64	68	0
111	66	48	48	54	7	74	0
112	64	46	48	48	73	76	0
113	76	71	48	5	71	75	0
114	84	49	48	55	78	74	0
115	77	55	48	51	78	74	0
116	81	44	48	42	67	68	0
117	58	6	48	59	73	76	0
118	63	42	48	48	77	8	0
119	62	42	48	58	79	81	0
120	86	39	48	59	89	9	0
121	81	53	48	57	87	88	0
122	87	49	48	61	76	79	0
123	47	46	48	62	74	77	0
124	76	41	48	5	59	62	0
125	7	53	48	7	86	87	0
126	64	45	48	67	61	66	0
127	81	52	48	57	78	8	0
128	73	26	48	57	75	78	0
129	49	61	1	56	71	74	0
130	88	42	48	52	73	75	0
131	84	54	48	75	92	7	0
132	63	51	48	64	72	76	0
133	86	55	48	63	81	83	0
134	79	54	48	5	66	68	0
135	57	38	48	6	49	33	0
136	78	44	48	45	73	68	0
137	77	57	1	37	54	1	0
138	66	49	1	54	56	36	0
139	71	46	1	52	59	3	0
140	67	55	1	66	58	16	0
141	68	49	1	62	55	28	0
142	78	68	48	83	4	29	1
143	63	69	48	65	41	28	1
144	67	88	48	73	5	25	1
145	61	75	48	51	33	33	1
146	67	84	48	74	54	37	1
147	74	9	48	57	53	29	1
148	73	84	48	86	58	29	1
149	75	76	48	83	57	3	1
150	77	57	48	88	53	2	1
151	74	78	48	75	54	15	1
152	68	76	48	84	45	27	1
153	56	68	48	77	36	45	1
154	65	51	48	66	54	33	1
155	52	81	48	72	38	38	1
156	64	57	48	7	33	26	1
157	6	76	1	77	59	52	1
158	69	59	48	77	39	21	1
159	63	49	48	79	45	28	1
160	71	71	48	68	43	36	1
161	68	63	48	73	4	3	1
