	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
0	7.1	0.59	0.02	2.3	0.082	24.0	94.0	0.99744	3.55	0.53	9.7	1
1	7.9	0.72	0.01	1.9	0.076	7.0	32.0	0.99668	3.39	0.54	9.6	1
2	7.1	0.59	0.02	2.3	0.082	24.0	94.0	0.99744	3.55	0.53	9.7	1
3	9.4	0.685	0.26	2.4	0.082	23.0	143.0	0.9978	3.28	0.55	9.4	1
4	9.5	0.57	0.27	2.3	0.082	23.0	144.0	0.99782	3.27	0.55	9.4	1
5	7.9	0.4	0.29	1.8	0.157	1.0	44.0	0.9973	3.3	0.92	9.5	1
6	7.9	0.4	0.3	1.8	0.157	2.0	45.0	0.99727	3.31	0.91	9.5	1
7	7.2	1.0	0.0	3.0	0.102	7.0	16.0	0.99586	3.43	0.46	10.0	1
8	6.9	0.765	0.18	2.4	0.243	5.5	48.0	0.99612	3.4	0.6	10.3	1
9	6.9	0.635	0.17	2.4	0.241	6.0	18.0	0.9961	3.4	0.59	10.3	1
10	8.3	0.43	0.3	3.4	0.079	7.0	34.0	0.99788	3.36	0.61	10.5	1
11	7.1	0.52	0.03	2.6	0.076	21.0	92.0	0.99745	3.5	0.6	9.8	1
12	7.0	0.57	0.0	2.0	0.19	12.0	45.0	0.99676	3.31	0.6	9.4	1
13	6.5	0.46	0.14	2.4	0.114	9.0	37.0	0.99732	3.66	0.65	9.8	1
14	9.0	0.82	0.05	2.4	0.081	26.0	96.0	0.99814	3.36	0.53	10.0	1
15	6.5	0.46	0.14	2.4	0.114	9.0	37.0	0.99732	3.66	0.65	9.8	1
16	7.1	0.59	0.01	2.5	0.077	20.0	85.0	0.99746	3.55	0.59	9.8	1
17	9.9	0.35	0.41	2.3	0.083	11.0	61.0	0.9982	3.21	0.5	9.5	1
18	9.9	0.35	0.41	2.3	0.083	11.0	61.0	0.9982	3.21	0.5	9.5	1
19	10.0	0.56	0.24	2.2	0.079	19.0	58.0	0.9991	3.18	0.56	10.1	1
20	10.0	0.56	0.24	2.2	0.079	19.0	58.0	0.9991	3.18	0.56	10.1	1
21	8.6	0.63	0.17	2.9	0.099	21.0	119.0	0.998	3.09	0.52	9.3	1
22	7.4	0.37	0.43	2.6	0.082	18.0	82.0	0.99708	3.33	0.68	9.7	1
23	8.8	0.64	0.17	2.9	0.084	25.0	130.0	0.99818	3.23	0.54	9.6	1
24	7.1	0.61	0.02	2.5	0.081	17.0	87.0	0.99745	3.48	0.6	9.7	1
25	7.7	0.6	0.0	2.6	0.055	7.0	13.0	0.99639	3.38	0.56	10.8	1
26	10.1	0.27	0.54	2.3	0.065	7.0	26.0	0.99531	3.17	0.53	12.5	1
27	10.8	0.89	0.3	2.6	0.132	7.0	60.0	0.99786	2.99	1.18	10.2	1
28	8.7	0.46	0.31	2.5	0.126	24.0	64.0	0.99746	3.1	0.74	9.6	1
29	9.4	0.5	0.34	3.6	0.082	5.0	14.0	0.9987	3.29	0.52	10.7	1
30	9.4	0.5	0.34	3.6	0.082	5.0	14.0	0.9987	3.29	0.52	10.7	1
31	7.2	0.61	0.08	4.0	0.082	26.0	108.0	0.99641	3.25	0.51	9.4	1
32	8.6	0.55	0.09	3.3	0.068	8.0	17.0	0.99735	3.23	0.44	10.0	1
33	7.7	0.56	0.08	2.5	0.114	14.0	46.0	0.9971	3.24	0.66	9.6	1
34	8.4	0.52	0.22	2.7	0.084	4.0	18.0	0.99682	3.26	0.57	9.9	1
35	7.4	0.53	0.12	1.9	0.165	4.0	12.0	0.99702	3.26	0.86	9.2	1
36	7.6	0.48	0.31	2.8	0.07	4.0	15.0	0.99693	3.22	0.55	10.3	1
37	7.3	0.49	0.1	2.6	0.068	4.0	14.0	0.99562	3.3	0.47	10.5	1
38	12.9	0.5	0.55	2.8	0.072	7.0	24.0	1.00012	3.09	0.68	10.9	1
39	10.8	0.45	0.33	2.5	0.099	20.0	38.0	0.99818	3.24	0.71	10.8	1
40	12.6	0.41	0.54	2.8	0.103	19.0	41.0	0.99939	3.21	0.76	11.3	1
41	10.8	0.45	0.33	2.5	0.099	20.0	38.0	0.99818	3.24	0.71	10.8	1
42	9.8	0.51	0.19	3.2	0.081	8.0	30.0	0.9984	3.23	0.58	10.5	1
43	10.8	0.29	0.42	1.6	0.084	19.0	27.0	0.99545	3.28	0.73	11.9	1
44	7.1	0.715	0.0	2.35	0.071	21.0	47.0	0.99632	3.29	0.45	9.4	1
45	9.1	0.66	0.15	3.2	0.097	9.0	59.0	0.99976	3.28	0.54	9.6	1
46	7.0	0.685	0.0	1.9	0.099	9.0	22.0	0.99606	3.34	0.6	9.7	1
47	6.7	0.54	0.13	2.0	0.076	15.0	36.0	0.9973	3.61	0.64	9.8	1
48	6.7	0.54	0.13	2.0	0.076	15.0	36.0	0.9973	3.61	0.64	9.8	1
49	7.1	0.48	0.28	2.8	0.068	6.0	16.0	0.99682	3.24	0.53	10.3	1
50	7.1	0.46	0.14	2.8	0.076	15.0	37.0	0.99624	3.36	0.49	10.7	1
51	7.1	0.46	0.14	2.8	0.076	15.0	37.0	0.99624	3.36	0.49	10.7	1
52	5.9	0.61	0.08	2.1	0.071	16.0	24.0	0.99376	3.56	0.77	11.1	1
53	5.9	0.61	0.08	2.1	0.071	16.0	24.0	0.99376	3.56	0.77	11.1	1
54	8.8	0.685	0.26	1.6	0.088	16.0	23.0	0.99694	3.32	0.47	9.4	1
55	7.6	0.665	0.1	1.5	0.066	27.0	55.0	0.99655	3.39	0.51	9.3	1
56	6.0	0.5	0.04	2.2	0.092	13.0	26.0	0.99647	3.46	0.47	10.0	1
57	6.6	0.66	0.0	3.0	0.115	21.0	31.0	0.99629	3.45	0.63	10.3	1
58	10.6	0.5	0.45	2.6	0.119	34.0	68.0	0.99708	3.23	0.72	10.9	1
59	7.1	0.685	0.35	2.0	0.088	9.0	92.0	0.9963	3.28	0.62	9.4	1
60	9.9	0.25	0.46	1.7	0.062	26.0	42.0	0.9959	3.18	0.83	10.6	1
61	6.4	0.64	0.21	1.8	0.081	14.0	31.0	0.99689	3.59	0.66	9.8	1
62	6.4	0.64	0.21	1.8	0.081	14.0	31.0	0.99689	3.59	0.66	9.8	1
63	7.4	0.68	0.16	1.8	0.078	12.0	39.0	0.9977	3.5	0.7	9.9	1
64	6.4	0.64	0.21	1.8	0.081	14.0	31.0	0.99689	3.59	0.66	9.8	1
65	6.4	0.63	0.21	1.6	0.08	12.0	32.0	0.99689	3.58	0.66	9.8	1
66	9.3	0.43	0.44	1.9	0.085	9.0	22.0	0.99708	3.28	0.55	9.5	1
67	9.3	0.43	0.44	1.9	0.085	9.0	22.0	0.99708	3.28	0.55	9.5	1
68	8.0	0.42	0.32	2.5	0.08	26.0	122.0	0.99801	3.22	1.07	9.7	1
69	9.3	0.36	0.39	1.5	0.08	41.0	55.0	0.99652	3.47	0.73	10.9	1
70	9.3	0.36	0.39	1.5	0.08	41.0	55.0	0.99652	3.47	0.73	10.9	1
71	9.3	0.36	0.39	1.5	0.08	41.0	55.0	0.99652	3.47	0.73	10.9	1
72	6.8	0.56	0.22	1.8	0.074	15.0	24.0	0.99438	3.4	0.82	11.2	1
73	7.2	0.62	0.06	2.7	0.077	15.0	85.0	0.99746	3.51	0.54	9.5	1
74	5.8	1.01	0.66	2.0	0.039	15.0	88.0	0.99357	3.66	0.6	11.5	1
75	7.5	0.42	0.32	2.7	0.067	7.0	25.0	0.99628	3.24	0.44	10.4	1
76	7.2	0.62	0.06	2.5	0.078	17.0	84.0	0.99746	3.51	0.53	9.7	1
77	7.2	0.62	0.06	2.7	0.077	15.0	85.0	0.99746	3.51	0.54	9.5	1
