	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
0	7.2	0.53	0.14	2.1	0.064	15.0	29.0	0.99323	3.35	0.61	12.1	1
1	5.7	0.6	0.0	1.4	0.063	11.0	18.0	0.99191	3.45	0.56	12.2	1
2	5.2	0.645	0.0	2.15	0.08	15.0	28.0	0.99444	3.78	0.61	12.5	1
3	6.7	0.86	0.07	2.0	0.1	20.0	57.0	0.99598	3.6	0.74	11.7	1
4	9.1	0.37	0.32	2.1	0.064	4.0	15.0	0.99576	3.3	0.8	11.2	1
5	8.0	0.28	0.44	1.8	0.081	28.0	68.0	0.99501	3.36	0.66	11.2	1
6	7.6	0.79	0.21	2.3	0.087	21.0	68.0	0.9955	3.12	0.44	9.2	1
7	7.5	0.61	0.26	1.9	0.073	24.0	88.0	0.99612	3.3	0.53	9.8	1
8	9.7	0.69	0.32	2.5	0.088	22.0	91.0	0.9979	3.29	0.62	10.1	1
9	9.7	0.69	0.32	2.5	0.088	22.0	91.0	0.9979	3.29	0.62	10.1	1
10	7.0	0.62	0.1	1.4	0.071	27.0	63.0	0.996	3.28	0.61	9.2	1
11	7.5	0.61	0.26	1.9	0.073	24.0	88.0	0.99612	3.3	0.53	9.8	1
12	6.5	0.51	0.15	3.0	0.064	12.0	27.0	0.9929	3.33	0.59	12.8	1
13	8.0	1.18	0.21	1.9	0.083	14.0	41.0	0.99532	3.34	0.47	10.5	1
14	7.0	0.36	0.21	2.3	0.086	20.0	65.0	0.99558	3.4	0.54	10.1	1
15	7.0	0.36	0.21	2.4	0.086	24.0	69.0	0.99556	3.4	0.53	10.1	1
16	7.5	0.63	0.27	2.0	0.083	17.0	91.0	0.99616	3.26	0.58	9.8	1
17	5.4	0.74	0.0	1.2	0.041	16.0	46.0	0.99258	4.01	0.59	12.5	1
18	9.9	0.44	0.46	2.2	0.091	10.0	41.0	0.99638	3.18	0.69	11.9	1
19	7.5	0.63	0.27	2.0	0.083	17.0	91.0	0.99616	3.26	0.58	9.8	1
20	9.1	0.76	0.68	1.7	0.414	18.0	64.0	0.99652	2.9	1.33	9.1	1
21	9.7	0.66	0.34	2.6	0.094	12.0	88.0	0.99796	3.26	0.66	10.1	1
22	5.0	0.74	0.0	1.2	0.041	16.0	46.0	0.99258	4.01	0.59	12.5	1
23	9.1	0.34	0.42	1.8	0.058	9.0	18.0	0.99392	3.18	0.55	11.4	1
24	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
25	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
26	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
27	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
