	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
0	7.4	0.7	0.0	1.9	0.076	11.0	34.0	0.9978	3.51	0.56	9.4	1
1	7.8	0.88	0.0	2.6	0.098	25.0	67.0	0.9968	3.2	0.68	9.8	1
2	7.8	0.76	0.04	2.3	0.092	15.0	54.0	0.997	3.26	0.65	9.8	1
3	11.2	0.28	0.56	1.9	0.075	17.0	60.0	0.998	3.16	0.58	9.8	1
4	7.4	0.7	0.0	1.9	0.076	11.0	34.0	0.9978	3.51	0.56	9.4	1
5	7.4	0.66	0.0	1.8	0.075	13.0	40.0	0.9978	3.51	0.56	9.4	1
6	7.9	0.6	0.06	1.6	0.069	15.0	59.0	0.9964	3.3	0.46	9.4	1
7	7.5	0.5	0.36	6.1	0.071	17.0	102.0	0.9978	3.35	0.8	10.5	1
8	6.7	0.58	0.08	1.8	0.097	15.0	65.0	0.9959	3.28	0.54	9.2	1
9	7.5	0.5	0.36	6.1	0.071	17.0	102.0	0.9978	3.35	0.8	10.5	1
10	5.6	0.615	0.0	1.6	0.089	16.0	59.0	0.9943	3.58	0.52	9.9	1
11	7.8	0.61	0.29	1.6	0.114	9.0	29.0	0.9974	3.26	1.56	9.1	1
12	8.9	0.62	0.18	3.8	0.176	52.0	145.0	0.9986	3.16	0.88	9.2	1
13	8.9	0.62	0.19	3.9	0.17	51.0	148.0	0.9986	3.17	0.93	9.2	1
14	8.1	0.56	0.28	1.7	0.368	16.0	56.0	0.9968	3.11	1.28	9.3	1
15	7.9	0.32	0.51	1.8	0.341	17.0	56.0	0.9969	3.04	1.08	9.2	1
16	8.9	0.22	0.48	1.8	0.077	29.0	60.0	0.9968	3.39	0.53	9.4	1
17	7.6	0.39	0.31	2.3	0.082	23.0	71.0	0.9982	3.52	0.65	9.7	1
18	7.9	0.43	0.21	1.6	0.106	10.0	37.0	0.9966	3.17	0.91	9.5	1
19	8.5	0.49	0.11	2.3	0.084	9.0	67.0	0.9968	3.17	0.53	9.4	1
20	6.9	0.4	0.14	2.4	0.085	21.0	40.0	0.9968	3.43	0.63	9.7	1
21	6.3	0.39	0.16	1.4	0.08	11.0	23.0	0.9955	3.34	0.56	9.3	1
22	7.6	0.41	0.24	1.8	0.08	4.0	11.0	0.9962	3.28	0.59	9.5	1
23	7.9	0.43	0.21	1.6	0.106	10.0	37.0	0.9966	3.17	0.91	9.5	1
24	7.1	0.71	0.0	1.9	0.08	14.0	35.0	0.9972	3.47	0.55	9.4	1
25	7.8	0.645	0.0	2.0	0.082	8.0	16.0	0.9964	3.38	0.59	9.8	1
26	6.7	0.675	0.07	2.4	0.089	17.0	82.0	0.9958	3.35	0.54	10.1	1
27	6.9	0.685	0.0	2.5	0.105	22.0	37.0	0.9966	3.46	0.57	10.6	1
28	8.3	0.655	0.12	2.3	0.083	15.0	113.0	0.9966	3.17	0.66	9.8	1
29	6.9	0.605	0.12	10.7	0.073	40.0	83.0	0.9993	3.45	0.52	9.4	1
30	5.2	0.32	0.25	1.8	0.103	13.0	50.0	0.9957	3.38	0.55	9.2	1
31	7.8	0.645	0.0	5.5	0.086	5.0	18.0	0.9986	3.4	0.55	9.6	1
32	7.8	0.6	0.14	2.4	0.086	3.0	15.0	0.9975	3.42	0.6	10.8	1
33	7.3	0.45	0.36	5.9	0.074	12.0	87.0	0.9978	3.33	0.83	10.5	1
34	7.3	0.45	0.36	5.9	0.074	12.0	87.0	0.9978	3.33	0.83	10.5	1
35	7.5	0.49	0.2	2.6	0.332	8.0	14.0	0.9968	3.21	0.9	10.5	1
36	8.1	0.66	0.22	2.2	0.069	9.0	23.0	0.9968	3.3	1.2	10.3	1
37	6.8	0.67	0.02	1.8	0.05	5.0	11.0	0.9962	3.48	0.52	9.5	1
38	7.7	0.935	0.43	2.2	0.114	22.0	114.0	0.997	3.25	0.73	9.2	1
39	8.7	0.29	0.52	1.6	0.113	12.0	37.0	0.9969	3.25	0.58	9.5	1
40	6.4	0.4	0.23	1.6	0.066	5.0	12.0	0.9958	3.34	0.56	9.2	1
41	5.6	0.31	0.37	1.4	0.074	12.0	96.0	0.9954	3.32	0.58	9.2	1
