	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
0	8.1	0.67	0.55	1.8	0.117	32.0	141.0	0.9968	3.17	0.62	9.4	1
1	5.8	0.68	0.02	1.8	0.087	21.0	94.0	0.9944	3.54	0.52	10.0	1
2	7.6	0.49	0.26	1.6	0.236	10.0	88.0	0.9968	3.11	0.8	9.3	1
3	6.9	0.49	0.1	2.3	0.074	12.0	30.0	0.9959	3.42	0.58	10.2	1
4	8.2	0.4	0.44	2.8	0.089	11.0	43.0	0.9975	3.53	0.61	10.5	1
5	7.3	0.33	0.47	2.1	0.077	5.0	11.0	0.9958	3.33	0.53	10.3	1
6	7.5	0.6	0.03	1.8	0.095	25.0	99.0	0.995	3.35	0.54	10.1	1
7	7.5	0.6	0.03	1.8	0.095	25.0	99.0	0.995	3.35	0.54	10.1	1
8	7.1	0.43	0.42	5.5	0.07	29.0	129.0	0.9973	3.42	0.72	10.5	1
9	7.1	0.43	0.42	5.5	0.071	28.0	128.0	0.9973	3.42	0.71	10.5	1
10	7.1	0.43	0.42	5.5	0.07	29.0	129.0	0.9973	3.42	0.72	10.5	1
11	7.1	0.43	0.42	5.5	0.071	28.0	128.0	0.9973	3.42	0.71	10.5	1
12	7.1	0.68	0.0	2.2	0.073	12.0	22.0	0.9969	3.48	0.5	9.3	1
13	6.8	0.6	0.18	1.9	0.079	18.0	86.0	0.9968	3.59	0.57	9.3	1
14	7.6	0.95	0.03	2.0	0.09	7.0	20.0	0.9959	3.2	0.56	9.6	1
15	7.8	0.53	0.04	1.7	0.076	17.0	31.0	0.9964	3.33	0.56	10.0	1
16	7.4	0.6	0.26	7.3	0.07	36.0	121.0	0.9982	3.37	0.49	9.4	1
17	7.3	0.59	0.26	7.2	0.07	35.0	121.0	0.9981	3.37	0.49	9.4	1
18	7.8	0.63	0.48	1.7	0.1	14.0	96.0	0.9961	3.19	0.62	9.5	1
19	6.8	0.64	0.1	2.1	0.085	18.0	101.0	0.9956	3.34	0.52	10.2	1
20	6.8	0.63	0.07	2.1	0.089	11.0	44.0	0.9953	3.47	0.55	10.4	1
21	7.5	0.705	0.24	1.8	0.36	15.0	63.0	0.9964	3.0	1.59	9.5	1
22	8.0	0.42	0.17	2.0	0.073	6.0	18.0	0.9972	3.29	0.61	9.2	1
23	8.0	0.42	0.17	2.0	0.073	6.0	18.0	0.9972	3.29	0.61	9.2	1
24	7.4	0.62	0.05	1.9	0.068	24.0	42.0	0.9961	3.42	0.57	11.5	1
25	7.3	0.38	0.21	2.0	0.08	7.0	35.0	0.9961	3.33	0.47	9.5	1
26	6.9	0.5	0.04	1.5	0.085	19.0	49.0	0.9958	3.35	0.78	9.5	1
27	7.3	0.38	0.21	2.0	0.08	7.0	35.0	0.9961	3.33	0.47	9.5	1
28	7.5	0.52	0.42	2.3	0.087	8.0	38.0	0.9972	3.58	0.61	10.5	1
29	7.0	0.805	0.0	2.5	0.068	7.0	20.0	0.9969	3.48	0.56	9.6	1
30	8.8	0.61	0.14	2.4	0.067	10.0	42.0	0.9969	3.19	0.59	9.5	1
31	8.8	0.61	0.14	2.4	0.067	10.0	42.0	0.9969	3.19	0.59	9.5	1
32	8.9	0.61	0.49	2.0	0.27	23.0	110.0	0.9972	3.12	1.02	9.3	1
33	7.2	0.73	0.02	2.5	0.076	16.0	42.0	0.9972	3.44	0.52	9.3	1
34	6.8	0.61	0.2	1.8	0.077	11.0	65.0	0.9971	3.54	0.58	9.3	1
35	6.7	0.62	0.21	1.9	0.079	8.0	62.0	0.997	3.52	0.58	9.3	1
36	8.9	0.31	0.57	2.0	0.111	26.0	85.0	0.9971	3.26	0.53	9.7	1
37	7.4	0.39	0.48	2.0	0.082	14.0	67.0	0.9972	3.34	0.55	9.2	1
38	7.7	0.705	0.1	2.6	0.084	9.0	26.0	0.9976	3.39	0.49	9.7	1
39	7.9	0.5	0.33	2.0	0.084	15.0	143.0	0.9968	3.2	0.55	9.5	1
40	7.9	0.49	0.32	1.9	0.082	17.0	144.0	0.9968	3.2	0.55	9.5	1
41	8.2	0.5	0.35	2.9	0.077	21.0	127.0	0.9976	3.23	0.62	9.4	1
42	6.4	0.37	0.25	1.9	0.074	21.0	49.0	0.9974	3.57	0.62	9.8	1
43	6.8	0.63	0.12	3.8	0.099	16.0	126.0	0.9969	3.28	0.61	9.5	1
44	7.6	0.55	0.21	2.2	0.071	7.0	28.0	0.9964	3.28	0.55	9.7	1
45	7.6	0.55	0.21	2.2	0.071	7.0	28.0	0.9964	3.28	0.55	9.7	1
46	7.8	0.59	0.33	2.0	0.074	24.0	120.0	0.9968	3.25	0.54	9.4	1
47	7.3	0.58	0.3	2.4	0.074	15.0	55.0	0.9968	3.46	0.59	10.2	1
48	11.5	0.3	0.6	2.0	0.067	12.0	27.0	0.9981	3.11	0.97	10.1	1
49	8.8	0.37	0.48	2.1	0.097	39.0	145.0	0.9975	3.04	1.03	9.3	1
50	6.8	0.5	0.11	1.5	0.075	16.0	49.0	0.99545	3.36	0.79	9.5	1
51	7.0	0.42	0.35	1.6	0.088	16.0	39.0	0.9961	3.34	0.55	9.2	1
52	7.0	0.43	0.36	1.6	0.089	14.0	37.0	0.99615	3.34	0.56	9.2	1
53	7.8	0.57	0.31	1.8	0.069	26.0	120.0	0.99625	3.29	0.53	9.3	1
54	7.8	0.44	0.28	2.7	0.1	18.0	95.0	0.9966	3.22	0.67	9.4	1
55	9.7	0.53	0.6	2.0	0.039	5.0	19.0	0.99585	3.3	0.86	12.4	1
56	8.0	0.725	0.24	2.8	0.083	10.0	62.0	0.99685	3.35	0.56	10.0	1
57	11.6	0.44	0.64	2.1	0.059	5.0	15.0	0.998	3.21	0.67	10.2	1
58	8.2	0.57	0.26	2.2	0.06	28.0	65.0	0.9959	3.3	0.43	10.1	1
59	7.8	0.735	0.08	2.4	0.092	10.0	41.0	0.9974	3.24	0.71	9.8	1
60	7.0	0.49	0.49	5.6	0.06	26.0	121.0	0.9974	3.34	0.76	10.5	1
61	8.7	0.625	0.16	2.0	0.101	13.0	49.0	0.9962	3.14	0.57	11.0	1
62	8.1	0.725	0.22	2.2	0.072	11.0	41.0	0.9967	3.36	0.55	9.1	1
63	7.5	0.49	0.19	1.9	0.076	10.0	44.0	0.9957	3.39	0.54	9.7	1
64	7.8	0.53	0.33	2.4	0.08	24.0	144.0	0.99655	3.3	0.6	9.5	1
65	7.8	0.34	0.37	2.0	0.082	24.0	58.0	0.9964	3.34	0.59	9.4	1
66	7.4	0.53	0.26	2.0	0.101	16.0	72.0	0.9957	3.15	0.57	9.4	1
67	6.8	0.61	0.04	1.5	0.057	5.0	10.0	0.99525	3.42	0.6	9.5	1
68	8.6	0.645	0.25	2.0	0.083	8.0	28.0	0.99815	3.28	0.6	10.0	1
