	Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.58	0.61	0.47	0.13	0.5	0.0	0.48	0.22	0
1	0.43	0.67	0.48	0.27	0.5	0.0	0.53	0.22	0
2	0.43	0.39	0.54	0.21	0.5	0.0	0.53	0.27	0
3	0.6	0.4	0.52	0.46	0.5	0.0	0.53	0.22	0
4	0.57	0.47	0.6	0.18	0.5	0.0	0.51	0.22	0
5	0.63	0.67	0.57	0.24	0.5	0.0	0.49	0.22	0
6	0.8	0.88	0.36	0.39	0.5	0.0	0.56	0.33	0
7	0.74	0.67	0.47	0.34	0.5	0.0	0.42	0.22	0
8	0.72	0.61	0.45	0.3	0.5	0.0	0.54	0.25	0
9	0.4	0.45	0.57	0.18	0.5	0.0	0.56	0.26	0
10	0.86	0.74	0.51	0.4	0.5	0.0	0.55	0.22	0
11	0.79	0.57	0.41	0.28	0.5	0.0	0.59	0.22	0
12	0.37	0.36	0.56	0.18	0.5	0.0	0.48	0.26	0
13	0.45	0.58	0.48	0.67	0.5	0.0	0.52	0.22	0
14	0.41	0.46	0.59	0.19	0.5	0.0	0.58	0.27	0
15	0.54	0.48	0.44	0.08	0.5	0.0	0.52	0.27	0
16	0.81	0.85	0.47	0.37	0.5	0.0	0.56	0.22	0
17	0.49	0.42	0.56	0.55	0.5	0.0	0.42	0.25	0
18	0.63	0.53	0.54	0.4	0.5	0.0	0.5	0.22	0
19	0.5	0.58	0.46	0.46	0.5	0.0	0.46	0.22	0
20	0.67	0.62	0.4	0.43	0.5	0.83	0.5	0.22	0
21	0.42	0.47	0.52	0.41	0.5	0.0	0.53	0.32	0
22	0.33	0.43	0.64	0.16	0.5	0.0	0.52	0.52	0
23	0.61	0.72	0.39	0.33	0.5	0.0	0.58	0.22	0
24	0.42	0.35	0.54	0.18	0.5	0.0	0.56	0.22	0
25	0.55	0.53	0.55	0.46	0.5	0.0	0.52	0.22	0
26	0.67	0.62	0.54	0.43	0.5	0.0	0.53	0.22	0
27	0.35	0.58	0.54	0.16	0.5	0.0	0.51	0.22	0
28	0.48	0.54	0.5	0.17	0.5	0.0	0.53	0.22	0
29	0.42	0.43	0.56	0.1	0.5	0.0	0.49	0.22	0
30	0.49	0.47	0.53	0.16	0.5	0.0	0.48	0.27	0
31	0.71	0.59	0.48	0.43	0.5	0.0	0.59	0.22	0
32	0.4	0.42	0.71	0.21	0.5	0.0	0.54	0.32	0
33	0.42	0.51	0.5	0.12	0.5	0.0	0.52	0.46	0
34	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
35	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
36	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
37	0.61	0.72	0.31	0.33	0.5	0.0	0.56	0.22	0
38	0.52	0.56	0.54	0.53	0.5	0.0	0.45	0.22	0
39	0.58	0.58	0.58	0.49	0.5	0.0	0.49	0.26	0
40	0.46	0.43	0.38	0.33	0.5	0.0	0.48	0.28	0
41	0.42	0.31	0.62	0.12	0.5	0.0	0.4	0.22	0
42	0.49	0.46	0.45	0.45	0.5	0.0	0.52	0.22	0
43	0.35	0.66	0.49	0.21	0.5	0.0	0.54	0.25	0
44	0.52	0.4	0.6	0.12	0.5	0.0	0.55	0.22	0
45	0.77	0.79	0.58	0.23	0.5	0.0	0.48	0.22	0
46	0.78	0.74	0.58	0.25	1.0	0.0	0.53	0.22	0
47	0.57	0.41	0.59	0.24	0.5	0.0	0.4	0.22	0
48	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
49	0.38	0.51	0.75	0.17	0.5	0.0	0.55	0.22	0
50	0.4	0.56	0.48	0.14	0.5	0.0	0.47	0.22	0
51	0.45	0.27	0.57	0.36	0.5	0.0	0.52	0.18	0
52	0.36	0.68	0.38	0.08	0.5	0.0	0.53	0.25	0
53	0.27	0.36	0.6	0.33	0.5	0.0	0.37	0.31	0
54	0.23	0.2	0.53	0.2	0.5	0.0	0.44	0.22	0
55	0.36	0.24	0.49	0.16	0.5	0.0	0.51	0.22	0
56	0.38	0.48	0.59	0.22	0.5	0.0	0.46	0.22	0
57	0.41	0.24	0.54	0.26	0.5	0.0	0.41	0.22	0
58	0.5	0.51	0.52	0.09	0.5	0.0	0.48	0.25	0
59	0.46	0.43	0.49	0.79	0.5	0.0	0.49	0.63	0
60	0.61	0.3	0.59	0.12	0.5	0.0	0.49	0.27	0
61	0.45	0.56	0.54	0.32	0.5	0.0	0.57	0.22	0
62	0.71	0.56	0.39	0.27	0.5	0.0	0.52	0.22	0
63	0.32	0.47	0.55	0.12	0.5	0.0	0.52	0.22	0
64	0.77	0.8	0.51	0.4	1.0	0.0	0.54	0.22	0
65	0.81	0.82	0.41	0.36	0.5	0.0	0.39	0.22	0
66	0.69	0.6	0.51	0.13	0.5	0.83	0.52	0.22	0
67	0.74	0.72	0.47	0.25	0.5	0.0	0.57	0.22	0
68	0.51	0.58	0.54	0.29	0.5	0.0	0.53	0.22	0
69	0.5	0.5	0.48	0.17	0.5	0.0	0.47	0.26	0
70	0.45	0.42	0.52	0.2	0.5	0.0	0.5	0.25	0
71	0.42	0.39	0.47	0.13	0.5	0.0	0.5	0.27	0
72	0.27	0.51	0.47	0.35	0.5	0.0	0.49	0.28	0
73	0.49	0.42	0.54	0.17	0.5	0.0	0.5	0.36	0
74	0.34	0.66	0.51	0.16	0.5	0.0	0.47	0.33	0
75	0.74	0.53	0.5	0.08	0.5	0.0	0.55	0.31	0
76	0.69	0.48	0.38	0.15	0.5	0.0	0.55	0.22	0
77	0.44	0.51	0.48	0.38	0.5	0.0	0.52	0.22	0
78	0.58	0.45	0.48	0.24	0.5	0.0	0.52	0.37	0
79	0.38	0.49	0.61	0.13	0.5	0.0	0.54	0.22	0
80	0.47	0.49	0.63	0.17	0.5	0.0	0.31	0.26	0
81	0.21	0.38	0.49	0.16	0.5	0.0	0.51	0.45	0
82	0.57	0.59	0.5	0.58	0.5	0.0	0.53	0.22	0
83	0.46	0.45	0.56	0.16	0.5	0.0	0.56	0.22	0
84	0.56	0.44	0.56	0.19	0.5	0.0	0.54	0.22	0
85	0.61	0.54	0.49	0.16	0.5	0.0	0.54	0.42	0
86	0.66	0.62	0.52	0.17	0.5	0.0	0.49	0.22	0
87	0.44	0.41	0.58	0.2	0.5	0.0	0.57	0.25	0
88	0.67	0.51	0.53	0.28	0.5	0.0	0.51	0.22	0
