	Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.45	0.48	0.63	0.67	0.5	0.0	0.48	0.22	0
1	0.66	0.52	0.52	0.44	0.5	0.0	0.56	0.27	0
2	0.54	0.52	0.54	0.2	0.5	0.0	0.55	0.25	0
3	0.37	0.31	0.53	0.16	0.5	0.0	0.53	0.44	0
4	0.48	0.47	0.54	0.55	0.5	0.0	0.51	0.65	0
5	0.6	0.59	0.45	0.23	0.5	0.0	0.55	0.22	0
6	0.45	0.73	0.47	0.65	0.5	0.0	0.54	0.43	0
7	0.66	0.54	0.49	0.16	0.5	0.0	0.54	0.36	0
8	0.46	0.55	0.61	0.13	0.5	0.0	0.47	0.22	0
9	0.42	0.5	0.53	0.22	0.5	0.83	0.5	0.22	0
10	0.66	0.66	0.32	0.54	0.5	0.0	0.51	0.22	0
11	0.74	0.56	0.35	0.36	0.5	0.0	0.51	0.25	0
12	0.89	0.52	0.41	0.26	0.5	0.0	0.52	0.31	0
13	0.67	0.51	0.54	0.21	0.5	0.0	0.43	0.3	0
14	0.58	0.46	0.46	0.34	0.5	0.0	0.5	0.43	0
15	0.4	0.68	0.5	0.82	0.5	0.0	0.44	0.36	0
16	0.59	0.57	0.43	0.26	0.5	0.0	0.51	0.22	0
17	0.39	0.3	0.56	0.12	0.5	0.0	0.53	0.38	0
18	0.6	0.62	0.54	0.4	0.5	0.0	0.5	0.22	0
19	0.36	0.4	0.53	0.48	0.5	0.0	0.48	0.22	0
20	0.51	0.42	0.56	0.38	0.5	0.0	0.46	0.22	0
21	0.57	0.4	0.62	0.3	0.5	0.0	0.48	0.11	0
22	0.52	0.5	0.59	0.31	0.5	0.0	0.5	0.22	0
23	0.42	0.53	0.53	0.64	0.5	0.0	0.47	0.22	0
24	0.5	0.46	0.64	0.36	0.5	0.0	0.49	0.22	0
25	0.6	0.51	0.6	0.38	0.5	0.83	0.52	0.24	0
26	0.6	0.57	0.64	0.52	0.5	0.0	0.47	0.28	0
27	0.53	0.42	0.58	0.29	0.5	0.0	0.5	0.22	0
28	0.41	0.52	0.53	0.41	0.5	0.0	0.39	0.33	0
29	0.45	0.43	0.63	0.4	0.5	0.0	0.59	0.11	0
30	0.44	0.44	0.67	0.35	0.5	0.0	0.48	0.26	0
31	0.57	0.61	0.55	0.27	0.5	0.0	0.44	0.21	0
32	0.57	0.58	0.58	0.35	0.5	0.0	0.49	0.22	0
33	0.56	0.5	0.61	0.49	0.5	0.0	0.46	0.28	0
34	0.6	0.46	0.59	0.16	0.5	0.0	0.49	0.22	0
35	0.36	0.38	0.56	0.44	0.5	0.0	0.48	0.22	0
36	0.53	0.52	0.61	0.35	0.5	0.0	0.5	0.22	0
37	0.62	0.59	0.54	0.47	0.5	0.0	0.46	0.22	0
38	0.55	0.5	0.6	0.31	0.5	0.0	0.46	0.27	0
39	0.58	0.53	0.57	0.46	0.5	0.0	0.51	0.27	0
40	0.65	0.53	0.55	0.52	0.5	0.0	0.47	0.27	0
41	0.58	0.53	0.5	0.53	0.5	0.0	0.47	0.31	0
42	0.61	0.46	0.51	0.37	0.5	0.0	0.51	0.22	0
43	0.55	0.59	0.47	0.64	0.5	0.0	0.54	0.33	0
44	0.54	0.64	0.5	0.13	0.5	0.0	0.49	0.22	0
45	0.4	0.74	0.49	0.16	0.5	0.0	0.51	0.22	0
46	0.76	0.76	0.35	0.27	0.5	0.0	0.44	0.22	0
47	0.51	0.56	0.51	0.42	0.5	0.0	0.53	0.36	0
48	0.43	0.32	0.5	0.29	0.5	0.0	0.5	0.22	0
49	0.49	0.44	0.45	0.55	0.5	0.0	0.48	0.22	0
50	0.32	0.45	0.44	0.2	0.5	0.0	0.55	0.33	0
51	0.51	0.6	0.51	0.26	0.5	0.0	0.54	0.22	0
52	0.49	0.46	0.42	0.46	0.5	0.0	0.55	0.22	0
53	0.5	0.56	0.49	0.61	0.5	0.0	0.5	0.22	0
54	0.52	0.38	0.62	0.12	0.5	0.0	0.41	0.28	0
55	0.51	0.56	0.62	0.24	0.5	0.0	0.52	0.51	0
