	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
0	13.0	0.32	0.65	2.6	0.093	15.0	47.0	0.9996	3.05	0.61	10.6	1
1	9.6	0.54	0.42	2.4	0.081	25.0	52.0	0.997	3.2	0.71	11.4	1
2	12.5	0.37	0.55	2.6	0.083	25.0	68.0	0.9995	3.15	0.82	10.4	1
3	9.9	0.35	0.55	2.1	0.062	5.0	14.0	0.9971	3.26	0.79	10.6	1
4	10.5	0.28	0.51	1.7	0.08	10.0	24.0	0.9982	3.2	0.89	9.4	1
5	9.6	0.68	0.24	2.2	0.087	5.0	28.0	0.9988	3.14	0.6	10.2	1
6	9.3	0.27	0.41	2.0	0.091	6.0	16.0	0.998	3.28	0.7	9.7	1
7	10.4	0.24	0.49	1.8	0.075	6.0	20.0	0.9977	3.18	1.06	11.0	1
8	9.6	0.68	0.24	2.2	0.087	5.0	28.0	0.9988	3.14	0.6	10.2	1
9	9.4	0.685	0.11	2.7	0.077	6.0	31.0	0.9984	3.19	0.7	10.1	1
10	10.6	0.28	0.39	15.5	0.069	6.0	23.0	1.0026	3.12	0.66	9.2	1
11	10.6	0.36	0.59	2.2	0.152	6.0	18.0	0.9986	3.04	1.05	9.4	1
12	10.6	0.36	0.6	2.2	0.152	7.0	18.0	0.9986	3.04	1.06	9.4	1
13	10.6	0.44	0.68	4.1	0.114	6.0	24.0	0.997	3.06	0.66	13.4	1
14	10.2	0.67	0.39	1.9	0.054	6.0	17.0	0.9976	3.17	0.47	10.0	1
15	10.2	0.67	0.39	1.9	0.054	6.0	17.0	0.9976	3.17	0.47	10.0	1
16	10.2	0.645	0.36	1.8	0.053	5.0	14.0	0.9982	3.17	0.42	10.0	1
17	9.3	0.39	0.4	2.6	0.073	10.0	26.0	0.9984	3.34	0.75	10.2	1
18	9.3	0.775	0.27	2.8	0.078	24.0	56.0	0.9984	3.31	0.67	10.6	1
19	8.7	0.69	0.31	3.0	0.086	23.0	81.0	1.0002	3.48	0.74	11.6	1
20	6.5	0.39	0.23	8.3	0.051	28.0	91.0	0.9952	3.44	0.55	12.1	1
21	7.8	0.52	0.25	1.9	0.081	14.0	38.0	0.9984	3.43	0.65	9.0	1
22	7.2	0.34	0.32	2.5	0.09	43.0	113.0	0.9966	3.32	0.79	11.1	1
23	8.7	0.69	0.31	3.0	0.086	23.0	81.0	1.0002	3.48	0.74	11.6	1
24	7.8	0.52	0.25	1.9	0.081	14.0	38.0	0.9984	3.43	0.65	9.0	1
25	11.2	0.67	0.55	2.3	0.084	6.0	13.0	1.0	3.17	0.71	9.5	1
26	10.0	0.59	0.31	2.2	0.09	26.0	62.0	0.9994	3.18	0.63	10.2	1
27	12.4	0.42	0.49	4.6	0.073	19.0	43.0	0.9978	3.02	0.61	9.5	1
28	10.0	0.59	0.31	2.2	0.09	26.0	62.0	0.9994	3.18	0.63	10.2	1
29	10.7	0.4	0.48	2.1	0.125	15.0	49.0	0.998	3.03	0.81	9.7	1
30	8.5	0.655	0.49	6.1	0.122	34.0	151.0	1.001	3.31	1.14	9.3	1
31	12.5	0.6	0.49	4.3	0.1	5.0	14.0	1.001	3.25	0.74	11.9	1
32	10.4	0.61	0.49	2.1	0.2	5.0	16.0	0.9994	3.16	0.63	8.4	1
33	10.9	0.21	0.49	2.8	0.088	11.0	32.0	0.9972	3.22	0.68	11.7	1
34	7.3	0.365	0.49	2.5	0.088	39.0	106.0	0.9966	3.36	0.78	11.0	1
35	9.8	0.25	0.49	2.7	0.088	15.0	33.0	0.9982	3.42	0.9	10.0	1
36	7.6	0.41	0.49	2.0	0.088	16.0	43.0	0.998	3.48	0.64	9.1	1
37	8.2	0.39	0.49	2.3	0.099	47.0	133.0	0.9979	3.38	0.99	9.8	1
38	9.3	0.4	0.49	2.5	0.085	38.0	142.0	0.9978	3.22	0.55	9.4	1
39	9.2	0.43	0.49	2.4	0.086	23.0	116.0	0.9976	3.23	0.64	9.5	1
40	10.4	0.64	0.24	2.8	0.105	29.0	53.0	0.9998	3.24	0.67	9.9	1
41	7.3	0.365	0.49	2.5	0.088	39.0	106.0	0.9966	3.36	0.78	11.0	1
42	7.0	0.38	0.49	2.5	0.097	33.0	85.0	0.9962	3.39	0.77	11.4	1
43	8.2	0.42	0.49	2.6	0.084	32.0	55.0	0.9988	3.34	0.75	8.7	1
44	9.9	0.63	0.24	2.4	0.077	6.0	33.0	0.9974	3.09	0.57	9.4	1
45	9.1	0.22	0.24	2.1	0.078	1.0	28.0	0.999	3.41	0.87	10.3	1
46	11.9	0.38	0.49	2.7	0.098	12.0	42.0	1.0004	3.16	0.61	10.3	1
47	11.9	0.38	0.49	2.7	0.098	12.0	42.0	1.0004	3.16	0.61	10.3	1
48	10.3	0.27	0.24	2.1	0.072	15.0	33.0	0.9956	3.22	0.66	12.8	1
49	10.0	0.48	0.24	2.7	0.102	13.0	32.0	1.0	3.28	0.56	10.0	1
50	9.1	0.22	0.24	2.1	0.078	1.0	28.0	0.999	3.41	0.87	10.3	1
51	9.9	0.63	0.24	2.4	0.077	6.0	33.0	0.9974	3.09	0.57	9.4	1
52	8.1	0.825	0.24	2.1	0.084	5.0	13.0	0.9972	3.37	0.77	10.7	1
53	11.2	0.5	0.74	5.15	0.1	5.0	17.0	0.9996	3.22	0.62	11.2	1
54	9.2	0.59	0.24	3.3	0.101	20.0	47.0	0.9988	3.26	0.67	9.6	1
55	9.5	0.46	0.49	6.3	0.064	5.0	17.0	0.9988	3.21	0.73	11.0	1
56	9.3	0.715	0.24	2.1	0.07	5.0	20.0	0.9966	3.12	0.59	9.9	1
57	11.2	0.66	0.24	2.5	0.085	16.0	53.0	0.9993	3.06	0.72	11.0	1
58	14.3	0.31	0.74	1.8	0.075	6.0	15.0	1.0008	2.86	0.79	8.4	1
59	9.1	0.47	0.49	2.6	0.094	38.0	106.0	0.9982	3.08	0.59	9.1	1
60	7.5	0.55	0.24	2.0	0.078	10.0	28.0	0.9983	3.45	0.78	9.5	1
61	10.6	0.31	0.49	2.5	0.067	6.0	21.0	0.9987	3.26	0.86	10.7	1
62	12.4	0.35	0.49	2.6	0.079	27.0	69.0	0.9994	3.12	0.75	10.4	1
63	9.0	0.53	0.49	1.9	0.171	6.0	25.0	0.9975	3.27	0.61	9.4	1
64	6.8	0.51	0.01	2.1	0.074	9.0	25.0	0.9958	3.33	0.56	9.5	1
65	9.4	0.43	0.24	2.8	0.092	14.0	45.0	0.998	3.19	0.73	10.0	1
66	9.5	0.46	0.24	2.7	0.092	14.0	44.0	0.998	3.12	0.74	10.0	1
67	5.0	1.04	0.24	1.6	0.05	32.0	96.0	0.9934	3.74	0.62	11.5	1
68	15.5	0.645	0.49	4.2	0.095	10.0	23.0	1.00315	2.92	0.74	11.1	1
69	15.5	0.645	0.49	4.2	0.095	10.0	23.0	1.00315	2.92	0.74	11.1	1
70	10.9	0.53	0.49	4.6	0.118	10.0	17.0	1.0002	3.07	0.56	11.7	1
71	15.6	0.645	0.49	4.2	0.095	10.0	23.0	1.00315	2.92	0.74	11.1	1
72	10.9	0.53	0.49	4.6	0.118	10.0	17.0	1.0002	3.07	0.56	11.7	1
73	13.0	0.47	0.49	4.3	0.085	6.0	47.0	1.0021	3.3	0.68	12.7	1
74	12.7	0.6	0.49	2.8	0.075	5.0	19.0	0.9994	3.14	0.57	11.4	1
75	9.0	0.44	0.49	2.4	0.078	26.0	121.0	0.9978	3.23	0.58	9.2	1
76	9.0	0.54	0.49	2.9	0.094	41.0	110.0	0.9982	3.08	0.61	9.2	1
77	7.6	0.29	0.49	2.7	0.092	25.0	60.0	0.9971	3.31	0.61	10.1	1
78	13.0	0.47	0.49	4.3	0.085	6.0	47.0	1.0021	3.3	0.68	12.7	1
79	12.7	0.6	0.49	2.8	0.075	5.0	19.0	0.9994	3.14	0.57	11.4	1
80	8.7	0.7	0.24	2.5	0.226	5.0	15.0	0.9991	3.32	0.6	9.0	1
81	8.7	0.7	0.24	2.5	0.226	5.0	15.0	0.9991	3.32	0.6	9.0	1
82	9.8	0.5	0.49	2.6	0.25	5.0	20.0	0.999	3.31	0.79	10.7	1
83	6.2	0.36	0.24	2.2	0.095	19.0	42.0	0.9946	3.57	0.57	11.7	1
84	11.5	0.35	0.49	3.3	0.07	10.0	37.0	1.0003	3.32	0.91	11.0	1
85	6.2	0.36	0.24	2.2	0.095	19.0	42.0	0.9946	3.57	0.57	11.7	1
86	10.2	0.24	0.49	2.4	0.075	10.0	28.0	0.9978	3.14	0.61	10.4	1
87	10.5	0.59	0.49	2.1	0.07	14.0	47.0	0.9991	3.3	0.56	9.6	1
88	10.6	0.34	0.49	3.2	0.078	20.0	78.0	0.9992	3.19	0.7	10.0	1
89	12.3	0.27	0.49	3.1	0.079	28.0	46.0	0.9993	3.2	0.8	10.2	1
90	9.9	0.5	0.24	2.3	0.103	6.0	14.0	0.9978	3.34	0.52	10.0	1
