	fixed acidity	volatile acidity	citric acid	residual sugar	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates	alcohol	quality
0	7.6	1.58	0.0	2.1	0.137	5.0	9.0	0.99476	3.5	0.4	10.9	1
1	5.2	0.645	0.0	2.15	0.08	15.0	28.0	0.99444	3.78	0.61	12.5	1
2	6.7	0.86	0.07	2.0	0.1	20.0	57.0	0.99598	3.6	0.74	11.7	1
3	9.1	0.37	0.32	2.1	0.064	4.0	15.0	0.99576	3.3	0.8	11.2	1
4	8.0	0.28	0.44	1.8	0.081	28.0	68.0	0.99501	3.36	0.66	11.2	1
5	7.6	0.79	0.21	2.3	0.087	21.0	68.0	0.9955	3.12	0.44	9.2	1
6	7.5	0.61	0.26	1.9	0.073	24.0	88.0	0.99612	3.3	0.53	9.8	1
7	9.7	0.69	0.32	2.5	0.088	22.0	91.0	0.9979	3.29	0.62	10.1	1
8	6.8	0.68	0.09	3.9	0.068	15.0	29.0	0.99524	3.41	0.52	11.1	1
9	9.7	0.69	0.32	2.5	0.088	22.0	91.0	0.9979	3.29	0.62	10.1	1
10	7.0	0.62	0.1	1.4	0.071	27.0	63.0	0.996	3.28	0.61	9.2	1
11	7.5	0.61	0.26	1.9	0.073	24.0	88.0	0.99612	3.3	0.53	9.8	1
12	6.5	0.51	0.15	3.0	0.064	12.0	27.0	0.9929	3.33	0.59	12.8	1
13	8.0	1.18	0.21	1.9	0.083	14.0	41.0	0.99532	3.34	0.47	10.5	1
14	7.0	0.36	0.21	2.3	0.086	20.0	65.0	0.99558	3.4	0.54	10.1	1
15	7.0	0.36	0.21	2.4	0.086	24.0	69.0	0.99556	3.4	0.53	10.1	1
16	7.5	0.63	0.27	2.0	0.083	17.0	91.0	0.99616	3.26	0.58	9.8	1
17	5.4	0.74	0.0	1.2	0.041	16.0	46.0	0.99258	4.01	0.59	12.5	1
18	9.9	0.44	0.46	2.2	0.091	10.0	41.0	0.99638	3.18	0.69	11.9	1
19	7.5	0.63	0.27	2.0	0.083	17.0	91.0	0.99616	3.26	0.58	9.8	1
20	9.1	0.76	0.68	1.7	0.414	18.0	64.0	0.99652	2.9	1.33	9.1	1
21	9.7	0.66	0.34	2.6	0.094	12.0	88.0	0.99796	3.26	0.66	10.1	1
22	5.0	0.74	0.0	1.2	0.041	16.0	46.0	0.99258	4.01	0.59	12.5	1
23	9.1	0.34	0.42	1.8	0.058	9.0	18.0	0.99392	3.18	0.55	11.4	1
24	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
25	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
26	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
27	6.7	0.46	0.24	1.7	0.077	18.0	34.0	0.9948	3.39	0.6	10.6	1
28	6.5	0.52	0.11	1.8	0.073	13.0	38.0	0.9955	3.34	0.52	9.3	1
29	7.4	0.6	0.26	2.1	0.083	17.0	91.0	0.99616	3.29	0.56	9.8	1
30	7.4	0.6	0.26	2.1	0.083	17.0	91.0	0.99616	3.29	0.56	9.8	1
31	7.8	0.87	0.26	3.8	0.107	31.0	67.0	0.99668	3.26	0.46	9.2	1
32	8.4	0.39	0.1	1.7	0.075	6.0	25.0	0.99581	3.09	0.43	9.7	1
33	9.1	0.775	0.22	2.2	0.079	12.0	48.0	0.9976	3.18	0.51	9.6	1
34	7.2	0.835	0.0	2.0	0.166	4.0	11.0	0.99608	3.39	0.52	10.0	1
35	6.6	0.58	0.02	2.4	0.069	19.0	40.0	0.99387	3.38	0.66	12.6	1
36	6.0	0.5	0.0	1.4	0.057	15.0	26.0	0.99448	3.36	0.45	9.5	1
37	6.0	0.5	0.0	1.4	0.057	15.0	26.0	0.99448	3.36	0.45	9.5	1
38	6.0	0.5	0.0	1.4	0.057	15.0	26.0	0.99448	3.36	0.45	9.5	1
39	7.5	0.51	0.02	1.7	0.084	13.0	31.0	0.99538	3.36	0.54	10.5	1
40	7.5	0.51	0.02	1.7	0.084	13.0	31.0	0.99538	3.36	0.54	10.5	1
41	7.5	0.51	0.02	1.7	0.084	13.0	31.0	0.99538	3.36	0.54	10.5	1
42	7.6	0.54	0.02	1.7	0.085	17.0	31.0	0.99589	3.37	0.51	10.4	1
43	7.5	0.51	0.02	1.7	0.084	13.0	31.0	0.99538	3.36	0.54	10.5	1
44	11.5	0.42	0.48	2.6	0.077	8.0	20.0	0.99852	3.09	0.53	11.0	1
45	8.2	0.44	0.24	2.3	0.063	10.0	28.0	0.99613	3.25	0.53	10.2	1
46	6.1	0.59	0.01	2.1	0.056	5.0	13.0	0.99472	3.52	0.56	11.4	1
47	7.2	0.655	0.03	1.8	0.078	7.0	12.0	0.99587	3.34	0.39	9.5	1
48	7.2	0.655	0.03	1.8	0.078	7.0	12.0	0.99587	3.34	0.39	9.5	1
49	6.9	0.57	0.0	2.8	0.081	21.0	41.0	0.99518	3.41	0.52	10.8	1
50	9.0	0.6	0.29	2.0	0.069	32.0	73.0	0.99654	3.34	0.57	10.0	1
51	7.2	0.62	0.01	2.3	0.065	8.0	46.0	0.99332	3.32	0.51	11.8	1
52	7.6	0.645	0.03	1.9	0.086	14.0	57.0	0.9969	3.37	0.46	10.3	1
53	7.6	0.645	0.03	1.9	0.086	14.0	57.0	0.9969	3.37	0.46	10.3	1
54	7.2	0.58	0.03	2.3	0.077	7.0	28.0	0.99568	3.35	0.52	10.0	1
55	6.1	0.32	0.25	1.8	0.086	5.0	32.0	0.99464	3.36	0.44	10.1	1
56	6.1	0.34	0.25	1.8	0.084	4.0	28.0	0.99464	3.36	0.44	10.1	1
57	7.3	0.43	0.24	2.5	0.078	27.0	67.0	0.99648	3.6	0.59	11.1	1
58	7.4	0.64	0.17	5.4	0.168	52.0	98.0	0.99736	3.28	0.5	9.5	1
59	11.6	0.475	0.4	1.4	0.091	6.0	28.0	0.99704	3.07	0.65	10.03333333	1
