	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
0	0.58	0.44	0.57	0.13	0.5	0.54	0.22	0
1	0.48	0.45	0.59	0.2	0.5	0.58	0.34	0
2	0.43	0.39	0.54	0.21	0.5	0.53	0.27	0
3	0.42	0.37	0.59	0.2	0.5	0.52	0.29	0
4	0.58	0.47	0.54	0.11	0.5	0.51	0.26	0
5	0.5	0.34	0.55	0.21	0.5	0.49	0.22	0
6	0.61	0.6	0.55	0.21	0.5	0.5	0.25	0
7	0.53	0.54	0.43	0.1	0.5	0.57	0.32	0
8	0.33	0.55	0.51	0.43	0.5	0.51	0.22	0
9	0.53	0.31	0.58	0.39	0.5	0.47	0.37	0
10	0.45	0.46	0.55	0.43	0.5	0.55	0.38	0
11	0.37	0.32	0.47	0.18	0.5	0.45	0.25	0
12	0.48	0.43	0.51	0.32	0.5	0.52	0.43	0
13	0.41	0.46	0.59	0.19	0.5	0.58	0.27	0
14	0.5	0.52	0.59	0.3	0.5	0.51	0.35	0
15	0.33	0.43	0.64	0.16	0.5	0.52	0.52	0
16	0.48	0.23	0.57	0.27	0.5	0.48	0.47	0
17	0.44	0.52	0.41	0.23	0.5	0.51	0.22	0
18	0.3	0.32	0.57	0.19	0.5	0.48	0.55	0
19	0.4	0.44	0.49	0.47	0.5	0.49	0.27	0
20	0.45	0.51	0.5	0.16	0.5	0.52	1.0	0
21	0.4	0.38	0.53	0.16	0.5	0.52	0.27	0
22	0.53	0.51	0.55	0.05	0.5	0.45	0.25	0
23	0.62	0.51	0.52	0.42	0.5	0.54	0.27	0
24	0.35	0.58	0.54	0.16	0.5	0.51	0.22	0
25	0.48	0.54	0.5	0.17	0.5	0.53	0.22	0
26	0.47	0.32	0.64	0.3	0.5	0.63	0.22	0
27	0.58	0.48	0.51	0.47	0.5	0.55	0.22	0
28	0.64	0.6	0.57	0.19	0.5	0.43	0.22	0
29	0.37	0.46	0.4	0.27	0.5	0.45	0.22	0
30	0.28	0.37	0.61	0.09	0.5	0.52	0.55	0
31	0.26	0.36	0.47	0.34	0.5	0.53	0.72	0
32	0.51	0.34	0.5	0.19	0.5	0.5	0.22	0
33	0.58	0.5	0.5	0.12	0.5	0.48	0.25	0
34	0.41	0.39	0.44	0.34	0.5	0.48	0.4	0
35	0.36	0.68	0.46	0.16	0.5	0.53	0.28	0
36	0.42	0.31	0.5	0.15	0.5	0.53	0.22	0
37	0.67	0.71	0.52	0.65	0.5	0.53	0.36	0
38	0.49	0.47	0.53	0.16	0.5	0.48	0.27	0
39	0.42	0.51	0.5	0.12	0.5	0.52	0.46	0
40	0.57	0.51	0.53	0.18	0.5	0.56	0.25	0
41	0.31	0.44	0.53	0.23	0.5	0.51	0.32	0
42	0.31	0.31	0.56	0.33	0.5	0.52	0.33	0
43	0.37	0.36	0.56	0.18	0.5	0.48	0.26	1
44	0.74	0.57	0.51	0.28	0.5	0.58	0.22	1
45	0.7	0.65	0.54	0.28	0.5	0.6	0.4	1
46	0.58	0.44	0.57	0.13	0.5	0.54	0.22	0
47	0.48	0.45	0.59	0.2	0.5	0.58	0.34	0
48	0.43	0.39	0.54	0.21	0.5	0.53	0.27	0
49	0.42	0.37	0.59	0.2	0.5	0.52	0.29	0
50	0.58	0.47	0.54	0.11	0.5	0.51	0.26	0
51	0.5	0.34	0.55	0.21	0.5	0.49	0.22	0
52	0.61	0.6	0.55	0.21	0.5	0.5	0.25	0
53	0.53	0.54	0.43	0.1	0.5	0.57	0.32	0
54	0.33	0.55	0.51	0.43	0.5	0.51	0.22	0
55	0.53	0.31	0.58	0.39	0.5	0.47	0.37	0
56	0.45	0.46	0.55	0.43	0.5	0.55	0.38	0
57	0.37	0.32	0.47	0.18	0.5	0.45	0.25	0
