	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
0	0.5	0.45	0.53	0.21	0.5	0.28	0.22	0
1	0.42	0.28	0.51	0.23	0.5	0.53	0.27	0
2	0.33	0.35	0.56	0.19	0.5	0.5	0.22	0
3	0.45	0.48	0.56	0.56	0.5	0.47	0.22	0
4	0.56	0.59	0.54	0.18	0.5	0.48	0.46	0
5	0.33	0.39	0.52	0.09	0.5	0.47	0.28	0
6	0.48	0.41	0.54	0.39	0.5	0.51	0.22	0
7	0.3	0.3	0.46	0.32	0.5	0.45	0.22	0
8	0.38	0.26	0.6	0.1	0.5	0.48	0.44	0
9	0.68	0.39	0.5	0.15	0.5	0.48	0.37	0
10	0.62	0.41	0.52	0.17	0.5	0.48	0.22	0
11	0.52	0.37	0.48	0.13	0.5	0.55	0.22	0
12	0.32	0.48	0.49	0.17	0.5	0.47	0.22	0
13	0.34	0.35	0.58	0.2	0.5	0.46	0.32	0
14	0.33	0.21	0.53	0.15	1.0	0.52	0.5	0
15	0.49	0.45	0.57	0.24	0.5	0.47	0.38	0
16	0.4	0.28	0.48	0.06	0.5	0.49	0.42	0
17	0.51	0.39	0.56	0.25	0.5	0.51	0.33	0
18	0.37	0.44	0.51	0.56	0.5	0.5	0.38	0
19	0.29	0.4	0.41	0.48	0.5	0.53	0.3	0
20	0.24	0.41	0.47	0.16	0.5	0.51	0.38	0
21	0.61	0.39	0.53	0.14	0.5	0.43	0.26	0
22	0.39	0.16	0.59	0.08	0.5	0.51	0.27	0
23	0.33	0.28	0.5	0.4	0.5	0.46	0.61	0
24	0.51	0.55	0.56	0.18	0.5	0.5	0.38	0
25	0.39	0.44	0.54	0.24	0.5	0.51	0.49	0
26	0.43	0.48	0.53	0.18	0.5	0.46	0.22	0
27	0.47	0.43	0.48	0.16	0.5	0.46	0.27	0
28	0.52	0.5	0.51	0.2	0.5	0.51	0.22	0
29	0.33	0.28	0.52	0.15	0.5	0.51	0.86	0
30	0.36	0.48	0.5	0.13	0.5	0.49	0.6	0
31	0.45	0.54	0.49	0.29	0.5	0.49	0.25	0
32	0.55	0.59	0.53	0.15	0.5	0.49	0.22	0
33	0.31	0.39	0.55	0.28	0.5	0.46	0.31	0
34	0.43	0.41	0.51	0.34	0.5	0.49	0.28	0
35	0.64	0.5	0.53	0.1	0.5	0.51	0.22	0
36	0.41	0.52	0.56	0.26	0.5	0.48	0.32	0
