	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
0	0.37	0.3	0.51	0.15	0.5	0.58	0.26	0
1	0.44	0.62	0.53	0.27	0.5	0.49	0.22	0
2	0.56	0.61	0.52	0.19	0.5	0.52	0.32	0
3	0.6	0.57	0.52	0.14	0.5	0.46	0.48	0
4	0.42	0.38	0.52	0.29	0.5	0.42	0.22	0
5	0.41	0.46	0.58	0.08	0.5	0.51	0.28	0
6	0.46	0.49	0.55	0.18	0.5	0.56	0.22	0
7	0.47	0.37	0.46	0.28	0.5	0.52	0.99	0
8	0.48	0.5	0.47	0.29	0.5	0.46	0.27	0
9	0.49	0.49	0.52	0.18	0.5	0.51	0.25	0
10	0.54	0.59	0.57	0.34	0.5	0.49	0.22	0
11	0.47	0.44	0.53	0.18	0.5	0.47	0.29	0
12	0.4	0.49	0.53	0.23	0.5	0.44	0.26	0
13	0.45	0.65	0.51	0.17	0.5	0.49	0.22	0
14	0.42	0.42	0.55	0.31	0.5	0.43	0.22	0
15	0.45	0.41	0.53	0.49	0.5	0.49	0.31	0
16	0.42	0.28	0.49	0.22	0.5	0.55	0.34	0
17	0.47	0.5	0.47	0.22	0.5	0.53	0.45	0
18	0.33	0.42	0.55	0.23	0.5	0.52	0.43	0
19	0.37	0.47	0.49	0.12	0.5	0.47	0.31	0
20	0.32	0.6	0.48	0.13	0.5	0.53	0.22	0
21	0.46	0.56	0.56	0.25	0.5	0.43	0.22	0
22	0.47	0.55	0.57	0.17	0.5	0.52	0.66	0
23	0.19	0.16	0.68	0.36	0.5	0.49	0.21	0
24	0.47	0.56	0.51	0.2	0.5	0.52	0.59	0
25	0.4	0.75	0.44	0.12	0.5	0.49	0.22	0
26	0.48	0.55	0.58	0.18	0.5	0.38	0.69	0
27	0.33	0.47	0.55	0.24	0.5	0.45	0.67	0
28	0.66	0.43	0.57	0.6	0.5	0.19	0.33	0
29	0.55	0.4	0.62	0.22	0.5	0.37	0.28	0
30	0.33	0.46	0.6	0.18	0.5	0.51	0.26	0
31	0.51	0.5	0.54	0.11	0.5	0.6	0.22	0
32	0.54	0.6	0.57	0.17	0.5	0.44	0.22	0
33	0.36	0.32	0.55	0.27	0.5	0.47	0.43	0
34	0.46	0.41	0.45	0.23	0.5	0.48	0.22	0
35	0.4	0.39	0.6	0.23	0.5	0.52	0.31	0
36	0.57	0.55	0.51	0.18	0.5	0.51	0.43	0
37	0.44	0.43	0.46	0.28	0.5	0.45	0.29	0
38	0.46	0.5	0.5	0.28	0.5	0.5	0.37	0
39	0.38	0.58	0.46	0.21	0.5	0.52	0.22	0
40	0.27	0.46	0.52	0.17	0.5	0.49	0.44	0
41	0.52	0.45	0.45	0.13	0.5	0.48	0.22	0
42	0.37	0.29	0.45	0.15	0.5	0.49	0.22	0
43	0.73	0.59	0.35	0.15	0.5	0.54	0.22	1
44	0.6	0.37	0.52	0.15	0.5	0.55	0.26	1
45	0.64	0.61	0.56	0.15	0.5	0.54	0.22	1
46	0.37	0.3	0.51	0.15	0.5	0.58	0.26	0
47	0.44	0.62	0.53	0.27	0.5	0.49	0.22	0
48	0.56	0.61	0.52	0.19	0.5	0.52	0.32	0
49	0.6	0.57	0.52	0.14	0.5	0.46	0.48	0
50	0.42	0.38	0.52	0.29	0.5	0.42	0.22	0
51	0.41	0.46	0.58	0.08	0.5	0.51	0.28	0
52	0.46	0.49	0.55	0.18	0.5	0.56	0.22	0
53	0.47	0.37	0.46	0.28	0.5	0.52	0.99	0
54	0.48	0.5	0.47	0.29	0.5	0.46	0.27	0
55	0.49	0.49	0.52	0.18	0.5	0.51	0.25	0
56	0.54	0.59	0.57	0.34	0.5	0.49	0.22	0
57	0.47	0.44	0.53	0.18	0.5	0.47	0.29	0
58	0.4	0.49	0.53	0.23	0.5	0.44	0.26	0
59	0.45	0.65	0.51	0.17	0.5	0.49	0.22	0
60	0.42	0.42	0.55	0.31	0.5	0.43	0.22	0
61	0.45	0.41	0.53	0.49	0.5	0.49	0.31	0
62	0.42	0.28	0.49	0.22	0.5	0.55	0.34	0
63	0.47	0.5	0.47	0.22	0.5	0.53	0.45	0
64	0.33	0.42	0.55	0.23	0.5	0.52	0.43	0
65	0.37	0.47	0.49	0.12	0.5	0.47	0.31	0
66	0.32	0.6	0.48	0.13	0.5	0.53	0.22	0
67	0.46	0.56	0.56	0.25	0.5	0.43	0.22	0
68	0.47	0.55	0.57	0.17	0.5	0.52	0.66	0
69	0.19	0.16	0.68	0.36	0.5	0.49	0.21	0
70	0.47	0.56	0.51	0.2	0.5	0.52	0.59	0
71	0.4	0.75	0.44	0.12	0.5	0.49	0.22	0
72	0.48	0.55	0.58	0.18	0.5	0.38	0.69	0
73	0.33	0.47	0.55	0.24	0.5	0.45	0.67	0
74	0.66	0.43	0.57	0.6	0.5	0.19	0.33	0
75	0.55	0.4	0.62	0.22	0.5	0.37	0.28	0
76	0.33	0.46	0.6	0.18	0.5	0.51	0.26	0
77	0.51	0.5	0.54	0.11	0.5	0.6	0.22	0
78	0.54	0.6	0.57	0.17	0.5	0.44	0.22	0
79	0.36	0.32	0.55	0.27	0.5	0.47	0.43	0
80	0.46	0.41	0.45	0.23	0.5	0.48	0.22	0
81	0.4	0.39	0.6	0.23	0.5	0.52	0.31	0
82	0.57	0.55	0.51	0.18	0.5	0.51	0.43	0
83	0.44	0.43	0.46	0.28	0.5	0.45	0.29	0
84	0.46	0.5	0.5	0.28	0.5	0.5	0.37	0
85	0.38	0.58	0.46	0.21	0.5	0.52	0.22	0
