	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
0	0.37	0.48	0.67	0.37	0.5	0.56	0.62	0
1	0.44	0.59	0.54	0.18	0.5	0.49	0.22	0
2	0.48	0.65	0.36	0.24	0.5	0.54	0.31	0
3	0.59	0.49	0.45	0.22	0.5	0.45	0.31	0
4	0.73	0.52	0.59	0.25	0.5	0.51	0.22	0
5	0.5	0.43	0.5	0.17	0.5	0.46	0.47	0
6	0.23	0.13	0.51	0.16	0.5	0.53	0.51	0
7	0.49	0.6	0.54	0.35	0.5	0.53	0.46	0
8	0.52	0.31	0.56	0.16	0.5	0.55	0.22	0
9	0.49	0.48	0.51	0.21	0.5	0.53	0.22	0
10	0.49	0.6	0.42	0.18	0.5	0.58	0.28	0
11	0.6	0.62	0.54	0.11	0.5	0.51	0.22	0
12	0.55	0.47	0.53	0.2	0.5	0.4	0.22	0
13	0.47	0.32	0.51	0.24	0.5	0.54	0.27	0
14	0.53	0.25	0.59	0.27	0.5	0.45	0.26	0
15	0.31	0.5	0.54	0.32	0.5	0.53	0.31	0
16	0.25	0.33	0.48	0.18	0.5	0.42	0.33	0
17	0.44	0.39	0.63	0.11	0.5	0.49	0.26	0
18	0.38	0.42	0.47	0.12	0.5	0.47	0.53	0
19	0.19	0.66	0.6	0.14	0.5	0.2	0.25	0
20	0.38	0.51	0.56	0.21	0.5	0.48	0.31	0
21	0.45	0.57	0.52	0.21	0.5	0.54	0.38	0
22	0.66	0.65	0.53	0.17	0.5	0.47	0.66	0
23	0.48	0.54	0.56	0.29	0.5	0.51	0.43	0
24	0.58	0.64	0.42	0.3	0.5	0.54	0.22	0
25	0.58	0.37	0.58	0.16	0.5	0.51	0.22	0
26	0.48	0.17	0.37	0.33	0.5	0.44	0.36	0
27	0.47	0.47	0.5	0.19	0.5	0.51	0.26	0
28	0.55	0.38	0.52	0.16	0.5	0.49	0.64	0
29	0.41	0.39	0.61	0.17	0.5	0.5	0.61	0
30	0.41	0.56	0.53	0.16	0.5	0.55	0.26	0
31	0.44	0.65	0.49	0.16	0.5	0.48	0.31	0
32	0.49	0.51	0.52	0.13	0.5	0.51	0.33	0
