	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
0	0.52	0.49	0.59	0.21	0.5	0.47	0.22	0
1	0.41	0.42	0.53	0.17	0.5	0.48	0.58	0
2	0.45	0.36	0.5	0.19	0.5	0.53	0.7	0
3	0.53	0.51	0.54	0.21	0.5	0.45	0.22	0
4	0.49	0.38	0.49	0.15	0.5	0.53	0.25	0
5	0.5	0.5	0.48	0.34	0.5	0.52	0.27	0
6	0.5	0.43	0.56	0.17	0.5	0.35	0.22	0
7	0.36	0.52	0.61	0.33	0.5	0.52	0.37	0
8	0.49	0.36	0.47	0.28	0.5	0.56	0.54	0
9	0.34	0.42	0.48	0.19	0.5	0.46	0.31	0
10	0.6	0.57	0.63	0.22	0.5	0.5	0.49	0
11	0.53	0.44	0.54	0.52	0.5	0.49	0.38	0
12	0.56	0.49	0.47	0.13	0.5	0.52	0.22	0
13	0.55	0.49	0.6	0.18	0.5	0.51	0.22	0
14	0.64	0.56	0.52	0.17	0.5	0.54	0.47	0
15	0.4	0.45	0.45	0.15	0.5	0.53	0.48	0
16	0.45	0.51	0.43	0.22	0.5	0.57	0.22	0
17	0.57	0.53	0.6	0.28	0.5	0.52	0.45	0
18	0.32	0.3	0.57	0.38	0.5	0.5	0.25	0
19	0.28	0.41	0.46	0.18	0.5	0.47	0.39	0
20	0.25	0.41	0.47	0.14	0.5	0.56	0.68	0
21	0.4	0.44	0.47	0.25	0.5	0.54	0.56	0
22	0.29	0.39	0.46	0.36	0.5	0.51	0.22	0
23	0.54	0.54	0.56	0.18	0.5	0.46	0.29	0
24	0.58	0.44	0.45	0.32	0.5	0.52	0.37	0
25	0.4	0.4	0.44	0.37	0.5	0.53	0.25	0
26	0.47	0.4	0.63	0.19	0.5	0.52	0.32	0
27	0.33	0.38	0.47	0.14	0.5	0.51	0.47	0
28	0.38	0.44	0.57	0.14	0.5	0.53	0.52	0
29	0.4	0.43	0.49	0.17	0.5	0.51	0.36	0
30	0.34	0.24	0.51	0.15	0.5	0.54	0.4	0
31	0.35	0.29	0.46	0.14	0.5	0.54	0.66	0
32	0.36	0.48	0.61	0.26	0.5	0.5	0.16	0
33	0.41	0.25	0.59	0.44	0.5	0.6	0.69	0
34	0.57	0.59	0.49	0.86	0.5	0.47	0.22	0
35	0.38	0.4	0.39	0.19	0.5	0.46	0.62	0
36	0.41	0.47	0.5	0.14	0.5	0.53	0.37	0
37	0.25	0.4	0.52	0.15	0.5	0.56	0.28	0
38	0.58	0.56	0.38	0.39	0.5	0.54	0.57	0
39	0.59	0.67	0.54	0.19	0.5	0.48	0.6	0
40	0.47	0.43	0.61	0.4	0.5	0.48	0.47	0
41	0.43	0.4	0.6	0.16	0.5	0.53	0.39	0
42	0.57	0.54	0.32	0.15	0.5	0.52	0.25	1
43	0.4	0.36	0.32	0.16	0.5	0.51	0.27	1
44	0.57	0.47	0.48	0.17	0.5	0.52	0.26	1
45	0.52	0.49	0.59	0.21	0.5	0.47	0.22	0
46	0.41	0.42	0.53	0.17	0.5	0.48	0.58	0
47	0.45	0.36	0.5	0.19	0.5	0.53	0.7	0
48	0.53	0.51	0.54	0.21	0.5	0.45	0.22	0
49	0.49	0.38	0.49	0.15	0.5	0.53	0.25	0
50	0.5	0.5	0.48	0.34	0.5	0.52	0.27	0
51	0.5	0.43	0.56	0.17	0.5	0.35	0.22	0
52	0.36	0.52	0.61	0.33	0.5	0.52	0.37	0
53	0.49	0.36	0.47	0.28	0.5	0.56	0.54	0
54	0.34	0.42	0.48	0.19	0.5	0.46	0.31	0
55	0.6	0.57	0.63	0.22	0.5	0.5	0.49	0
56	0.53	0.44	0.54	0.52	0.5	0.49	0.38	0
57	0.56	0.49	0.47	0.13	0.5	0.52	0.22	0
58	0.55	0.49	0.6	0.18	0.5	0.51	0.22	0
59	0.64	0.56	0.52	0.17	0.5	0.54	0.47	0
60	0.4	0.45	0.45	0.15	0.5	0.53	0.48	0
61	0.45	0.51	0.43	0.22	0.5	0.57	0.22	0
62	0.57	0.53	0.6	0.28	0.5	0.52	0.45	0
63	0.32	0.3	0.57	0.38	0.5	0.5	0.25	0
64	0.28	0.41	0.46	0.18	0.5	0.47	0.39	0
65	0.25	0.41	0.47	0.14	0.5	0.56	0.68	0
66	0.4	0.44	0.47	0.25	0.5	0.54	0.56	0
67	0.29	0.39	0.46	0.36	0.5	0.51	0.22	0
68	0.54	0.54	0.56	0.18	0.5	0.46	0.29	0
69	0.58	0.44	0.45	0.32	0.5	0.52	0.37	0
70	0.4	0.4	0.44	0.37	0.5	0.53	0.25	0
71	0.47	0.4	0.63	0.19	0.5	0.52	0.32	0
72	0.33	0.38	0.47	0.14	0.5	0.51	0.47	0
73	0.38	0.44	0.57	0.14	0.5	0.53	0.52	0
74	0.4	0.43	0.49	0.17	0.5	0.51	0.36	0
75	0.34	0.24	0.51	0.15	0.5	0.54	0.4	0
76	0.35	0.29	0.46	0.14	0.5	0.54	0.66	0
77	0.36	0.48	0.61	0.26	0.5	0.5	0.16	0
78	0.41	0.25	0.59	0.44	0.5	0.6	0.69	0
79	0.57	0.59	0.49	0.86	0.5	0.47	0.22	0
80	0.38	0.4	0.39	0.19	0.5	0.46	0.62	0
81	0.41	0.47	0.5	0.14	0.5	0.53	0.37	0
82	0.25	0.4	0.52	0.15	0.5	0.56	0.28	0
83	0.58	0.56	0.38	0.39	0.5	0.54	0.57	0
84	0.59	0.67	0.54	0.19	0.5	0.48	0.6	0
85	0.47	0.43	0.61	0.4	0.5	0.48	0.47	0
86	0.43	0.4	0.6	0.16	0.5	0.53	0.39	0
87	0.57	0.54	0.32	0.15	0.5	0.52	0.25	1
88	0.4	0.36	0.32	0.16	0.5	0.51	0.27	1
89	0.57	0.47	0.48	0.17	0.5	0.52	0.26	1
90	0.52	0.49	0.59	0.21	0.5	0.47	0.22	0
91	0.41	0.42	0.53	0.17	0.5	0.48	0.58	0
92	0.45	0.36	0.5	0.19	0.5	0.53	0.7	0
93	0.53	0.51	0.54	0.21	0.5	0.45	0.22	0
94	0.49	0.38	0.49	0.15	0.5	0.53	0.25	0
