	a1	a2	a3	a4	a5	a6	a7	Label
0	49	29	48	5	56	24	35	0
1	7	4	48	5	54	35	44	0
2	56	4	48	5	49	37	46	0
3	59	49	48	5	52	45	36	0
4	23	32	48	5	55	25	35	0
5	67	39	48	5	36	38	46	0
6	29	28	48	5	44	23	34	0
7	21	34	48	5	51	28	39	0
8	2	44	48	5	46	51	57	0
9	42	4	48	5	56	18	3	0
10	42	24	48	5	57	27	37	0
11	25	48	48	5	44	17	29	0
12	39	32	48	5	46	24	35	0
13	51	5	48	5	46	32	35	0
14	22	43	48	5	48	16	28	0
15	25	4	48	5	46	44	52	0
16	34	45	48	5	38	24	35	0
17	44	27	48	5	55	52	58	0
18	23	4	48	5	39	28	38	0
19	41	57	48	5	39	21	32	0
20	4	45	48	5	38	22	0	0
21	31	23	48	5	73	5	14	0
22	51	54	48	5	41	34	43	0
23	3	16	48	5	56	11	23	0
24	36	39	48	5	48	22	23	0
25	29	37	48	5	48	44	52	0
26	25	4	48	5	47	33	42	0
27	21	51	48	5	5	32	41	0
28	43	37	48	5	53	35	44	0
29	43	39	48	5	47	31	41	0
30	53	38	48	5	44	26	36	0
31	34	33	48	5	38	35	44	0
32	56	51	48	5	34	37	46	0
33	4	29	48	5	42	35	44	0
34	24	35	48	5	31	19	31	0
35	36	54	48	5	41	38	46	0
36	29	52	48	5	42	29	39	0
37	65	47	48	5	59	3	4	0
38	32	42	48	5	35	28	38	0
39	38	46	48	5	48	22	29	0
40	33	45	48	5	52	32	41	0
41	3	37	48	5	59	41	49	0
42	4	5	48	5	45	39	47	0
43	28	38	48	5	5	33	42	0
44	61	45	48	5	48	35	41	0
45	17	38	48	5	45	42	5	0
46	44	35	48	5	55	55	61	0
47	43	4	48	5	39	28	39	0
48	42	35	48	5	58	15	27	0
49	65	55	48	5	34	37	28	0
50	51	46	48	5	58	31	41	0
51	38	4	48	5	63	25	35	0
52	24	57	48	5	63	34	43	0
53	38	26	48	5	54	16	28	0
54	33	47	48	5	53	18	29	0
55	24	34	48	5	38	3	4	0
56	26	5	48	5	44	32	41	0
57	44	49	48	5	39	38	4	0
58	43	32	48	5	33	45	52	0
59	49	43	48	5	49	3	4	0
60	47	28	48	5	56	2	25	0
61	32	33	48	5	6	6	2	0
62	34	35	48	5	51	49	56	0
63	35	34	48	5	46	3	27	0
64	38	3	48	5	43	29	39	0
65	38	44	48	5	43	2	31	0
66	41	51	48	5	58	2	31	0
67	34	42	48	5	41	34	43	0
68	51	49	48	5	53	14	26	0
69	25	51	48	5	37	42	5	0
70	29	28	48	5	5	42	5	0
71	25	26	48	5	39	32	42	0
72	24	41	48	5	49	23	34	0
73	17	39	48	5	53	3	39	0
74	4	31	48	5	41	29	39	0
75	61	36	48	5	49	35	44	0
76	34	51	48	5	44	37	46	0
77	28	33	48	5	45	22	33	0
78	4	46	48	5	42	35	44	0
79	23	34	48	5	43	26	37	0
80	37	44	48	5	42	39	47	0
81	0	38	48	5	42	48	55	0
82	39	31	48	5	38	34	43	0
83	3	44	48	5	49	22	33	0
84	27	3	48	5	71	28	39	0
85	17	52	48	5	49	37	46	0
86	36	42	48	5	53	32	41	0
87	3	37	48	5	43	18	3	0
88	26	4	48	5	36	26	37	0
89	4	41	48	5	55	22	33	0
90	22	34	48	5	42	29	39	0
91	44	35	48	5	44	52	59	0
92	27	42	48	5	37	38	43	0
93	16	43	48	5	54	27	37	0
94	6	61	48	5	49	92	37	0
95	44	52	48	5	43	47	54	0
96	63	47	48	5	51	82	84	0
97	23	48	48	5	59	88	89	0
98	34	49	48	5	58	85	8	0
99	43	4	48	5	58	75	78	0
100	46	61	48	5	48	86	87	0
101	27	35	48	5	51	77	79	0
102	52	39	48	5	65	71	73	0
103	29	47	48	5	71	65	69	0
104	55	47	48	5	57	78	8	0
105	12	67	48	5	74	58	63	0
106	4	5	48	5	65	82	84	0
107	73	36	48	5	53	91	92	0
108	84	44	48	5	48	71	74	0
109	48	45	48	5	6	78	8	0
110	54	49	48	5	4	87	88	0
111	48	41	48	5	51	9	88	0
112	5	66	48	5	31	92	92	0
113	72	46	48	5	51	66	7	0
114	47	55	48	5	58	71	75	0
115	33	56	48	5	33	78	8	0
116	64	58	48	5	48	78	73	0
117	54	57	48	5	56	81	83	0
