	1	2	3	4	5	6	7	label
0	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
1	15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
2	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	1
3	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
4	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	1
5	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	1
6	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	1
7	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	1
8	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	1
9	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	1
10	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
11	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	1
12	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
13	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	1
14	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	0
15	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	0
16	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	0
17	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	0
18	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	0
19	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	0
20	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	0
21	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
22	15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
23	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	1
24	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
25	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	1
26	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	1
27	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	1
28	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	1
29	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	1
30	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	1
31	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
32	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	1
33	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
34	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	1
35	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	0
36	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	0
37	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	0
38	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	0
39	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	0
40	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	0
41	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	0
42	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
43	15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
44	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	1
45	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
46	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	1
47	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	1
48	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	1
49	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	1
50	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	1
51	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	1
52	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
53	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	1
54	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
55	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	1
56	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	0
57	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	0
58	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	0
59	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	0
60	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	0
61	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	0
62	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	0
63	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
64	15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
65	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	1
66	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
67	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	1
68	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	1
69	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	1
70	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	1
71	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	1
72	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	1
73	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
74	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	1
75	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
76	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	1
77	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	0
78	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	0
79	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	0
80	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	0
81	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	0
82	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	0
83	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	0
84	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
85	15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
86	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	1
87	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
88	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	1
89	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	1
90	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	1
91	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	1
92	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	1
93	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	1
94	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
95	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	1
96	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
97	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	1
98	12.02	13.33	0.8503	5.35	2.81	4.271	5.308	0
99	12.05	13.41	0.8416	5.267	2.847	4.988	5.046	0
100	12.55	13.57	0.8558	5.333	2.968	4.419	5.176	0
101	11.14	12.79	0.8558	5.011	2.794	6.388	5.049	0
102	12.1	13.15	0.8793	5.105	2.941	2.201	5.056	0
103	12.44	13.59	0.8462	5.319	2.897	4.924	5.27	0
104	12.15	13.45	0.8443	5.417	2.837	3.638	5.338	0
105	13.16	13.55	0.9009	5.138	3.201	2.461	4.783	1
106	15.5	14.86	0.882	5.877	3.396	4.711	5.528	1
107	15.11	14.54	0.8986	5.579	3.462	3.128	5.18	1
108	13.8	14.04	0.8794	5.376	3.155	1.56	4.961	1
109	15.36	14.76	0.8861	5.701	3.393	1.367	5.132	1
110	14.99	14.56	0.8883	5.57	3.377	2.958	5.175	1
111	14.79	14.52	0.8819	5.545	3.291	2.704	5.111	1
112	14.86	14.67	0.8676	5.678	3.258	2.129	5.351	1
113	14.43	14.4	0.8751	5.585	3.272	3.975	5.144	1
114	15.78	14.91	0.8923	5.674	3.434	5.593	5.136	1
115	14.49	14.61	0.8538	5.715	3.113	4.116	5.396	1
116	14.33	14.28	0.8831	5.504	3.199	3.328	5.224	1
117	14.52	14.6	0.8557	5.741	3.113	1.481	5.487	1
118	15.03	14.77	0.8658	5.702	3.212	1.933	5.439	1
