	1	2	3	4	5	6	7	label
0	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	1
1	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	1
2	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	1
3	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	1
4	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	1
5	11.23	12.63	0.884	4.902	2.879	2.269	4.703	1
6	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	1
7	13.22	13.84	0.868	5.395	3.07	4.157	5.088	1
8	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	1
9	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	1
10	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	1
11	14.01	14.29	0.8625	5.609	3.158	2.217	5.132	1
12	14.37	14.39	0.8726	5.569	3.153	1.464	5.3	1
13	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	1
14	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	0
15	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	0
16	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	0
17	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	0
18	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	0
19	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	0
20	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	0
21	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	1
22	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	1
23	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	1
24	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	1
25	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	1
26	11.23	12.63	0.884	4.902	2.879	2.269	4.703	1
27	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	1
28	13.22	13.84	0.868	5.395	3.07	4.157	5.088	1
29	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	1
30	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	1
31	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	1
32	14.01	14.29	0.8625	5.609	3.158	2.217	5.132	1
33	14.37	14.39	0.8726	5.569	3.153	1.464	5.3	1
34	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	1
35	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	0
36	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	0
37	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	0
38	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	0
39	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	0
40	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	0
41	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	0
42	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	1
43	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	1
44	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	1
45	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	1
46	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	1
47	11.23	12.63	0.884	4.902	2.879	2.269	4.703	1
48	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	1
49	13.22	13.84	0.868	5.395	3.07	4.157	5.088	1
50	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	1
51	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	1
52	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	1
53	14.01	14.29	0.8625	5.609	3.158	2.217	5.132	1
54	14.37	14.39	0.8726	5.569	3.153	1.464	5.3	1
55	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	1
56	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	0
57	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	0
58	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	0
59	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	0
60	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	0
61	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	0
62	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	0
63	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	1
64	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	1
65	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	1
66	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	1
67	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	1
68	11.23	12.63	0.884	4.902	2.879	2.269	4.703	1
69	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	1
70	13.22	13.84	0.868	5.395	3.07	4.157	5.088	1
71	12.78	13.57	0.8716	5.262	3.026	1.176	4.782	1
72	12.88	13.5	0.8879	5.139	3.119	2.352	4.607	1
73	14.34	14.37	0.8726	5.63	3.19	1.313	5.15	1
74	14.01	14.29	0.8625	5.609	3.158	2.217	5.132	1
75	14.37	14.39	0.8726	5.569	3.153	1.464	5.3	1
76	12.73	13.75	0.8458	5.412	2.882	3.533	5.067	1
77	11.35	13.12	0.8291	5.176	2.668	4.337	5.132	0
78	11.24	13.0	0.8359	5.09	2.715	3.521	5.088	0
79	11.02	13.0	0.8189	5.325	2.701	6.735	5.163	0
80	11.55	13.1	0.8455	5.167	2.845	6.715	4.956	0
81	11.27	12.97	0.8419	5.088	2.763	4.309	5.0	0
82	11.4	13.08	0.8375	5.136	2.763	5.588	5.089	0
83	10.83	12.96	0.8099	5.278	2.641	5.182	5.185	0
84	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	1
85	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	1
86	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	1
87	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	1
88	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	1
