	1	2	3	4	5	6	7	label
0	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
1	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
2	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
3	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
4	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
5	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
6	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
7	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
8	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
9	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
10	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
11	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
12	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
13	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
14	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
15	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
16	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
17	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
18	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
19	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
20	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
21	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
22	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
23	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
24	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
25	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
26	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
27	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
28	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
29	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
30	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
31	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
32	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
33	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
34	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
35	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
36	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
37	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
38	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
39	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
40	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
41	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
42	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
43	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
44	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
45	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
46	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
47	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
48	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
49	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
50	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
51	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
52	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
53	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
54	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
55	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
56	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
57	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
58	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
59	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
60	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
61	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
62	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
63	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
64	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
65	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
66	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
67	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
68	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
69	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
70	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
71	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
72	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
73	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
74	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
75	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
76	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
77	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
78	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
79	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
80	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
81	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
82	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
83	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
84	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
85	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
86	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
87	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
88	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
89	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
90	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
91	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
92	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
93	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
94	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
95	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
96	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
97	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
98	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
99	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
100	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
101	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
102	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
103	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
104	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
105	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
106	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
107	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
108	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
109	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
110	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
111	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
112	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
113	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
114	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
115	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
116	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
117	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
118	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
119	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
120	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
121	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
122	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
123	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
124	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
125	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
126	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
127	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
128	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
129	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
130	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
131	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
132	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
133	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
134	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
135	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
136	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
137	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
138	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
139	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
140	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	0
141	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	0
142	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	0
143	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	0
144	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	0
145	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	0
146	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	0
147	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
148	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
149	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
150	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
