	Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	label
0	0.38	0.31	0.59	0.19	0.5	0.0	0.46	0.22	0
1	0.68	0.53	0.44	0.31	0.5	0.0	0.51	0.22	0
2	0.59	0.47	0.51	0.53	0.5	0.0	0.53	0.26	0
3	0.4	0.6	0.5	0.16	0.5	0.0	0.51	0.22	0
4	0.61	0.46	0.54	0.11	0.5	0.0	0.47	0.22	0
5	0.66	0.55	0.54	0.18	0.5	0.0	0.43	0.22	0
6	0.41	0.41	0.43	0.61	0.5	0.0	0.53	0.22	0
7	0.45	0.66	0.39	0.11	0.5	0.0	0.54	0.22	0
8	0.6	0.48	0.46	0.32	0.5	0.0	0.4	0.33	0
9	0.64	0.44	0.51	0.35	0.5	0.0	0.53	0.22	0
10	0.55	0.38	0.64	0.42	0.5	0.0	0.47	0.22	0
11	0.45	0.43	0.5	0.25	0.5	0.0	0.47	0.22	0
12	0.47	0.53	0.48	0.51	0.5	0.0	0.54	0.22	0
13	0.45	0.52	0.5	0.12	0.5	0.0	0.6	0.22	0
14	0.38	0.4	0.59	0.25	0.5	0.0	0.44	0.22	0
15	0.39	0.39	0.59	0.25	0.5	0.0	0.45	0.22	0
16	0.54	0.55	0.56	0.14	0.5	0.0	0.5	0.25	0
17	0.45	0.5	0.57	0.29	0.5	0.0	0.44	0.11	0
18	0.45	0.5	0.57	0.29	0.5	0.0	0.44	0.11	0
19	0.61	0.38	0.57	0.36	0.5	0.0	0.44	0.21	0
20	0.61	0.38	0.57	0.36	0.5	0.0	0.44	0.21	0
21	0.43	0.33	0.54	0.37	0.5	0.0	0.38	0.16	0
22	0.43	0.33	0.54	0.37	0.5	0.0	0.38	0.16	0
23	0.51	0.39	0.58	0.19	0.5	0.0	0.47	0.22	0
24	0.35	0.33	0.48	0.42	0.5	0.0	0.47	0.43	0
25	0.46	0.35	0.69	0.18	0.5	0.0	0.3	0.25	0
26	0.46	0.35	0.69	0.18	0.5	0.0	0.3	0.25	0
27	0.57	0.43	0.52	0.3	0.5	0.0	0.37	0.11	0
28	0.57	0.43	0.52	0.3	0.5	0.0	0.37	0.11	0
29	0.59	0.51	0.48	0.12	0.5	0.0	0.54	0.31	0
30	0.59	0.51	0.48	0.12	0.5	0.0	0.54	0.31	0
31	0.61	0.53	0.59	0.17	0.5	0.0	0.44	0.28	0
32	0.61	0.48	0.56	0.19	0.5	0.0	0.53	0.31	0
33	0.61	0.48	0.56	0.19	0.5	0.0	0.53	0.31	0
34	0.44	0.56	0.52	0.18	0.5	0.0	0.5	0.11	0
35	0.36	0.56	0.52	0.18	0.5	0.0	0.45	0.16	0
36	0.37	0.44	0.64	0.48	0.5	0.0	0.36	0.27	0
37	0.72	0.37	0.63	0.38	0.5	0.0	0.4	0.14	0
38	0.72	0.37	0.63	0.38	0.5	0.0	0.4	0.14	0
39	0.44	0.36	0.64	0.45	0.5	0.0	0.53	0.11	0
40	0.58	0.45	0.55	0.27	0.5	0.0	0.48	0.11	0
41	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
42	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
43	0.43	0.33	0.67	0.12	0.5	0.0	0.45	0.23	0
44	0.43	0.33	0.67	0.12	0.5	0.0	0.43	0.23	0
45	0.58	0.44	0.5	0.26	0.5	0.0	0.52	0.22	0
46	0.38	0.43	0.53	0.22	0.5	0.0	0.48	0.11	0
47	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
48	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
49	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
50	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
51	0.43	0.22	0.79	0.79	0.5	0.0	0.22	0.0	0
52	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
53	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
54	0.56	0.35	0.47	0.41	0.5	0.0	0.5	0.22	0
55	0.56	0.35	0.47	0.35	0.5	0.0	0.52	0.22	0
56	0.54	0.44	0.55	0.48	0.5	0.0	0.47	0.22	0
57	0.35	0.39	0.56	0.2	0.5	0.0	0.49	0.41	0
58	0.48	0.46	0.58	0.16	0.5	0.0	0.45	0.22	0
59	0.48	0.55	0.48	0.1	0.5	0.0	0.55	0.22	0
60	0.66	0.6	0.52	0.19	0.5	0.0	0.69	0.22	0
61	0.69	0.54	0.55	0.23	0.5	0.0	0.73	0.22	0
62	0.73	0.6	0.47	0.2	0.5	0.0	0.72	0.22	0
63	0.78	0.82	0.56	0.21	0.5	0.0	0.69	0.22	0
64	0.42	0.49	0.49	0.36	0.5	0.0	0.57	0.26	0
65	0.47	0.56	0.46	0.5	0.5	0.0	0.51	0.22	0
66	0.46	0.33	0.45	0.22	0.5	0.0	0.41	0.37	0
67	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
68	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
69	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
70	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
71	0.48	0.41	0.52	0.33	0.5	0.0	0.51	0.26	0
72	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
73	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
74	0.42	0.5	0.64	0.13	0.5	0.0	0.49	0.22	0
75	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
76	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
77	0.39	0.65	0.57	0.19	0.5	0.0	0.44	0.25	0
78	0.39	0.65	0.57	0.19	0.5	0.0	0.43	0.25	0
79	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
80	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
81	0.51	0.52	0.58	0.17	0.5	0.0	0.47	0.28	0
82	0.57	0.48	0.54	0.22	0.5	0.0	0.5	0.11	0
83	0.5	0.5	0.62	0.23	0.5	0.0	0.35	0.11	0
84	0.41	0.49	0.65	0.28	0.5	0.0	0.59	0.57	0
85	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
86	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
87	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
88	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
89	0.49	0.4	0.58	0.23	0.5	0.0	0.47	0.27	0
90	0.37	0.37	0.51	0.38	0.5	0.0	0.44	0.22	0
91	0.57	0.5	0.4	0.08	0.5	0.0	0.47	0.22	0
92	0.51	0.4	0.5	0.28	0.5	0.0	0.48	0.27	0
93	0.34	0.25	0.55	0.28	0.5	0.0	0.51	0.49	0
94	0.77	0.86	0.44	0.27	0.5	0.0	0.48	0.22	0
95	0.59	0.54	0.53	0.14	0.5	0.0	0.48	0.22	0
96	0.5	0.48	0.48	0.23	0.5	0.0	0.53	0.68	0
97	0.39	1.0	0.38	0.41	0.5	0.0	0.5	0.27	0
98	0.56	0.42	0.52	0.14	0.5	0.0	0.51	0.22	0
99	0.39	0.46	0.33	0.18	0.5	0.0	0.53	0.22	0
100	0.52	0.54	0.47	0.49	0.5	0.0	0.54	0.22	0
101	0.56	0.65	0.49	0.56	0.5	0.0	0.49	0.22	0
102	0.53	0.51	0.55	0.57	0.5	0.0	0.46	0.22	0
103	0.54	0.64	0.4	0.56	0.5	0.0	0.51	0.22	0
104	0.47	0.58	0.47	0.52	0.5	0.0	0.54	0.22	0
105	0.58	0.31	0.6	0.12	0.5	0.0	0.47	0.33	1
106	0.49	0.67	0.5	0.28	0.5	0.0	0.43	0.22	1
107	0.44	0.33	0.55	0.16	0.5	0.0	0.49	0.22	1
108	0.44	0.45	0.53	0.19	0.5	0.0	0.41	0.28	1
109	0.57	0.55	0.52	0.16	0.5	0.0	0.49	0.39	1
110	0.32	0.49	0.53	0.28	0.5	0.0	0.5	0.5	1
111	0.35	0.42	0.56	0.28	0.5	0.0	0.47	0.22	1
112	0.46	0.41	0.58	0.1	0.5	0.0	0.48	0.22	1
113	0.57	0.51	0.58	0.22	0.5	0.0	0.51	0.22	1
114	0.47	0.47	0.54	0.19	0.5	0.0	0.51	0.33	1
115	0.34	0.58	0.5	0.26	0.5	0.0	0.51	0.22	1
116	0.55	0.45	0.58	0.25	0.5	0.0	0.49	0.22	1
117	0.4	0.66	0.34	0.21	0.5	0.0	0.52	0.26	1
118	0.42	0.21	0.59	0.3	0.5	0.0	0.47	0.27	1
119	0.35	0.4	0.44	0.25	0.5	0.0	0.53	0.57	1
120	0.45	0.49	0.57	0.25	0.5	0.0	0.48	0.22	1
121	0.56	0.51	0.32	0.49	0.5	0.0	0.48	0.22	1
122	0.37	0.58	0.5	0.22	0.5	0.0	0.47	0.22	1
123	0.47	0.45	0.51	0.33	0.5	0.0	0.46	0.26	1
124	0.5	0.36	0.64	0.37	0.5	0.0	0.37	0.33	1
125	0.43	0.44	0.64	0.19	0.5	0.0	0.38	0.33	1
126	0.72	0.51	0.52	0.08	0.5	0.0	0.54	0.22	1
127	0.35	0.41	0.53	0.27	0.5	0.0	0.47	0.29	1
128	0.56	0.49	0.54	0.15	0.5	0.0	0.5	0.35	1
129	0.57	0.37	0.43	0.27	0.5	0.0	0.53	0.28	1
130	0.57	0.49	0.61	0.26	0.5	0.0	0.52	0.22	1
131	0.48	0.45	0.63	0.19	0.5	0.0	0.58	0.22	1
132	0.34	0.48	0.47	0.19	0.5	0.0	0.5	0.3	1
133	0.54	0.57	0.55	0.18	0.5	0.0	0.5	0.22	1
134	0.38	0.44	0.55	0.44	0.5	0.0	0.47	0.51	1
135	0.4	0.3	0.57	0.13	0.5	0.0	0.46	0.22	1
136	0.27	0.31	0.55	0.13	0.5	0.0	0.5	0.22	1
137	0.52	0.46	0.56	0.25	0.5	0.0	0.52	0.22	1
138	0.44	0.5	0.55	0.24	0.5	0.0	0.48	0.22	1
139	0.34	0.47	0.48	0.32	0.5	0.0	0.42	0.22	1
140	0.5	0.56	0.63	0.25	0.5	0.0	0.42	0.22	1
141	0.46	0.53	0.47	0.37	0.5	0.0	0.51	0.36	1
142	0.31	0.6	0.65	0.18	0.5	0.0	0.46	0.22	1
143	0.57	0.42	0.63	0.22	0.5	0.0	0.68	0.32	1
144	0.37	0.45	0.53	0.14	0.5	0.0	0.49	0.22	1
145	0.38	0.38	0.54	0.24	0.5	0.0	0.54	0.22	1
146	0.36	0.49	0.55	0.21	0.5	0.0	0.55	0.33	1
147	0.29	0.4	0.5	0.16	0.5	0.0	0.51	0.34	1
148	0.38	0.31	0.59	0.19	0.5	0.0	0.46	0.22	0
149	0.68	0.53	0.44	0.31	0.5	0.0	0.51	0.22	0
150	0.59	0.47	0.51	0.53	0.5	0.0	0.53	0.26	0
151	0.4	0.6	0.5	0.16	0.5	0.0	0.51	0.22	0
152	0.61	0.46	0.54	0.11	0.5	0.0	0.47	0.22	0
153	0.66	0.55	0.54	0.18	0.5	0.0	0.43	0.22	0
154	0.41	0.41	0.43	0.61	0.5	0.0	0.53	0.22	0
155	0.45	0.66	0.39	0.11	0.5	0.0	0.54	0.22	0
156	0.6	0.48	0.46	0.32	0.5	0.0	0.4	0.33	0
157	0.64	0.44	0.51	0.35	0.5	0.0	0.53	0.22	0
158	0.55	0.38	0.64	0.42	0.5	0.0	0.47	0.22	0
159	0.45	0.43	0.5	0.25	0.5	0.0	0.47	0.22	0
160	0.47	0.53	0.48	0.51	0.5	0.0	0.54	0.22	0
161	0.45	0.52	0.5	0.12	0.5	0.0	0.6	0.22	0
162	0.38	0.4	0.59	0.25	0.5	0.0	0.44	0.22	0
163	0.39	0.39	0.59	0.25	0.5	0.0	0.45	0.22	0
164	0.54	0.55	0.56	0.14	0.5	0.0	0.5	0.25	0
165	0.45	0.5	0.57	0.29	0.5	0.0	0.44	0.11	0
166	0.45	0.5	0.57	0.29	0.5	0.0	0.44	0.11	0
167	0.61	0.38	0.57	0.36	0.5	0.0	0.44	0.21	0
168	0.61	0.38	0.57	0.36	0.5	0.0	0.44	0.21	0
169	0.43	0.33	0.54	0.37	0.5	0.0	0.38	0.16	0
170	0.43	0.33	0.54	0.37	0.5	0.0	0.38	0.16	0
171	0.51	0.39	0.58	0.19	0.5	0.0	0.47	0.22	0
172	0.35	0.33	0.48	0.42	0.5	0.0	0.47	0.43	0
173	0.46	0.35	0.69	0.18	0.5	0.0	0.3	0.25	0
174	0.46	0.35	0.69	0.18	0.5	0.0	0.3	0.25	0
175	0.57	0.43	0.52	0.3	0.5	0.0	0.37	0.11	0
176	0.57	0.43	0.52	0.3	0.5	0.0	0.37	0.11	0
177	0.59	0.51	0.48	0.12	0.5	0.0	0.54	0.31	0
178	0.59	0.51	0.48	0.12	0.5	0.0	0.54	0.31	0
179	0.61	0.53	0.59	0.17	0.5	0.0	0.44	0.28	0
180	0.61	0.48	0.56	0.19	0.5	0.0	0.53	0.31	0
181	0.61	0.48	0.56	0.19	0.5	0.0	0.53	0.31	0
182	0.44	0.56	0.52	0.18	0.5	0.0	0.5	0.11	0
183	0.36	0.56	0.52	0.18	0.5	0.0	0.45	0.16	0
184	0.37	0.44	0.64	0.48	0.5	0.0	0.36	0.27	0
185	0.72	0.37	0.63	0.38	0.5	0.0	0.4	0.14	0
186	0.72	0.37	0.63	0.38	0.5	0.0	0.4	0.14	0
187	0.44	0.36	0.64	0.45	0.5	0.0	0.53	0.11	0
188	0.58	0.45	0.55	0.27	0.5	0.0	0.48	0.11	0
189	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
190	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
191	0.43	0.33	0.67	0.12	0.5	0.0	0.45	0.23	0
192	0.43	0.33	0.67	0.12	0.5	0.0	0.43	0.23	0
193	0.58	0.44	0.5	0.26	0.5	0.0	0.52	0.22	0
194	0.38	0.43	0.53	0.22	0.5	0.0	0.48	0.11	0
195	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
196	0.4	0.45	0.61	0.29	0.5	0.0	0.44	0.22	0
197	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
198	0.34	0.34	0.65	0.4	0.5	0.0	0.32	0.16	0
199	0.43	0.22	0.79	0.79	0.5	0.0	0.22	0.0	0
200	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
201	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
202	0.56	0.35	0.47	0.41	0.5	0.0	0.5	0.22	0
203	0.56	0.35	0.47	0.35	0.5	0.0	0.52	0.22	0
204	0.54	0.44	0.55	0.48	0.5	0.0	0.47	0.22	0
205	0.35	0.39	0.56	0.2	0.5	0.0	0.49	0.41	0
206	0.48	0.46	0.58	0.16	0.5	0.0	0.45	0.22	0
207	0.48	0.55	0.48	0.1	0.5	0.0	0.55	0.22	0
208	0.66	0.6	0.52	0.19	0.5	0.0	0.69	0.22	0
209	0.69	0.54	0.55	0.23	0.5	0.0	0.73	0.22	0
210	0.73	0.6	0.47	0.2	0.5	0.0	0.72	0.22	0
211	0.78	0.82	0.56	0.21	0.5	0.0	0.69	0.22	0
212	0.42	0.49	0.49	0.36	0.5	0.0	0.57	0.26	0
213	0.47	0.56	0.46	0.5	0.5	0.0	0.51	0.22	0
214	0.46	0.33	0.45	0.22	0.5	0.0	0.41	0.37	0
215	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
216	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
217	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
218	0.32	0.44	0.54	0.21	0.5	0.0	0.4	0.19	0
219	0.48	0.41	0.52	0.33	0.5	0.0	0.51	0.26	0
220	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
221	0.46	0.39	0.54	0.22	0.5	0.0	0.48	0.25	0
222	0.42	0.5	0.64	0.13	0.5	0.0	0.49	0.22	0
223	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
224	0.46	0.54	0.59	0.41	0.5	0.0	0.53	0.21	0
225	0.39	0.65	0.57	0.19	0.5	0.0	0.44	0.25	0
226	0.39	0.65	0.57	0.19	0.5	0.0	0.43	0.25	0
227	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
228	0.38	0.5	0.52	0.44	0.5	0.0	0.54	0.11	0
229	0.51	0.52	0.58	0.17	0.5	0.0	0.47	0.28	0
230	0.57	0.48	0.54	0.22	0.5	0.0	0.5	0.11	0
231	0.5	0.5	0.62	0.23	0.5	0.0	0.35	0.11	0
232	0.41	0.49	0.65	0.28	0.5	0.0	0.59	0.57	0
