	a1	a2	a3	a4	a5	a6	a7	Label
0	49	29	48	5	56	24	35	0
1	7	4	48	5	54	35	44	0
2	56	4	48	5	49	37	46	0
3	59	49	48	5	52	45	36	0
4	23	32	48	5	55	25	35	0
5	67	39	48	5	36	38	46	0
6	29	28	48	5	44	23	34	0
7	21	34	48	5	51	28	39	0
8	2	44	48	5	46	51	57	0
9	42	4	48	5	56	18	3	0
10	42	24	48	5	57	27	37	0
11	25	48	48	5	44	17	29	0
12	39	32	48	5	46	24	35	0
13	51	5	48	5	46	32	35	0
14	22	43	48	5	48	16	28	0
15	25	4	48	5	46	44	52	0
16	34	45	48	5	38	24	35	0
17	44	27	48	5	55	52	58	0
18	23	4	48	5	39	28	38	0
19	41	57	48	5	39	21	32	0
20	4	45	48	5	38	22	0	0
21	31	23	48	5	73	5	14	0
22	51	54	48	5	41	34	43	0
23	3	16	48	5	56	11	23	0
24	36	39	48	5	48	22	23	0
25	29	37	48	5	48	44	52	0
26	25	4	48	5	47	33	42	0
27	21	51	48	5	5	32	41	0
28	43	37	48	5	53	35	44	0
29	43	39	48	5	47	31	41	0
30	53	38	48	5	44	26	36	0
31	34	33	48	5	38	35	44	0
32	56	51	48	5	34	37	46	0
33	4	29	48	5	42	35	44	0
34	24	35	48	5	31	19	31	0
35	36	54	48	5	41	38	46	0
36	29	52	48	5	42	29	39	0
37	65	47	48	5	59	3	4	0
38	32	42	48	5	35	28	38	0
39	38	46	48	5	48	22	29	0
40	33	45	48	5	52	32	41	0
41	29	47	48	5	41	23	34	0
42	34	55	48	5	58	31	41	0
43	36	56	48	5	43	45	53	0
44	4	46	48	5	52	49	56	0
45	5	49	48	5	49	46	53	0
46	52	44	48	5	37	36	42	0
47	5	51	48	5	27	23	34	0
48	53	42	48	5	16	29	39	0
49	34	46	48	5	52	35	44	0
50	4	42	48	5	37	27	27	0
51	41	43	48	5	5	24	25	0
52	3	45	48	5	36	21	32	0
53	31	47	48	5	29	28	39	0
54	64	76	48	5	45	35	38	0
55	35	37	48	5	3	34	43	0
56	57	54	48	5	37	28	33	0
57	65	55	48	5	34	37	28	0
58	51	46	48	5	58	31	41	0
59	38	4	48	5	63	25	35	0
60	24	57	48	5	63	34	43	0
61	38	26	48	5	54	16	28	0
62	33	47	48	5	53	18	29	0
63	24	34	48	5	38	3	4	0
64	26	5	48	5	44	32	41	0
65	44	49	48	5	39	38	4	0
66	43	32	48	5	33	45	52	0
67	49	43	48	5	49	3	4	0
68	47	28	48	5	56	2	25	0
69	32	33	48	5	6	6	2	0
70	34	35	48	5	51	49	56	0
71	35	34	48	5	46	3	27	0
72	38	3	48	5	43	29	39	0
73	38	44	48	5	43	2	31	0
74	41	51	48	5	58	2	31	0
75	34	42	48	5	41	34	43	0
76	51	49	48	5	53	14	26	0
77	25	51	48	5	37	42	5	0
78	29	28	48	5	5	42	5	0
79	25	26	48	5	39	32	42	0
80	24	41	48	5	49	23	34	0
81	17	39	48	5	53	3	39	0
82	4	31	48	5	41	29	39	0
83	61	36	48	5	49	35	44	0
84	34	51	48	5	44	37	46	0
85	28	33	48	5	45	22	33	0
86	4	46	48	5	42	35	44	0
87	23	34	48	5	43	26	37	0
88	37	44	48	5	42	39	47	0
89	0	38	48	5	42	48	55	0
90	39	31	48	5	38	34	43	0
91	3	44	48	5	49	22	33	0
92	27	3	48	5	71	28	39	0
93	17	52	48	5	49	37	46	0
94	36	42	48	5	53	32	41	0
95	3	37	48	5	43	18	3	0
96	26	4	48	5	36	26	37	0
97	4	41	48	5	55	22	33	0
98	22	34	48	5	42	29	39	0
99	44	35	48	5	44	52	59	0
100	27	42	48	5	37	38	43	0
101	16	43	48	5	54	27	37	0
102	85	53	48	5	53	52	35	0
103	63	49	48	5	54	76	79	0
104	75	55	1	1	4	47	3	0
105	7	39	1	5	51	82	84	0
106	72	42	48	5	65	77	79	0
107	79	41	48	5	66	81	83	0
108	83	48	48	5	65	76	79	0
109	69	43	48	5	59	74	77	0
110	79	36	48	5	46	82	7	0
111	78	33	48	5	57	77	79	0
112	75	37	48	5	64	7	74	0
113	59	29	48	5	64	75	77	0
114	67	37	48	5	54	64	68	0
115	66	48	48	5	54	7	74	0
116	64	46	48	5	48	73	76	0
117	76	71	48	5	5	71	75	0
