	a1	a2	a3	a4	a5	a6	a7	Label
0	3	37	48	5	59	41	49	0
1	4	5	48	5	45	39	47	0
2	28	38	48	5	5	33	42	0
3	61	45	48	5	48	35	41	0
4	17	38	48	5	45	42	5	0
5	44	35	48	5	55	55	61	0
6	43	4	48	5	39	28	39	0
7	42	35	48	5	58	15	27	0
8	23	33	48	5	43	33	43	0
9	37	52	48	5	42	42	36	0
10	29	3	48	5	45	3	17	0
11	22	36	48	5	35	39	47	0
12	23	58	48	5	37	53	59	0
13	47	47	48	5	22	16	26	0
14	54	47	48	5	28	33	42	0
15	51	37	48	5	35	36	45	0
16	4	35	48	5	45	33	42	0
17	44	34	48	5	3	33	43	0
18	42	38	48	5	54	34	43	0
19	44	56	48	5	5	46	54	0
20	52	36	48	5	41	28	38	0
21	36	41	48	5	48	47	54	0
22	18	3	48	5	46	24	35	0
23	47	29	48	5	51	33	43	0
24	24	43	48	5	54	52	59	0
25	25	37	48	5	41	33	42	0
26	52	57	48	5	42	47	54	0
27	25	37	48	5	43	26	36	0
28	35	48	48	5	56	4	48	0
29	26	26	48	5	34	25	35	0
30	44	51	48	5	47	26	36	0
31	37	5	48	5	42	36	45	0
32	44	42	48	5	42	25	2	0
33	24	43	48	5	37	28	38	0
34	42	3	48	5	48	26	36	0
35	48	42	48	5	45	25	35	0
36	41	48	48	5	51	44	51	0
37	44	28	48	5	43	27	37	0
38	29	41	48	5	48	38	46	0
39	34	28	48	5	41	35	44	0
40	41	43	48	5	45	31	41	0
41	29	47	48	5	41	23	34	0
42	34	55	48	5	58	31	41	0
43	36	56	48	5	43	45	53	0
44	4	46	48	5	52	49	56	0
45	5	49	48	5	49	46	53	0
46	52	44	48	5	37	36	42	0
47	5	51	48	5	27	23	34	0
48	53	42	48	5	16	29	39	0
49	34	46	48	5	52	35	44	0
50	4	42	48	5	37	27	27	0
51	41	43	48	5	5	24	25	0
52	3	45	48	5	36	21	32	0
53	31	47	48	5	29	28	39	0
54	64	76	48	5	45	35	38	0
55	35	37	48	5	3	34	43	0
56	57	54	48	5	37	28	33	0
57	65	55	48	5	34	37	28	0
58	51	46	48	5	58	31	41	0
59	38	4	48	5	63	25	35	0
60	24	57	48	5	63	34	43	0
61	38	26	48	5	54	16	28	0
62	33	47	48	5	53	18	29	0
63	24	34	48	5	38	3	4	0
64	26	5	48	5	44	32	41	0
65	44	49	48	5	39	38	4	0
66	43	32	48	5	33	45	52	0
67	49	43	48	5	49	3	4	0
68	47	28	48	5	56	2	25	0
69	32	33	48	5	6	6	2	0
70	34	35	48	5	51	49	56	0
71	35	34	48	5	46	3	27	0
72	38	3	48	5	43	29	39	0
73	38	44	48	5	43	2	31	0
74	41	51	48	5	58	2	31	0
75	34	42	48	5	41	34	43	0
76	51	49	48	5	53	14	26	0
77	25	51	48	5	37	42	5	0
78	29	28	48	5	5	42	5	0
79	25	26	48	5	39	32	42	0
80	24	41	48	5	49	23	34	0
81	17	39	48	5	53	3	39	0
82	4	31	48	5	41	29	39	0
83	61	36	48	5	49	35	44	0
84	34	51	48	5	44	37	46	0
85	28	33	48	5	45	22	33	0
86	4	46	48	5	42	35	44	0
87	23	34	48	5	43	26	37	0
88	37	44	48	5	42	39	47	0
89	0	38	48	5	42	48	55	0
90	39	31	48	5	38	34	43	0
91	3	44	48	5	49	22	33	0
92	27	3	48	5	71	28	39	0
93	17	52	48	5	49	37	46	0
94	36	42	48	5	53	32	41	0
95	3	37	48	5	43	18	3	0
96	26	4	48	5	36	26	37	0
97	4	41	48	5	55	22	33	0
98	22	34	48	5	42	29	39	0
99	44	35	48	5	44	52	59	0
100	27	42	48	5	37	38	43	0
101	16	43	48	5	54	27	37	0
102	85	53	48	5	53	52	35	0
103	63	49	48	5	54	76	79	0
104	75	55	1	1	4	47	3	0
105	7	39	1	5	51	82	84	0
106	72	42	48	5	65	77	79	0
107	79	41	48	5	66	81	83	0
108	83	48	48	5	65	76	79	0
109	69	43	48	5	59	74	77	0
110	79	36	48	5	46	82	7	0
111	78	33	48	5	57	77	79	0
112	75	37	48	5	64	7	74	0
113	59	29	48	5	64	75	77	0
114	67	37	48	5	54	64	68	0
115	66	48	48	5	54	7	74	0
116	64	46	48	5	48	73	76	0
117	76	71	48	5	5	71	75	0
118	84	49	48	5	55	78	74	0
119	77	55	48	5	51	78	74	0
120	81	44	48	5	42	67	68	0
121	58	6	48	5	59	73	76	0
122	63	42	48	5	48	77	8	0
123	62	42	48	5	58	79	81	0
124	86	39	48	5	59	89	9	0
125	81	53	48	5	57	87	88	0
126	87	49	48	5	61	76	79	0
127	47	46	48	5	62	74	77	0
