	1	2	3	4	5	6	7	8	label
0	2	0.49	0.38	0.135	0.5415	0.2175	0.095	0.19	11
1	2	0.355	0.28	0.095	0.2455	0.0955	0.062	0.075	11
2	1	0.56	0.44	0.14	0.9285	0.3825	0.188	0.3	11
3	1	0.58	0.45	0.185	0.9955	0.3945	0.272	0.285	11
4	2	0.575	0.425	0.14	0.8635	0.393	0.227	0.2	11
5	1	0.575	0.445	0.135	0.883	0.381	0.2035	0.26	11
6	2	0.57	0.48	0.175	1.185	0.474	0.261	0.38	11
7	1	0.555	0.425	0.14	0.788	0.282	0.1595	0.285	11
8	1	0.545	0.43	0.165	0.802	0.2935	0.183	0.28	11
9	1	0.545	0.41	0.125	0.6935	0.2975	0.146	0.21	11
10	1	0.53	0.415	0.115	0.5915	0.233	0.1585	0.18	11
11	1	0.49	0.375	0.135	0.6125	0.2555	0.102	0.22	11
12	2	0.595	0.48	0.165	1.262	0.4835	0.283	0.41	17
13	2	0.56	0.455	0.155	0.797	0.34	0.19	0.2425	11
14	2	0.58	0.475	0.15	0.97	0.385	0.2165	0.35	11
15	1	0.63	0.48	0.16	1.199	0.5265	0.335	0.315	11
16	1	0.505	0.41	0.15	0.644	0.285	0.145	0.21	11
17	1	0.47	0.35	0.145	0.5175	0.187	0.1235	0.18	11
18	1	0.445	0.355	0.15	0.485	0.181	0.125	0.155	11
19	1	0.58	0.465	0.165	1.1015	0.404	0.2095	0.35	11
20	2	0.565	0.425	0.16	0.9425	0.3495	0.2185	0.275	17
21	1	0.54	0.475	0.155	0.928	0.394	0.194	0.26	11
22	2	0.53	0.42	0.165	0.8945	0.319	0.239	0.245	11
23	1	0.46	0.38	0.13	0.639	0.3	0.1525	0.16	11
24	1	0.515	0.425	0.135	0.712	0.2665	0.1605	0.25	11
25	1	0.495	0.4	0.155	0.6445	0.242	0.1325	0.205	17
26	2	0.54	0.435	0.18	0.996	0.3835	0.226	0.325	17
27	2	0.49	0.395	0.14	0.549	0.2215	0.1275	0.15	11
28	2	0.385	0.31	0.1	0.2845	0.1065	0.075	0.1	11
29	2	0.62	0.465	0.19	1.3415	0.5705	0.3175	0.355	11
30	2	0.745	0.585	0.215	2.499	0.9265	0.472	0.7	17
31	2	0.58	0.465	0.145	0.887	0.4405	0.1655	0.265	11
32	1	0.69	0.56	0.215	1.719	0.68	0.299	0.47	17
33	2	0.63	0.49	0.19	1.1775	0.4935	0.3365	0.285	11
34	3	0.39	0.31	0.1	0.302	0.116	0.064	0.115	11
35	2	0.585	0.455	0.15	0.987	0.4355	0.2075	0.31	11
36	2	0.555	0.45	0.145	0.915	0.4	0.246	0.285	11
37	1	0.58	0.46	0.12	0.9935	0.4625	0.2385	0.28	11
38	3	0.49	0.38	0.12	0.529	0.2165	0.139	0.155	11
39	2	0.5	0.41	0.15	0.662	0.2815	0.137	0.22	11
40	1	0.665	0.555	0.195	1.4385	0.581	0.354	0.36	17
41	1	0.565	0.49	0.155	0.9245	0.405	0.2195	0.255	11
42	2	0.575	0.47	0.14	0.8375	0.3485	0.1735	0.24	11
43	1	0.525	0.41	0.135	0.7085	0.293	0.1525	0.235	11
44	2	0.38	0.285	0.1	0.2665	0.115	0.061	0.075	11
