	Gender	Married	Dependents	Education	Self_Emplo1ed	ApplicantIncome	CoapplicantIncome	LoanAmount	Loan_Amount_Term	Credit_History	Property_Area	Loan_Status
0	1	2	0	1	2	5849	0.0	146.4	360	1	1	1
1	1	1	0	1	1	3000	0.0	66.0	360	1	1	1
2	1	1	0	2	2	2583	2358.0	120.0	360	1	1	1
3	1	2	0	1	2	6000	0.0	141.0	360	1	1	1
4	1	1	2	1	1	5417	4196.0	267.0	360	1	1	1
5	1	1	0	2	2	2333	1516.0	95.0	360	1	1	1
6	1	1	2	1	2	4006	1526.0	168.0	360	1	1	1
7	1	1	2	1	2	3200	700.0	70.0	360	1	1	1
8	1	1	2	1	3	2500	1840.0	109.0	360	1	1	1
9	1	1	2	1	2	3073	8106.0	200.0	360	1	1	1
10	1	1	2	1	2	1299	1086.0	17.0	120	1	1	1
11	1	2	0	1	2	4950	0.0	125.0	360	1	1	1
12	1	2	1	2	2	3596	0.0	100.0	240	2	1	1
13	1	1	0	1	3	2600	3500.0	115.0	360	1	1	1
14	1	1	1	1	2	5955	5625.0	315.0	360	1	1	1
15	1	1	0	1	1	9560	0.0	191.0	360	1	3	1
16	1	1	0	1	2	2799	2253.0	122.0	360	1	3	1
17	1	1	2	2	2	4226	1040.0	110.0	360	1	1	1
18	2	2	2	1	3	3750	2083.0	120.0	360	1	3	1
19	1	1	0	1	2	3500	1667.0	114.0	360	1	3	1
20	1	1	0	1	2	2275	2067.0	146.4	360	1	1	1
21	2	1	0	1	2	3667	1459.0	144.0	360	1	3	1
22	1	2	0	1	2	4166	7210.0	184.0	360	1	1	1
23	1	2	0	2	2	3748	1668.0	110.0	360	1	3	1
24	1	2	0	1	2	1800	1213.0	47.0	360	1	1	1
25	1	1	0	1	2	2400	0.0	75.0	360	2	1	1
26	1	1	0	1	2	3941	2336.0	134.0	360	1	3	1
27	1	1	0	2	1	4695	0.0	96.0	360	1	1	1
28	2	2	0	1	2	3410	0.0	88.0	360	1	1	1
29	1	1	1	1	2	5649	0.0	44.0	360	1	1	1
30	1	1	0	1	2	5821	0.0	144.0	360	1	1	1
31	2	2	0	1	2	4000	2275.0	144.0	360	1	3	1
32	2	1	0	2	2	1928	1644.0	100.0	360	1	3	1
33	2	2	0	1	2	3086	0.0	120.0	360	1	3	1
34	1	1	2	1	2	2708	1167.0	97.0	360	1	3	1
35	1	1	0	1	2	2132	1591.0	96.0	360	1	3	1
36	1	1	1	1	2	8080	2250.0	180.0	360	1	1	1
37	1	1	2	2	2	3357	2859.0	144.0	360	1	1	1
38	1	1	0	1	2	2500	3796.0	120.0	360	1	1	1
39	1	1	3	1	2	3029	0.0	99.0	360	1	1	1
40	1	1	1	1	2	10750	0.0	312.0	360	1	1	1
41	1	1	3	2	1	7100	0.0	125.0	60	1	1	1
42	1	1	0	1	2	3208	3066.0	172.0	360	1	1	1
43	1	1	1	1	2	4583	1508.0	128.0	360	1	2	0
44	1	1	3	1	2	3036	2504.0	158.0	360	0	3	0
45	1	1	1	1	2	12841	10968.0	349.0	360	1	3	0
46	1	2	0	1	2	1853	2840.0	114.0	360	1	2	0
47	2	2	0	1	2	3510	0.0	76.0	360	0	1	0
48	1	1	0	2	2	4887	0.0	133.0	360	1	2	0
49	1	1	0	2	2	7660	0.0	104.0	360	0	1	0
50	1	1	0	2	2	2600	1911.0	116.0	360	0	3	0
51	3	1	2	2	2	3365	1917.0	112.0	360	0	2	0
52	1	1	1	1	3	3717	2925.0	151.0	360	2	3	0
53	1	2	0	2	2	1442	0.0	35.0	360	1	1	0
54	1	1	1	1	3	4166	3369.0	201.0	360	2	1	0
55	1	2	0	1	2	3167	0.0	74.0	360	1	1	0
56	1	2	1	1	1	4692	0.0	106.0	360	1	2	0
57	1	2	3	1	2	12500	3000.0	320.0	360	1	2	0
58	1	1	0	1	2	1828	1330.0	100.0	360	0	1	0
59	1	2	0	1	2	3600	0.0	80.0	360	1	1	0
60	2	1	0	1	2	2645	3440.0	120.0	360	0	1	0
61	2	2	0	1	2	4230	0.0	112.0	360	1	3	0
62	1	1	2	1	2	4616	0.0	134.0	360	1	1	0
63	1	2	0	1	2	5849	0.0	146.4	360	1	1	1
64	1	1	0	1	1	3000	0.0	66.0	360	1	1	1
65	1	1	0	2	2	2583	2358.0	120.0	360	1	1	1
66	1	2	0	1	2	6000	0.0	141.0	360	1	1	1
67	1	1	2	1	1	5417	4196.0	267.0	360	1	1	1
68	1	1	0	2	2	2333	1516.0	95.0	360	1	1	1
69	1	1	2	1	2	4006	1526.0	168.0	360	1	1	1
70	1	1	2	1	2	3200	700.0	70.0	360	1	1	1
71	1	1	2	1	3	2500	1840.0	109.0	360	1	1	1
72	1	1	2	1	2	3073	8106.0	200.0	360	1	1	1
73	1	1	2	1	2	1299	1086.0	17.0	120	1	1	1
74	1	2	0	1	2	4950	0.0	125.0	360	1	1	1
75	1	2	1	2	2	3596	0.0	100.0	240	2	1	1
76	1	1	0	1	3	2600	3500.0	115.0	360	1	1	1
77	1	1	1	1	2	5955	5625.0	315.0	360	1	1	1
78	1	1	0	1	1	9560	0.0	191.0	360	1	3	1
79	1	1	0	1	2	2799	2253.0	122.0	360	1	3	1
80	1	1	2	2	2	4226	1040.0	110.0	360	1	1	1
81	2	2	2	1	3	3750	2083.0	120.0	360	1	3	1
82	1	1	0	1	2	3500	1667.0	114.0	360	1	3	1
83	1	1	0	1	2	2275	2067.0	146.4	360	1	1	1
84	2	1	0	1	2	3667	1459.0	144.0	360	1	3	1
85	1	2	0	1	2	4166	7210.0	184.0	360	1	1	1
86	1	2	0	2	2	3748	1668.0	110.0	360	1	3	1
87	1	2	0	1	2	1800	1213.0	47.0	360	1	1	1
88	1	1	0	1	2	2400	0.0	75.0	360	2	1	1
89	1	1	0	1	2	3941	2336.0	134.0	360	1	3	1
90	1	1	0	2	1	4695	0.0	96.0	360	1	1	1
91	2	2	0	1	2	3410	0.0	88.0	360	1	1	1
92	1	1	1	1	2	5649	0.0	44.0	360	1	1	1
93	1	1	0	1	2	5821	0.0	144.0	360	1	1	1
94	2	2	0	1	2	4000	2275.0	144.0	360	1	3	1
95	2	1	0	2	2	1928	1644.0	100.0	360	1	3	1
96	2	2	0	1	2	3086	0.0	120.0	360	1	3	1
97	1	1	2	1	2	2708	1167.0	97.0	360	1	3	1
98	1	1	0	1	2	2132	1591.0	96.0	360	1	3	1
99	1	1	1	1	2	8080	2250.0	180.0	360	1	1	1
100	1	1	2	2	2	3357	2859.0	144.0	360	1	1	1
101	1	1	0	1	2	2500	3796.0	120.0	360	1	1	1
102	1	1	3	1	2	3029	0.0	99.0	360	1	1	1
103	1	1	1	1	2	10750	0.0	312.0	360	1	1	1
104	1	1	3	2	1	7100	0.0	125.0	60	1	1	1
105	1	1	0	1	2	3208	3066.0	172.0	360	1	1	1
106	1	1	1	1	2	4583	1508.0	128.0	360	1	2	0
107	1	1	3	1	2	3036	2504.0	158.0	360	0	3	0
108	1	1	1	1	2	12841	10968.0	349.0	360	1	3	0
109	1	2	0	1	2	1853	2840.0	114.0	360	1	2	0
110	2	2	0	1	2	3510	0.0	76.0	360	0	1	0
111	1	1	0	2	2	4887	0.0	133.0	360	1	2	0
112	1	1	0	2	2	7660	0.0	104.0	360	0	1	0
113	1	1	0	2	2	2600	1911.0	116.0	360	0	3	0
114	3	1	2	2	2	3365	1917.0	112.0	360	0	2	0
115	1	1	1	1	3	3717	2925.0	151.0	360	2	3	0
116	1	2	0	2	2	1442	0.0	35.0	360	1	1	0
117	1	1	1	1	3	4166	3369.0	201.0	360	2	1	0
118	1	2	0	1	2	3167	0.0	74.0	360	1	1	0
119	1	2	1	1	1	4692	0.0	106.0	360	1	2	0
120	1	2	3	1	2	12500	3000.0	320.0	360	1	2	0
121	1	1	0	1	2	1828	1330.0	100.0	360	0	1	0
122	1	2	0	1	2	3600	0.0	80.0	360	1	1	0
123	2	1	0	1	2	2645	3440.0	120.0	360	0	1	0
124	2	2	0	1	2	4230	0.0	112.0	360	1	3	0
125	1	1	2	1	2	4616	0.0	134.0	360	1	1	0
126	1	2	0	1	2	5849	0.0	146.4	360	1	1	1
127	1	1	0	1	1	3000	0.0	66.0	360	1	1	1
128	1	1	0	2	2	2583	2358.0	120.0	360	1	1	1
129	1	2	0	1	2	6000	0.0	141.0	360	1	1	1
130	1	1	2	1	1	5417	4196.0	267.0	360	1	1	1
131	1	1	0	2	2	2333	1516.0	95.0	360	1	1	1
132	1	1	2	1	2	4006	1526.0	168.0	360	1	1	1
133	1	1	2	1	2	3200	700.0	70.0	360	1	1	1
134	1	1	2	1	3	2500	1840.0	109.0	360	1	1	1
135	1	1	2	1	2	3073	8106.0	200.0	360	1	1	1
136	1	1	2	1	2	1299	1086.0	17.0	120	1	1	1
137	1	2	0	1	2	4950	0.0	125.0	360	1	1	1
138	1	2	1	2	2	3596	0.0	100.0	240	2	1	1
139	1	1	0	1	3	2600	3500.0	115.0	360	1	1	1
140	1	1	1	1	2	5955	5625.0	315.0	360	1	1	1
141	1	1	0	1	1	9560	0.0	191.0	360	1	3	1
142	1	1	0	1	2	2799	2253.0	122.0	360	1	3	1
143	1	1	2	2	2	4226	1040.0	110.0	360	1	1	1
144	2	2	2	1	3	3750	2083.0	120.0	360	1	3	1
145	1	1	0	1	2	3500	1667.0	114.0	360	1	3	1
146	1	1	0	1	2	2275	2067.0	146.4	360	1	1	1
147	2	1	0	1	2	3667	1459.0	144.0	360	1	3	1
148	1	2	0	1	2	4166	7210.0	184.0	360	1	1	1
149	1	2	0	2	2	3748	1668.0	110.0	360	1	3	1
150	1	2	0	1	2	1800	1213.0	47.0	360	1	1	1
151	1	1	0	1	2	2400	0.0	75.0	360	2	1	1
152	1	1	0	1	2	3941	2336.0	134.0	360	1	3	1
153	1	1	0	2	1	4695	0.0	96.0	360	1	1	1
154	2	2	0	1	2	3410	0.0	88.0	360	1	1	1
155	1	1	1	1	2	5649	0.0	44.0	360	1	1	1
156	1	1	0	1	2	5821	0.0	144.0	360	1	1	1
157	2	2	0	1	2	4000	2275.0	144.0	360	1	3	1
158	2	1	0	2	2	1928	1644.0	100.0	360	1	3	1
159	2	2	0	1	2	3086	0.0	120.0	360	1	3	1
160	1	1	2	1	2	2708	1167.0	97.0	360	1	3	1
161	1	1	0	1	2	2132	1591.0	96.0	360	1	3	1
162	1	1	1	1	2	8080	2250.0	180.0	360	1	1	1
163	1	1	2	2	2	3357	2859.0	144.0	360	1	1	1
164	1	1	0	1	2	2500	3796.0	120.0	360	1	1	1
165	1	1	3	1	2	3029	0.0	99.0	360	1	1	1
166	1	1	1	1	2	10750	0.0	312.0	360	1	1	1
167	1	1	3	2	1	7100	0.0	125.0	60	1	1	1
