	Gender	Married	Dependents	Education	Self_Emplo1ed	ApplicantIncome	CoapplicantIncome	LoanAmount	Loan_Amount_Term	Credit_History	Property_Area	Loan_Status
0	1	2	0	2	2	2927	2405.0	111.0	360	1	3	1
1	2	2	0	1	2	2507	0.0	56.0	360	1	2	1
2	1	1	2	1	1	5746	0.0	144.0	84	2	2	1
3	1	1	1	2	2	3399	1640.0	111.0	180	1	1	1
4	1	1	2	1	2	3717	0.0	120.0	360	1	3	1
5	1	1	0	1	2	2058	2134.0	88.0	360	2	1	1
6	2	2	1	1	2	3541	0.0	112.0	360	2	3	1
7	1	1	0	1	2	2400	2167.0	115.0	360	1	3	1
8	1	1	3	1	2	4342	189.0	124.0	360	1	3	1
9	1	1	2	2	2	3601	1590.0	146.4	360	1	2	1
10	2	2	0	1	2	3166	2985.0	132.0	360	2	2	1
11	1	1	3	1	2	15000	0.0	300.0	360	1	2	1
12	1	2	0	1	2	4917	0.0	130.0	360	0	2	1
13	1	1	0	1	1	5818	2160.0	184.0	360	1	3	1
14	2	2	0	1	2	2500	0.0	67.0	360	1	1	1
15	1	2	1	1	2	4384	1793.0	117.0	360	1	1	1
16	1	2	0	1	2	2935	0.0	98.0	360	1	3	1
17	1	2	4	1	2	2833	0.0	71.0	360	1	1	1
18	1	1	0	1	3	63337	0.0	490.0	180	1	1	1
19	3	1	1	1	1	9833	1833.0	182.0	180	1	1	1
20	1	1	4	1	1	5503	4490.0	70.0	360	1	3	1
21	1	1	1	1	3	5250	688.0	160.0	360	1	2	1
22	1	1	2	1	1	2500	4600.0	176.0	360	1	2	1
23	2	2	0	1	2	4160	0.0	71.0	360	1	3	1
24	1	1	1	2	2	4554	1229.0	158.0	360	1	1	1
25	1	1	3	2	2	3173	0.0	74.0	360	1	3	1
26	1	1	2	1	3	2583	2330.0	125.0	360	1	2	1
27	1	1	0	1	2	2499	2458.0	160.0	360	1	3	1
28	1	1	2	2	2	3083	2168.0	126.0	360	1	1	1
29	1	1	0	1	2	6333	4583.0	259.0	360	2	3	1
30	1	1	0	1	2	2625	6250.0	187.0	360	1	2	1
31	1	1	0	1	2	9083	0.0	228.0	360	1	3	1
32	1	1	3	1	2	2666	2083.0	95.0	360	1	2	1
33	2	1	0	1	2	2423	505.0	130.0	360	1	3	1
34	2	2	4	1	2	3813	0.0	116.0	180	1	1	1
35	1	1	2	1	2	8333	3167.0	165.0	360	1	2	1
36	1	1	3	1	2	5167	3167.0	200.0	360	1	3	1
37	1	1	2	1	2	5000	3667.0	236.0	360	1	3	1
38	1	1	0	1	2	4750	2333.0	130.0	360	1	1	1
39	1	1	0	1	2	3013	3033.0	95.0	300	2	1	1
40	1	2	0	1	1	6822	0.0	141.0	360	1	2	1
41	1	1	1	1	2	6325	0.0	175.0	360	1	3	1
42	2	2	0	1	2	2400	1863.0	104.0	360	0	1	0
43	1	2	0	1	2	20233	0.0	480.0	360	1	2	0
44	3	1	0	1	2	2473	1843.0	159.0	360	1	2	0
45	1	1	1	1	1	10000	0.0	155.0	360	1	2	0
46	1	1	1	1	1	8666	4983.0	376.0	360	0	2	0
47	2	1	0	1	2	4333	2451.0	110.0	360	1	1	0
48	2	2	3	2	2	1830	0.0	146.4	360	0	1	0
49	1	1	3	2	2	2647	1587.0	173.0	360	1	2	0
50	2	2	0	1	2	2378	0.0	46.0	360	1	2	0
51	1	1	4	2	2	3523	3230.0	152.0	360	0	2	0
52	1	2	0	1	2	8750	4167.0	308.0	360	1	2	0
53	2	1	0	1	1	5500	0.0	105.0	360	0	2	0
54	1	1	1	1	2	3875	0.0	67.0	360	1	1	0
55	1	1	0	2	2	3000	1666.0	100.0	480	0	1	0
56	2	2	1	1	2	4723	0.0	81.0	360	1	3	0
57	1	2	0	2	2	6216	0.0	133.0	360	1	2	0
58	1	2	0	1	2	2500	0.0	96.0	480	1	3	0
59	1	2	0	1	2	5124	0.0	124.0	360	0	2	0
60	1	1	0	1	2	19730	5266.0	570.0	360	1	2	0
61	1	2	0	2	2	2927	2405.0	111.0	360	1	3	1
62	2	2	0	1	2	2507	0.0	56.0	360	1	2	1
63	1	1	2	1	1	5746	0.0	144.0	84	2	2	1
64	1	1	1	2	2	3399	1640.0	111.0	180	1	1	1
65	1	1	2	1	2	3717	0.0	120.0	360	1	3	1
66	1	1	0	1	2	2058	2134.0	88.0	360	2	1	1
67	2	2	1	1	2	3541	0.0	112.0	360	2	3	1
68	1	1	0	1	2	2400	2167.0	115.0	360	1	3	1
69	1	1	3	1	2	4342	189.0	124.0	360	1	3	1
70	1	1	2	2	2	3601	1590.0	146.4	360	1	2	1
71	2	2	0	1	2	3166	2985.0	132.0	360	2	2	1
72	1	1	3	1	2	15000	0.0	300.0	360	1	2	1
73	1	2	0	1	2	4917	0.0	130.0	360	0	2	1
74	1	1	0	1	1	5818	2160.0	184.0	360	1	3	1
75	2	2	0	1	2	2500	0.0	67.0	360	1	1	1
76	1	2	1	1	2	4384	1793.0	117.0	360	1	1	1
77	1	2	0	1	2	2935	0.0	98.0	360	1	3	1
78	1	2	4	1	2	2833	0.0	71.0	360	1	1	1
79	1	1	0	1	3	63337	0.0	490.0	180	1	1	1
80	3	1	1	1	1	9833	1833.0	182.0	180	1	1	1
81	1	1	4	1	1	5503	4490.0	70.0	360	1	3	1
82	1	1	1	1	3	5250	688.0	160.0	360	1	2	1
83	1	1	2	1	1	2500	4600.0	176.0	360	1	2	1
84	2	2	0	1	2	4160	0.0	71.0	360	1	3	1
85	1	1	1	2	2	4554	1229.0	158.0	360	1	1	1
86	1	1	3	2	2	3173	0.0	74.0	360	1	3	1
87	1	1	2	1	3	2583	2330.0	125.0	360	1	2	1
88	1	1	0	1	2	2499	2458.0	160.0	360	1	3	1
89	1	1	2	2	2	3083	2168.0	126.0	360	1	1	1
90	1	1	0	1	2	6333	4583.0	259.0	360	2	3	1
