	Gender	Married	Dependents	Education	Self_Emplo1ed	ApplicantIncome	CoapplicantIncome	LoanAmount	Loan_Amount_Term	Credit_History	Property_Area	Loan_Status
0	2	2	0	1	1	15759	0.0	55.0	360	1	3	1
1	1	1	2	1	2	5185	0.0	155.0	360	1	3	1
2	1	1	2	1	1	9323	7873.0	380.0	300	1	2	1
3	2	2	0	1	3	2764	1459.0	110.0	360	1	1	1
4	1	1	0	1	2	4817	923.0	120.0	180	1	1	1
5	1	1	3	1	2	8750	4996.0	130.0	360	1	2	1
6	1	1	0	1	2	4310	0.0	130.0	360	2	3	1
7	1	1	2	1	2	5391	0.0	130.0	360	1	1	1
8	1	1	0	1	3	3333	2500.0	128.0	360	1	3	1
9	1	2	0	1	2	5941	4232.0	296.0	360	1	3	1
10	2	2	0	1	2	6000	0.0	156.0	360	1	1	1
11	1	2	0	1	1	7167	0.0	128.0	360	1	1	1
12	1	2	1	1	3	3667	0.0	113.0	180	1	1	1
13	1	2	0	2	2	2346	1600.0	132.0	360	1	3	1
14	1	1	0	1	2	2333	2417.0	136.0	360	1	1	1
15	1	1	0	1	2	5488	0.0	125.0	360	1	2	1
16	1	2	3	1	2	9167	0.0	185.0	360	1	2	1
17	1	1	3	1	2	9504	0.0	275.0	360	1	2	1
18	1	1	0	1	2	2583	2115.0	120.0	360	2	1	1
19	1	1	2	2	2	1993	1625.0	113.0	180	1	3	1
20	1	1	2	1	2	3100	1400.0	113.0	360	1	1	1
21	1	1	2	1	2	3276	484.0	135.0	360	2	3	1
22	1	1	0	1	2	3033	1459.0	95.0	360	1	1	1
23	1	2	0	2	2	3902	1666.0	109.0	360	1	2	1
24	1	2	0	1	2	2500	20000.0	103.0	360	1	3	1
25	2	2	0	2	2	1963	0.0	53.0	360	1	3	1
26	2	2	0	1	2	4547	0.0	115.0	360	1	3	1
27	1	1	0	2	2	2167	2400.0	115.0	360	1	1	1
28	2	2	0	2	2	2213	0.0	66.0	360	1	2	1
29	1	1	0	1	3	6256	0.0	160.0	360	2	1	1
30	1	1	0	2	2	2253	2033.0	110.0	360	1	2	1
31	2	2	0	1	2	2995	0.0	60.0	360	1	1	1
32	1	1	0	1	2	1025	2773.0	112.0	360	1	2	1
33	1	1	0	1	2	3246	1417.0	138.0	360	1	3	1
34	1	1	0	1	2	5829	0.0	138.0	360	1	2	1
35	1	1	0	1	2	1820	1719.0	100.0	360	1	1	1
36	1	1	0	1	2	14880	0.0	96.0	360	1	3	1
37	1	1	0	1	2	2666	4300.0	121.0	360	1	2	1
38	1	1	2	1	2	5935	0.0	133.0	360	1	3	1
39	1	1	0	1	2	2920	16.12000084	87.0	360	1	2	1
40	1	2	0	2	2	2717	0.0	60.0	180	1	1	1
41	2	2	1	1	1	8624	0.0	150.0	360	1	3	1
42	1	2	1	1	2	3062	1987.0	111.0	180	0	1	0
43	1	2	0	1	2	3069	0.0	71.0	480	1	1	0
44	1	1	2	1	2	4566	0.0	100.0	360	1	1	0
45	1	1	0	2	2	3010	3136.0	146.4	360	0	1	0
46	2	2	0	1	2	3180	0.0	71.0	360	0	1	0
47	2	2	0	1	2	1500	1800.0	103.0	360	0	3	0
48	1	1	2	2	2	2889	0.0	45.0	180	0	1	0
49	1	2	0	2	2	2755	0.0	65.0	300	1	2	0
50	2	2	0	1	1	7441	0.0	194.0	360	1	2	0
51	1	1	1	1	2	8300	0.0	152.0	300	0	3	0
52	1	1	3	1	2	81000	0.0	360.0	360	0	2	0
53	2	2	1	2	1	3867	0.0	62.0	360	1	3	0
54	1	1	0	2	2	6096	0.0	218.0	360	0	2	0
55	2	1	0	2	2	2149	3237.0	178.0	360	0	3	0
56	2	2	1	1	2	2600	0.0	160.0	360	1	1	0
57	1	1	2	1	1	1600	20000.0	239.0	360	1	1	0
58	2	2	0	2	2	2720	0.0	80.0	360	0	1	0
59	1	1	1	1	2	7250	1667.0	110.0	360	0	1	0
60	2	2	1	2	2	4606	0.0	81.0	360	1	2	0
61	2	2	0	1	1	15759	0.0	55.0	360	1	3	1
62	1	1	2	1	2	5185	0.0	155.0	360	1	3	1
63	1	1	2	1	1	9323	7873.0	380.0	300	1	2	1
64	2	2	0	1	3	2764	1459.0	110.0	360	1	1	1
65	1	1	0	1	2	4817	923.0	120.0	180	1	1	1
66	1	1	3	1	2	8750	4996.0	130.0	360	1	2	1
67	1	1	0	1	2	4310	0.0	130.0	360	2	3	1
68	1	1	2	1	2	5391	0.0	130.0	360	1	1	1
69	1	1	0	1	3	3333	2500.0	128.0	360	1	3	1
70	1	2	0	1	2	5941	4232.0	296.0	360	1	3	1
71	2	2	0	1	2	6000	0.0	156.0	360	1	1	1
72	1	2	0	1	1	7167	0.0	128.0	360	1	1	1
73	1	2	1	1	3	3667	0.0	113.0	180	1	1	1
74	1	2	0	2	2	2346	1600.0	132.0	360	1	3	1
