	1	2	3	4	label
0	7.4	2.8	6.1	1.9	1
1	7.9	3.8	6.4	2.0	1
2	6.4	2.8	5.6	2.2	1
3	6.3	2.8	5.1	1.5	1
4	6.1	2.6	5.6	1.4	1
5	7.7	3.0	6.1	2.3	1
6	6.3	3.4	5.6	2.4	1
7	6.4	3.1	5.5	1.8	1
8	6.0	3.0	4.8	1.8	1
9	6.9	3.1	5.4	2.1	1
10	5.0	3.5	1.3	0.3	0
11	4.5	2.3	1.3	0.3	0
12	4.4	3.2	1.3	0.2	0
13	5.0	3.5	1.6	0.6	0
14	5.1	3.8	1.9	0.4	0
15	7.4	2.8	6.1	1.9	1
16	7.9	3.8	6.4	2.0	1
17	6.4	2.8	5.6	2.2	1
18	6.3	2.8	5.1	1.5	1
19	6.1	2.6	5.6	1.4	1
20	7.7	3.0	6.1	2.3	1
21	6.3	3.4	5.6	2.4	1
22	6.4	3.1	5.5	1.8	1
23	6.0	3.0	4.8	1.8	1
24	6.9	3.1	5.4	2.1	1
25	5.0	3.5	1.3	0.3	0
26	4.5	2.3	1.3	0.3	0
27	4.4	3.2	1.3	0.2	0
28	5.0	3.5	1.6	0.6	0
29	5.1	3.8	1.9	0.4	0
30	7.4	2.8	6.1	1.9	1
31	7.9	3.8	6.4	2.0	1
32	6.4	2.8	5.6	2.2	1
33	6.3	2.8	5.1	1.5	1
34	6.1	2.6	5.6	1.4	1
35	7.7	3.0	6.1	2.3	1
36	6.3	3.4	5.6	2.4	1
37	6.4	3.1	5.5	1.8	1
38	6.0	3.0	4.8	1.8	1
39	6.9	3.1	5.4	2.1	1
40	5.0	3.5	1.3	0.3	0
41	4.5	2.3	1.3	0.3	0
42	4.4	3.2	1.3	0.2	0
43	5.0	3.5	1.6	0.6	0
44	5.1	3.8	1.9	0.4	0
45	7.4	2.8	6.1	1.9	1
46	7.9	3.8	6.4	2.0	1
47	6.4	2.8	5.6	2.2	1
48	6.3	2.8	5.1	1.5	1
49	6.1	2.6	5.6	1.4	1
50	7.7	3.0	6.1	2.3	1
51	6.3	3.4	5.6	2.4	1
52	6.4	3.1	5.5	1.8	1
53	6.0	3.0	4.8	1.8	1
54	6.9	3.1	5.4	2.1	1
55	5.0	3.5	1.3	0.3	0
56	4.5	2.3	1.3	0.3	0
57	4.4	3.2	1.3	0.2	0
58	5.0	3.5	1.6	0.6	0
59	5.1	3.8	1.9	0.4	0
60	7.4	2.8	6.1	1.9	1
61	7.9	3.8	6.4	2.0	1
62	6.4	2.8	5.6	2.2	1
63	6.3	2.8	5.1	1.5	1
64	6.1	2.6	5.6	1.4	1
65	7.7	3.0	6.1	2.3	1
66	6.3	3.4	5.6	2.4	1
67	6.4	3.1	5.5	1.8	1
68	6.0	3.0	4.8	1.8	1
69	6.9	3.1	5.4	2.1	1
70	5.0	3.5	1.3	0.3	0
71	4.5	2.3	1.3	0.3	0
72	4.4	3.2	1.3	0.2	0
73	5.0	3.5	1.6	0.6	0
74	5.1	3.8	1.9	0.4	0
75	7.4	2.8	6.1	1.9	1
76	7.9	3.8	6.4	2.0	1
77	6.4	2.8	5.6	2.2	1
78	6.3	2.8	5.1	1.5	1
79	6.1	2.6	5.6	1.4	1
80	7.7	3.0	6.1	2.3	1
81	6.3	3.4	5.6	2.4	1
82	6.4	3.1	5.5	1.8	1
83	6.0	3.0	4.8	1.8	1
84	6.9	3.1	5.4	2.1	1
85	5.0	3.5	1.3	0.3	0
86	4.5	2.3	1.3	0.3	0
87	4.4	3.2	1.3	0.2	0
88	5.0	3.5	1.6	0.6	0
89	5.1	3.8	1.9	0.4	0
90	7.4	2.8	6.1	1.9	1
91	7.9	3.8	6.4	2.0	1
92	6.4	2.8	5.6	2.2	1
93	6.3	2.8	5.1	1.5	1
94	6.1	2.6	5.6	1.4	1
95	7.7	3.0	6.1	2.3	1
96	6.3	3.4	5.6	2.4	1
97	6.4	3.1	5.5	1.8	1
98	6.0	3.0	4.8	1.8	1
99	6.9	3.1	5.4	2.1	1
100	5.0	3.5	1.3	0.3	0
101	4.5	2.3	1.3	0.3	0
102	4.4	3.2	1.3	0.2	0
103	5.0	3.5	1.6	0.6	0
104	5.1	3.8	1.9	0.4	0
105	7.4	2.8	6.1	1.9	1
106	7.9	3.8	6.4	2.0	1
107	6.4	2.8	5.6	2.2	1
108	6.3	2.8	5.1	1.5	1
109	6.1	2.6	5.6	1.4	1
110	7.7	3.0	6.1	2.3	1
111	6.3	3.4	5.6	2.4	1
112	6.4	3.1	5.5	1.8	1
113	6.0	3.0	4.8	1.8	1
114	6.9	3.1	5.4	2.1	1
115	5.0	3.5	1.3	0.3	0
116	4.5	2.3	1.3	0.3	0
117	4.4	3.2	1.3	0.2	0
118	5.0	3.5	1.6	0.6	0
119	5.1	3.8	1.9	0.4	0
120	7.4	2.8	6.1	1.9	1
121	7.9	3.8	6.4	2.0	1
122	6.4	2.8	5.6	2.2	1
123	6.3	2.8	5.1	1.5	1
124	6.1	2.6	5.6	1.4	1
125	7.7	3.0	6.1	2.3	1
126	6.3	3.4	5.6	2.4	1
127	6.4	3.1	5.5	1.8	1
128	6.0	3.0	4.8	1.8	1
129	6.9	3.1	5.4	2.1	1
130	5.0	3.5	1.3	0.3	0
131	4.5	2.3	1.3	0.3	0
132	4.4	3.2	1.3	0.2	0
133	5.0	3.5	1.6	0.6	0
134	5.1	3.8	1.9	0.4	0
