	1	2	3	4	label
0	5.5	2.6	4.4	1.2	1
1	6.1	3.0	4.6	1.4	1
2	5.8	2.6	4.0	1.2	1
3	5.0	2.3	3.3	1.0	1
4	5.6	2.7	4.2	1.3	1
5	5.7	3.0	4.2	1.2	1
6	5.7	2.9	4.2	1.3	1
7	6.2	2.9	4.3	1.3	1
8	5.1	2.5	3.0	1.1	1
9	5.7	2.8	4.1	1.3	1
10	5.4	3.4	1.7	0.2	0
11	5.1	3.7	1.5	0.4	0
12	4.6	3.6	1.0	0.2	0
13	5.1	3.3	1.7	0.5	0
14	4.8	3.4	1.9	0.2	0
15	5.5	2.6	4.4	1.2	1
16	6.1	3.0	4.6	1.4	1
17	5.8	2.6	4.0	1.2	1
18	5.0	2.3	3.3	1.0	1
19	5.6	2.7	4.2	1.3	1
20	5.7	3.0	4.2	1.2	1
21	5.7	2.9	4.2	1.3	1
22	6.2	2.9	4.3	1.3	1
23	5.1	2.5	3.0	1.1	1
24	5.7	2.8	4.1	1.3	1
25	5.4	3.4	1.7	0.2	0
26	5.1	3.7	1.5	0.4	0
27	4.6	3.6	1.0	0.2	0
28	5.1	3.3	1.7	0.5	0
29	4.8	3.4	1.9	0.2	0
30	5.5	2.6	4.4	1.2	1
31	6.1	3.0	4.6	1.4	1
32	5.8	2.6	4.0	1.2	1
33	5.0	2.3	3.3	1.0	1
34	5.6	2.7	4.2	1.3	1
35	5.7	3.0	4.2	1.2	1
36	5.7	2.9	4.2	1.3	1
37	6.2	2.9	4.3	1.3	1
38	5.1	2.5	3.0	1.1	1
39	5.7	2.8	4.1	1.3	1
40	5.4	3.4	1.7	0.2	0
41	5.1	3.7	1.5	0.4	0
42	4.6	3.6	1.0	0.2	0
43	5.1	3.3	1.7	0.5	0
44	4.8	3.4	1.9	0.2	0
45	5.5	2.6	4.4	1.2	1
46	6.1	3.0	4.6	1.4	1
47	5.8	2.6	4.0	1.2	1
48	5.0	2.3	3.3	1.0	1
49	5.6	2.7	4.2	1.3	1
50	5.7	3.0	4.2	1.2	1
51	5.7	2.9	4.2	1.3	1
52	6.2	2.9	4.3	1.3	1
53	5.1	2.5	3.0	1.1	1
54	5.7	2.8	4.1	1.3	1
55	5.4	3.4	1.7	0.2	0
56	5.1	3.7	1.5	0.4	0
57	4.6	3.6	1.0	0.2	0
58	5.1	3.3	1.7	0.5	0
59	4.8	3.4	1.9	0.2	0
60	5.5	2.6	4.4	1.2	1
61	6.1	3.0	4.6	1.4	1
62	5.8	2.6	4.0	1.2	1
63	5.0	2.3	3.3	1.0	1
64	5.6	2.7	4.2	1.3	1
65	5.7	3.0	4.2	1.2	1
66	5.7	2.9	4.2	1.3	1
67	6.2	2.9	4.3	1.3	1
68	5.1	2.5	3.0	1.1	1
69	5.7	2.8	4.1	1.3	1
70	5.4	3.4	1.7	0.2	0
71	5.1	3.7	1.5	0.4	0
72	4.6	3.6	1.0	0.2	0
73	5.1	3.3	1.7	0.5	0
74	4.8	3.4	1.9	0.2	0
75	5.5	2.6	4.4	1.2	1
76	6.1	3.0	4.6	1.4	1
77	5.8	2.6	4.0	1.2	1
78	5.0	2.3	3.3	1.0	1
79	5.6	2.7	4.2	1.3	1
80	5.7	3.0	4.2	1.2	1
81	5.7	2.9	4.2	1.3	1
82	6.2	2.9	4.3	1.3	1
83	5.1	2.5	3.0	1.1	1
84	5.7	2.8	4.1	1.3	1
85	5.4	3.4	1.7	0.2	0
86	5.1	3.7	1.5	0.4	0
87	4.6	3.6	1.0	0.2	0
88	5.1	3.3	1.7	0.5	0
89	4.8	3.4	1.9	0.2	0
90	5.5	2.6	4.4	1.2	1
91	6.1	3.0	4.6	1.4	1
92	5.8	2.6	4.0	1.2	1
93	5.0	2.3	3.3	1.0	1
94	5.6	2.7	4.2	1.3	1
95	5.7	3.0	4.2	1.2	1
96	5.7	2.9	4.2	1.3	1
97	6.2	2.9	4.3	1.3	1
98	5.1	2.5	3.0	1.1	1
99	5.7	2.8	4.1	1.3	1
100	5.4	3.4	1.7	0.2	0
101	5.1	3.7	1.5	0.4	0
102	4.6	3.6	1.0	0.2	0
103	5.1	3.3	1.7	0.5	0
104	4.8	3.4	1.9	0.2	0
105	5.5	2.6	4.4	1.2	1
106	6.1	3.0	4.6	1.4	1
107	5.8	2.6	4.0	1.2	1
108	5.0	2.3	3.3	1.0	1
109	5.6	2.7	4.2	1.3	1
110	5.7	3.0	4.2	1.2	1
111	5.7	2.9	4.2	1.3	1
112	6.2	2.9	4.3	1.3	1
113	5.1	2.5	3.0	1.1	1
114	5.7	2.8	4.1	1.3	1
115	5.4	3.4	1.7	0.2	0
116	5.1	3.7	1.5	0.4	0
117	4.6	3.6	1.0	0.2	0
118	5.1	3.3	1.7	0.5	0
119	4.8	3.4	1.9	0.2	0
120	5.5	2.6	4.4	1.2	1
121	6.1	3.0	4.6	1.4	1
122	5.8	2.6	4.0	1.2	1
123	5.0	2.3	3.3	1.0	1
124	5.6	2.7	4.2	1.3	1
125	5.7	3.0	4.2	1.2	1
126	5.7	2.9	4.2	1.3	1
127	6.2	2.9	4.3	1.3	1
128	5.1	2.5	3.0	1.1	1
129	5.7	2.8	4.1	1.3	1
130	5.4	3.4	1.7	0.2	0
131	5.1	3.7	1.5	0.4	0
132	4.6	3.6	1.0	0.2	0
133	5.1	3.3	1.7	0.5	0
134	4.8	3.4	1.9	0.2	0
